district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
23,MADHYA PRADESH,20.3,25.8,4.9,21.1,27.2,5.2
418,Sheopur,21.5,24.5,5.6,23.5,27.1,3.9
419,Morena,0.8,0.9,0.4,0.9,1.0,0.6
420,Bhind,0.5,0.2,1.4,0.4,0.1,1.1
421,Gwalior,3.5,6.4,1.5,3.5,7.2,1.4
422,Datia,1.6,1.8,1.2,1.9,1.8,2.3
423,Shivpuri,11.4,13.2,2.8,13.2,15.3,2.9
424,Tikamgarh,4.3,4.7,2.4,4.7,5.1,2.5
425,Chhatarpur,3.5,4.2,0.9,4.2,5.1,1.2
426,Panna,15.4,17.0,4.3,16.8,18.4,5.4
427,Sagar,9.7,13.0,1.7,9.3,12.5,1.9
428,Damoh,12.6,15.0,2.1,13.2,15.8,2.3
429,Satna,14.3,16.7,5.1,14.4,17.0,4.4
430,Rewa,12.9,14.2,6.2,13.2,14.5,6.5
431,Umaria,44.0,48.2,22.2,46.6,51.4,23.4
432,Neemuch,8.5,10.4,3.6,8.6,10.8,3.5
433,Mandsaur,3.2,3.6,1.4,2.5,2.7,1.6
434,Ratlam,25.9,35.5,3.7,28.2,38.0,5.1
435,Ujjain,3.1,3.8,2.1,2.5,2.8,1.9
436,Shajapur,2.7,3.0,1.6,2.5,2.8,1.2
437,Dewas,16.4,20.4,5.9,17.4,22.2,5.7
438,Dhar,54.5,61.8,17.5,55.9,64.4,19.5
439,Indore,6.6,15.1,3.1,6.6,15.9,3.4
440,Khargone (West Nimar),35.5,40.5,8.4,39.0,44.5,9.8
441,Barwani,66.8,75.7,14.6,69.4,78.3,17.9
442,Rajgarh,3.8,3.8,3.5,3.5,3.8,1.8
443,Vidisha,4.9,5.9,1.3,4.6,5.6,1.3
444,Bhopal,3.3,4.5,3.0,2.9,4.2,2.6
445,Sehore,10.8,12.3,3.8,11.1,13.0,3.1
446,Raisen,15.7,18.2,4.9,15.4,18.5,4.9
447,Betul,39.4,46.7,7.3,42.3,50.4,9.3
448,Harda,26.6,32.6,4.6,28.0,34.0,5.1
449,Hoshangabad,15.1,19.7,5.0,15.9,20.7,5.5
450,Katni,23.1,27.1,8.0,24.6,28.8,8.2
451,Jabalpur,15.0,27.8,5.3,15.2,28.8,5.6
452,Narsimhapur,13.2,14.7,5.1,13.4,15.2,5.3
453,Dindori,64.5,66.6,21.6,64.7,66.7,22.8
454,Mandla,57.2,62.5,11.4,57.9,63.9,15.4
455,Chhindwara,34.7,42.5,10.5,36.8,45.0,11.1
456,Seoni,36.8,40.1,7.7,37.7,41.6,8.6
457,Balaghat,21.8,22.8,14.8,22.5,23.8,14.9
458,Guna,14.7,18.4,3.0,15.4,19.6,2.9
459,Ashoknagar,8.8,10.1,2.5,9.7,11.2,2.9
460,Shahdol,43.1,52.0,12.1,44.7,52.9,13.0
461,Anuppur,46.4,58.0,18.4,47.9,58.4,19.9
462,Sidhi,27.5,28.9,10.2,27.8,29.3,11.4
463,Singrauli,32.3,38.1,10.2,32.6,38.0,10.0
464,Jhabua,85.3,91.3,30.1,87.0,92.3,33.0
465,Alirajpur,88.8,93.2,32.4,89.0,93.4,36.4
466,Khandwa (East Nimar),31.6,38.1,5.4,35.0,42.0,7.1
467,Burhanpur,26.5,41.4,2.6,30.4,44.6,3.1
