district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"42,851,169","28,281,986","14,569,183",63.7,57.8,79.4,69.3,63.9,82.8
418,Sheopur,"328,025","261,053","66,972",46.4,42.6,66.1,57.4,54.5,72.9
419,Morena,"1,179,685","865,686","313,999",64.7,61.6,75.6,71.0,68.9,77.6
420,Bhind,"1,094,917","800,035","294,882",70.5,69.1,75.0,75.3,74.0,78.8
421,Gwalior,"1,357,210","419,361","937,849",69.4,53.4,79.4,76.7,65.2,83.2
422,Datia,"491,445","365,567","125,878",71.3,69.5,78.3,72.6,70.6,79.4
423,Shivpuri,"900,846","703,640","197,206",58.8,55.2,75.2,62.5,59.4,77.2
424,Tikamgarh,"747,940","586,993","160,947",55.7,52.8,69.0,61.4,58.6,74.7
425,Chhatarpur,"943,033","671,558","271,475",53.3,47.4,73.2,63.7,59.2,78.7
426,Panna,"552,559","465,466","87,093",61.4,59.1,76.4,64.8,62.6,79.6
427,Sagar,"1,545,719","1,011,982","533,737",67.7,61.3,82.5,76.5,72.1,86.4
428,Damoh,"747,715","564,140","183,575",61.8,57.1,80.9,69.7,66.1,84.0
429,Satna,"1,371,781","1,029,244","342,537",64.6,61.0,77.9,72.3,69.4,82.5
430,Rewa,"1,441,757","1,156,917","284,840",62.0,59.2,76.0,71.6,69.5,82.0
431,Umaria,"356,672","279,642","77,030",59.1,56.5,72.3,65.9,62.9,79.4
432,Neemuch,"508,834","330,646","178,188",66.2,61.1,78.7,70.8,65.8,82.5
433,Mandsaur,"834,591","629,734","204,857",70.3,67.8,81.1,71.8,68.6,83.7
434,Ratlam,"825,880","507,104","318,776",67.2,60.8,80.9,66.8,59.4,83.2
435,Ujjain,"1,240,990","671,383","569,607",70.9,64.2,80.9,72.3,65.3,82.9
436,Shajapur,"894,612","690,374","204,238",70.9,69.1,78.2,69.1,66.4,80.3
437,Dewas,"925,369","604,294","321,075",60.9,54.6,77.1,69.3,64.2,81.6
438,Dhar,"1,077,338","796,473","280,865",52.5,47.8,75.0,59.0,54.1,79.5
439,Indore,"2,309,130","499,137","1,809,993",75.2,57.5,82.3,80.9,68.9,84.9
440,Khargone (West Nimar),"986,234","772,789","213,445",63.0,60.1,78.1,62.7,58.9,82.0
441,Barwani,"549,926","413,152","136,774",41.7,35.6,74.5,49.1,43.7,77.7
442,Rajgarh,"804,245","620,313","183,932",53.7,49.7,72.3,61.2,57.6,77.4
443,Vidisha,"862,918","624,193","238,725",61.8,57.3,77.6,70.5,67.1,81.5
444,Bhopal,"1,660,690","254,810","1,405,880",74.6,52.7,79.6,80.4,66.9,83.4
445,Sehore,"780,362","603,846","176,516",63.1,59.8,77.4,70.1,67.3,81.6
446,Raisen,"820,220","607,949","212,271",72.2,70.8,77.9,73.0,70.4,81.6
447,Betul,"939,769","700,098","239,671",66.4,62.0,84.5,68.9,64.4,86.8
448,Harda,"352,550","261,229","91,321",66.5,61.7,83.4,72.5,68.5,87.2
449,Hoshangabad,"810,644","510,211","300,433",70.0,63.0,84.8,75.3,69.8,86.8
450,Katni,"790,773","592,952","197,821",63.6,58.5,81.5,72.0,68.4,85.2
451,Jabalpur,"1,756,468","637,824","1,118,644",75.7,63.8,84.2,81.1,72.4,87.0
452,Narsimhapur,"718,785","562,087","156,698",77.7,76.4,84.4,75.7,73.1,86.7
453,Dindori,"378,714","354,842","23,872",54.2,52.8,81.0,63.9,62.9,84.7
454,Mandla,"604,962","503,725","101,237",59.6,56.5,85.2,66.9,63.9,87.2
455,Chhindwara,"1,294,198","907,838","386,360",65.8,60.5,81.3,71.2,66.4,85.7
456,Seoni,"864,194","734,368","129,826",65.6,63.2,85.8,72.1,69.8,88.9
457,Balaghat,"1,147,623","960,218","187,405",68.7,66.7,82.1,77.1,75.6,85.7
458,Guna,"653,980","447,170","206,810",57.6,52.0,74.4,63.2,58.4,77.1
459,Ashoknagar,"469,109","366,314","102,795",62.3,59.5,75.4,66.4,63.8,78.0
460,Shahdol,"604,194","442,701","161,493",57.6,51.1,78.9,66.7,62.2,83.2
461,Anuppur,"436,595","290,893","145,702",60.2,53.9,75.1,67.9,63.0,80.3
462,Sidhi,"600,785","537,755","63,030",55.3,53.5,75.7,64.4,63.1,78.7
463,Singrauli,"585,054","437,064","147,990",49.2,43.1,71.0,60.4,56.6,75.5
464,Jhabua,"352,081","286,231","65,850",41.4,36.4,82.5,43.3,39.0,83.5
465,Alirajpur,"209,754","170,812","38,942",31.1,27.1,77.0,36.1,32.1,80.0
466,Khandwa (East Nimar),"731,615","540,989","190,626",62.8,58.1,80.5,66.4,61.8,84.3
467,Burhanpur,"408,679","229,184","179,495",59.9,50.5,74.3,64.4,55.9,79.7
