district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"25,174,328","17,054,982","8,119,346",76.1,71.7,87.4,78.7,74.7,88.7
418,Sheopur,"208,201","168,393","39,808",61.8,58.6,78.2,69.3,66.8,82.4
419,Morena,"747,652","558,748","188,904",79.9,77.9,86.9,82.9,81.6,87.0
420,Bhind,"676,513","501,892","174,621",83.2,82.4,85.7,85.4,84.8,87.2
421,Gwalior,"803,114","267,017","536,097",80.4,69.2,87.5,84.7,77.0,89.2
422,Datia,"303,815","230,901","72,914",83.9,83.1,87.2,84.2,83.3,87.2
423,Shivpuri,"573,242","458,705","114,537",74.0,71.6,85.2,74.6,72.4,84.8
424,Tikamgarh,"459,353","366,751","92,602",68.7,66.4,79.3,71.8,69.5,82.2
425,Chhatarpur,"572,010","416,937","155,073",65.3,60.3,82.2,72.7,68.9,85.1
426,Panna,"332,140","282,573","49,567",73.3,71.6,84.9,74.1,72.4,85.9
427,Sagar,"908,607","610,355","298,252",79.4,74.7,90.3,84.8,81.8,91.8
428,Damoh,"445,737","342,733","103,004",74.7,71.1,89.4,79.3,76.6,89.8
429,Satna,"801,051","607,280","193,771",77.1,74.5,86.7,81.4,79.3,88.7
430,Rewa,"845,572","684,319","161,253",75.6,73.5,85.7,81.4,79.9,88.8
431,Umaria,"210,907","166,849","44,058",72.9,70.7,83.3,76.0,73.6,87.0
432,Neemuch,"307,889","206,269","101,620",82.5,79.8,89.3,83.9,81.0,90.4
433,Mandsaur,"502,898","389,057","113,841",85.2,84.0,90.5,85.1,83.5,91.2
434,Ratlam,"485,090","311,054","174,036",79.5,75.1,88.9,77.5,72.2,89.3
435,Ujjain,"730,817","416,991","313,826",83.0,79.1,88.9,83.5,79.6,89.2
436,Shajapur,"543,509","427,370","116,139",83.3,82.1,88.4,81.5,79.7,88.7
437,Dewas,"550,716","369,959","180,757",75.7,71.3,87.0,80.3,76.6,89.0
438,Dhar,"638,479","477,831","160,648",65.7,61.6,84.5,68.9,64.6,86.3
439,Indore,"1,289,631","299,899","989,732",84.6,74.2,88.7,87.3,80.7,89.4
440,Khargone (West Nimar),"575,428","457,771","117,657",74.7,72.4,86.9,72.1,68.9,88.1
441,Barwani,"313,642","238,262","75,380",51.1,45.0,83.8,55.7,50.3,84.1
442,Rajgarh,"488,797","384,594","104,203",69.1,66.0,83.8,73.0,70.2,85.8
443,Vidisha,"512,344","379,182","133,162",74.2,71.0,85.7,79.1,76.8,86.8
444,Bhopal,"920,314","153,144","767,170",81.9,66.9,85.4,85.4,76.6,87.4
445,Sehore,"469,208","370,658","98,550",77.3,75.4,85.6,80.8,79.2,87.8
446,Raisen,"479,093","358,832","120,261",81.6,80.6,85.8,80.8,78.9,87.2
447,Betul,"529,783","400,175","129,608",76.8,73.2,91.1,76.6,72.9,91.3
448,Harda,"203,807","154,040","49,767",77.9,74.1,91.0,81.1,78.1,92.4
449,Hoshangabad,"469,199","303,089","166,110",80.8,75.6,91.9,83.3,79.3,91.9
450,Katni,"460,583","351,840","108,743",77.9,74.7,89.2,81.9,79.6,90.4
451,Jabalpur,"980,307","371,345","608,962",84.6,76.8,90.0,87.3,81.8,91.0
452,Narsimhapur,"413,491","327,734","85,757",86.1,85.2,90.7,83.6,81.9,91.3
453,Dindori,"222,759","209,532","13,227",70.0,68.9,90.6,75.5,74.6,91.5
454,Mandla,"348,033","293,753","54,280",73.7,71.4,92.1,77.5,75.3,92.4
455,Chhindwara,"731,294","522,433","208,861",76.4,72.3,88.5,79.0,75.2,90.7
456,Seoni,"485,341","416,105","69,236",77.2,75.3,92.2,80.4,78.6,93.3
457,Balaghat,"626,468","527,089","99,379",80.6,79.1,90.1,85.4,84.3,91.3
458,Guna,"400,537","281,493","119,044",72.1,67.7,85.1,74.1,70.2,85.2
459,Ashoknagar,"290,304","230,726","59,578",77.0,75.2,86.0,78.1,76.2,86.3
460,Shahdol,"348,761","259,031","89,730",70.3,65.0,87.3,76.1,72.4,89.6
461,Anuppur,"254,120","170,653","83,467",73.8,68.6,85.2,78.3,74.2,88.1
462,Sidhi,"353,030","317,149","35,881",69.3,67.8,85.4,74.4,73.3,86.2
463,Singrauli,"359,923","272,515","87,408",65.4,60.3,82.9,71.3,68.1,84.0
464,Jhabua,"214,582","177,981","36,601",53.9,49.4,90.5,52.9,48.7,89.9
465,Alirajpur,"120,905","99,574","21,331",40.2,36.1,85.7,42.0,37.9,86.5
466,Khandwa (East Nimar),"432,259","328,903","103,356",76.0,72.9,87.4,76.3,73.0,89.3
467,Burhanpur,"233,073","135,496","97,577",69.9,62.0,81.8,71.8,64.7,84.6
