district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"17,676,841","11,227,004","6,449,837",50.3,42.8,70.5,59.2,52.4,76.5
418,Sheopur,"119,824","92,660","27,164",29.1,24.6,52.2,44.2,40.8,62.3
419,Morena,"432,033","306,938","125,095",46.2,41.6,62.3,56.9,53.7,66.7
420,Bhind,"418,404","298,143","120,261",55.2,53.0,62.3,63.1,61.0,69.2
421,Gwalior,"554,096","152,344","401,752",56.4,34.4,69.9,67.4,51.4,76.4
422,Datia,"187,630","134,666","52,964",56.6,53.5,68.0,59.4,55.9,70.7
423,Shivpuri,"327,604","244,935","82,669",40.7,35.7,63.7,48.8,44.5,68.6
424,Tikamgarh,"288,587","220,242","68,345",41.0,37.3,57.6,50.0,46.4,66.5
425,Chhatarpur,"371,023","254,621","116,402",39.3,32.3,62.8,53.6,48.1,71.5
426,Panna,"220,419","182,893","37,526",48.0,45.1,66.7,54.4,51.8,72.5
427,Sagar,"637,112","401,627","235,485",54.4,45.9,73.6,67.0,61.0,80.5
428,Damoh,"301,978","221,407","80,571",47.3,41.4,71.5,59.2,54.5,77.5
429,Satna,"570,730","421,964","148,766",51.0,46.7,67.8,62.5,58.8,75.6
430,Rewa,"596,185","472,598","123,587",47.6,44.2,64.9,61.2,58.4,74.4
431,Umaria,"145,765","112,793","32,972",44.5,41.4,60.2,55.2,51.9,71.0
432,Neemuch,"200,945","124,377","76,568",49.0,41.8,67.4,57.1,50.1,73.9
433,Mandsaur,"331,693","240,677","91,016",54.7,50.9,71.1,58.0,53.2,75.9
434,Ratlam,"340,790","196,050","144,740",54.3,45.9,72.5,55.8,46.3,76.9
435,Ujjain,"510,173","254,392","255,781",57.9,48.4,72.3,60.7,50.4,76.3
436,Shajapur,"351,103","263,004","88,099",57.4,55.1,67.2,55.9,52.2,71.3
437,Dewas,"374,653","234,335","140,318",45.0,36.8,66.3,57.8,51.2,73.7
438,Dhar,"438,859","318,642","120,217",38.6,33.6,64.0,48.8,43.5,71.9
439,Indore,"1,019,499","199,238","820,261",64.8,39.8,75.2,74.0,56.5,80.1
440,Khargone (West Nimar),"410,806","315,018","95,788",50.6,47.1,68.7,53.0,48.6,75.5
441,Barwani,"236,284","174,890","61,394",32.0,26.0,64.7,42.4,37.1,71.0
442,Rajgarh,"315,448","235,719","79,729",37.1,32.3,59.7,48.9,44.6,68.6
443,Vidisha,"350,574","245,011","105,563",47.4,41.3,68.3,60.9,56.1,75.6
444,Bhopal,"740,376","101,666","638,710",66.4,36.5,73.1,74.9,56.2,79.0
445,Sehore,"311,154","233,188","77,966",47.4,42.6,68.2,58.3,54.3,75.0
446,Raisen,"341,127","249,117","92,010",61.3,59.6,68.7,64.2,61.0,75.2
447,Betul,"409,986","299,923","110,063",55.6,50.5,77.4,60.9,55.7,82.0
448,Harda,"148,743","107,189","41,554",54.1,48.1,74.9,63.3,58.2,81.8
449,Hoshangabad,"341,445","207,122","134,323",57.8,48.8,76.9,66.5,59.5,81.2
450,Katni,"330,190","241,112","89,078",48.2,41.3,73.0,61.6,56.8,79.6
451,Jabalpur,"776,161","266,479","509,682",65.9,49.7,77.6,74.4,62.3,82.7
452,Narsimhapur,"305,294","234,353","70,941",68.5,66.7,77.5,67.1,63.6,81.8
453,Dindori,"155,955","145,310","10,645",38.2,36.6,70.8,52.4,51.2,77.5
454,Mandla,"256,929","209,972","46,957",45.5,41.7,77.9,56.4,52.7,81.8
455,Chhindwara,"562,904","385,405","177,499",54.6,48.3,73.4,63.0,57.3,80.6
456,Seoni,"378,853","318,263","60,590",53.8,50.8,79.0,63.7,60.8,84.3
457,Balaghat,"521,155","433,129","88,026",57.2,54.7,74.0,69.0,67.1,80.2
458,Guna,"253,443","165,677","87,766",41.2,34.0,62.4,51.4,45.4,68.4
459,Ashoknagar,"178,805","135,588","43,217",45.2,41.3,63.6,53.4,49.9,68.8
460,Shahdol,"255,433","183,670","71,763",44.2,36.8,69.4,57.0,51.8,76.4
461,Anuppur,"182,475","120,240","62,235",46.1,38.9,63.8,57.3,51.9,71.7
462,Sidhi,"247,755","220,606","27,149",40.3,38.4,64.0,54.1,52.6,70.6
463,Singrauli,"225,131","164,549","60,582",31.5,24.8,56.7,48.5,44.2,65.9
464,Jhabua,"137,499","108,250","29,249",28.6,23.3,73.9,33.8,29.3,76.7
465,Alirajpur,"88,849","71,238","17,611",22.0,18.2,67.6,30.3,26.4,73.4
466,Khandwa (East Nimar),"299,356","212,086","87,270",48.6,42.2,73.0,55.9,49.9,79.0
467,Burhanpur,"175,606","93,688","81,918",49.5,38.4,66.3,56.6,46.8,74.4
