district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"31,574,133","24,715,198","6,858,935",42.7,47.1,30.6,43.5,47.0,34.2
418,Sheopur,"277,455","243,870","33,585",41.0,43.3,28.8,40.3,42.0,31.3
419,Morena,"675,993","546,873","129,120",37.1,39.9,26.6,34.4,36.6,27.4
420,Bhind,"520,768","405,578","115,190",36.8,40.0,26.3,30.6,31.9,26.6
421,Gwalior,"685,311","287,151","398,160",32.5,38.3,28.7,33.7,37.9,31.3
422,Datia,"321,160","261,170","59,990",50.3,54.7,33.5,40.8,43.2,33.0
423,Shivpuri,"759,281","665,928","93,353",45.1,48.6,27.9,44.0,46.5,31.6
424,Tikamgarh,"655,318","566,426","88,892",47.1,49.5,35.9,45.3,47.4,35.6
425,Chhatarpur,"751,797","620,301","131,496",40.2,42.9,30.4,42.7,45.5,33.0
426,Panna,"431,998","390,497","41,501",43.6,45.6,29.8,42.5,43.8,33.1
427,Sagar,"1,006,035","743,401","262,634",41.5,44.5,34.3,42.3,44.5,37.1
428,Damoh,"574,595","482,526","92,069",44.9,47.4,34.2,45.5,47.6,36.7
429,Satna,"911,349","751,452","159,897",39.9,41.9,32.0,40.9,42.8,33.7
430,Rewa,"991,946","855,559","136,387",43.7,46.2,31.2,41.9,43.4,34.5
431,Umaria,"289,691","253,843","35,848",42.2,44.5,30.1,44.9,47.5,32.4
432,Neemuch,"418,682","323,101","95,581",48.0,53.6,33.5,50.7,55.6,39.0
433,Mandsaur,"679,723","578,136","101,587",48.2,51.3,34.6,50.7,54.4,36.6
434,Ratlam,"690,980","540,528","150,452",45.1,51.3,30.7,47.5,53.0,34.6
435,Ujjain,"897,442","622,858","274,584",44.1,52.4,31.2,45.2,51.6,35.2
436,Shajapur,"717,871","614,874","102,997",48.8,52.2,33.9,47.5,50.4,35.1
437,Dewas,"742,676","587,009","155,667",44.4,49.4,31.0,47.5,52.8,34.5
438,Dhar,"1,027,974","878,275","149,699",46.6,49.2,33.8,47.0,49.5,36.2
439,Indore,"1,268,195","386,782","881,413",36.2,45.6,32.2,38.7,45.6,36.3
440,Khargone (West Nimar),"894,119","792,530","101,589",46.1,48.8,31.3,47.7,50.3,34.0
441,Barwani,"653,897","581,786","72,111",48.4,50.8,33.9,47.2,49.2,35.3
442,Rajgarh,"745,603","652,204","93,399",49.9,53.7,31.9,48.2,51.4,33.8
443,Vidisha,"550,402","442,171","108,231",37.2,39.5,28.8,37.7,39.5,31.9
444,Bhopal,"867,457","194,599","672,858",32.1,42.2,29.6,36.6,42.9,35.1
445,Sehore,"586,087","504,012","82,075",41.8,44.9,28.0,44.7,47.4,33.0
446,Raisen,"517,838","418,798","99,040",36.6,38.1,29.9,38.9,40.7,32.6
447,Betul,"786,980","682,986","103,994",44.2,48.0,27.2,50.0,53.9,33.6
448,Harda,"230,979","193,857","37,122",44.9,49.4,28.3,40.5,43.0,31.1
449,Hoshangabad,"478,082","352,443","125,639",35.7,39.0,28.3,38.5,41.4,32.2
450,Katni,"543,874","455,317","88,557",41.7,44.9,29.9,42.1,44.3,33.6
451,Jabalpur,"1,005,624","478,125","527,499",37.2,45.1,31.2,40.8,46.7,36.6
452,Narsimhapur,"477,818","407,309","70,509",42.1,44.3,30.8,43.8,45.9,34.6
453,Dindori,"389,925","377,973","11,952",57.0,58.2,31.9,55.3,56.2,37.0
454,Mandla,"559,649","512,510","47,139",51.9,54.3,30.9,53.1,55.4,36.2
455,Chhindwara,"957,984","783,608","174,376",42.2,46.2,29.6,45.8,49.4,34.5
456,Seoni,"684,434","628,170","56,264",48.8,51.0,29.5,49.6,51.7,34.3
457,Balaghat,"893,014","802,288","90,726",50.3,52.9,33.0,52.5,55.1,37.1
458,Guna,"514,897","415,816","99,081",42.8,47.1,29.6,41.5,44.8,31.7
459,Ashoknagar,"315,270","265,421","49,849",38.3,40.2,29.3,37.3,38.4,32.4
460,Shahdol,"493,057","423,913","69,144",43.5,48.1,27.5,46.3,50.1,31.5
461,Anuppur,"346,471","284,804","61,667",43.0,49.8,26.4,46.2,52.4,30.0
462,Sidhi,"461,760","430,176","31,584",40.9,41.8,30.0,41.0,41.6,33.9
463,Singrauli,"499,439","430,700","68,739",41.9,45.3,28.7,42.4,45.3,30.3
464,Jhabua,"515,121","482,366","32,755",50.4,52.4,31.9,50.3,51.7,35.6
465,Alirajpur,"366,797","346,934","19,863",55.2,56.9,34.0,50.3,51.6,34.8
466,Khandwa (East Nimar),"612,976","527,708","85,268",45.0,49.1,28.9,46.8,50.2,32.9
467,Burhanpur,"328,339","240,536","87,803",42.1,49.3,30.5,43.3,48.3,33.7
