district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"20,146,970","14,741,977","5,404,993",51.5,53.0,47.4,53.6,54.3,51.7
418,Sheopur,"183,788","156,285","27,503",49.4,50.2,45.4,50.8,51.2,48.7
419,Morena,"525,329","408,937","116,392",48.0,49.4,43.1,49.2,50.2,46.0
420,Bhind,"455,775","351,507","104,268",48.3,50.1,42.5,49.2,50.6,44.9
421,Gwalior,"548,820","210,476","338,344",47.6,50.0,46.1,50.3,51.4,49.7
422,Datia,"225,662","177,480","48,182",56.3,58.3,48.5,53.7,54.8,50.1
423,Shivpuri,"481,001","404,291","76,710",52.0,53.4,44.7,52.3,52.9,49.1
424,Tikamgarh,"402,776","338,038","64,738",52.2,53.3,47.2,53.0,53.7,49.5
425,Chhatarpur,"481,518","378,524","102,994",49.3,50.4,45.4,51.4,52.2,48.8
426,Panna,"275,375","243,351","32,024",51.3,52.2,44.8,51.6,52.1,48.5
427,Sagar,"682,077","487,097","194,980",51.4,52.9,47.6,54.3,55.1,52.4
428,Damoh,"367,711","299,504","68,207",53.1,54.5,47.1,55.6,56.5,51.9
429,Satna,"590,487","466,468","124,019",48.4,48.8,46.9,51.0,51.4,49.7
430,Rewa,"617,184","516,289","100,895",49.4,50.5,44.0,50.4,50.7,48.7
431,Umaria,"175,698","147,246","28,452",50.5,51.4,45.7,53.1,53.9,49.4
432,Neemuch,"245,708","174,667","71,041",55.4,57.2,50.9,58.1,59.2,55.7
433,Mandsaur,"397,714","319,447","78,267",55.6,56.5,51.8,58.2,59.0,55.2
434,Ratlam,"411,446","293,455","117,991",53.6,55.6,49.0,55.7,56.8,53.2
435,Ujjain,"569,425","355,469","213,956",53.8,56.9,48.8,56.0,57.7,53.5
436,Shajapur,"431,857","352,239","79,618",55.1,56.1,50.6,55.3,56.0,52.6
437,Dewas,"451,501","329,631","121,870",51.8,53.3,47.7,56.1,57.7,52.2
438,Dhar,"597,079","479,585","117,494",52.5,52.6,51.8,53.7,53.6,54.0
439,Indore,"939,055","244,360","694,695",51.8,53.3,51.2,55.3,55.9,55.0
440,Khargone (West Nimar),"518,254","437,791","80,463",52.3,53.0,48.8,54.4,54.8,52.3
441,Barwani,"365,928","311,527","54,401",53.0,53.4,50.4,52.3,52.4,52.1
442,Rajgarh,"429,768","358,509","71,259",54.6,56.0,47.9,54.4,55.3,50.3
443,Vidisha,"401,583","313,012","88,571",51.2,52.5,46.1,52.2,52.9,49.9
444,Bhopal,"644,960","123,042","521,918",47.4,49.4,46.9,52.2,51.7,52.3
445,Sehore,"364,559","298,844","65,715",48.8,49.7,45.0,53.3,53.9,50.9
446,Raisen,"370,366","288,836","81,530",49.5,50.2,46.7,52.9,53.5,50.8
447,Betul,"453,887","371,172","82,715",51.0,52.6,44.3,56.8,58.0,52.1
448,Harda,"156,852","125,772","31,080",52.8,54.6,46.0,53.2,53.9,50.5
449,Hoshangabad,"345,435","241,932","103,503",49.3,50.7,46.1,53.2,54.4,50.8
450,Katni,"348,410","277,577","70,833",51.5,52.4,48.0,52.6,52.9,51.8
451,Jabalpur,"705,970","300,951","405,019",50.3,53.4,48.0,55.3,57.1,54.0
452,Narsimhapur,"323,464","267,382","56,082",53.9,55.0,48.2,56.9,57.8,52.9
453,Dindori,"203,383","194,635","8,748",58.9,59.4,49.0,57.8,58.0,53.0
454,Mandla,"300,235","265,791","34,444",55.5,56.5,47.1,57.2,57.9,52.1
455,Chhindwara,"582,263","449,571","132,692",50.8,52.4,46.1,54.7,55.8,51.4
456,Seoni,"394,660","351,188","43,472",54.0,54.9,46.0,56.7,57.4,52.0
457,Balaghat,"488,610","423,889","64,721",54.4,55.4,47.6,58.0,58.9,52.9
458,Guna,"335,454","255,198","80,256",51.6,53.5,45.9,51.7,52.5,49.2
459,Ashoknagar,"231,829","191,602","40,227",51.2,52.3,45.9,52.2,52.7,50.0
460,Shahdol,"292,402","236,924","55,478",51.9,54.1,44.4,54.1,55.5,48.9
461,Anuppur,"207,401","156,443","50,958",52.6,56.5,43.7,54.7,57.5,47.6
462,Sidhi,"284,289","261,274","23,015",47.9,48.2,44.1,49.4,49.5,47.4
463,Singrauli,"304,234","247,259","56,975",48.2,49.0,45.4,49.6,50.1,47.4
464,Jhabua,"265,489","241,771","23,718",52.1,52.7,46.7,51.5,51.7,49.9
465,Alirajpur,"188,698","174,050","14,648",57.1,57.7,49.5,52.0,52.2,50.6
466,Khandwa (East Nimar),"369,676","300,739","68,937",53.1,54.7,46.9,54.8,55.6,51.8
467,Burhanpur,"211,925","140,950","70,975",52.4,54.7,48.7,54.5,55.3,53.2
