district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"11,427,163","9,973,221","1,453,942",33.2,40.7,12.0,32.6,39.3,15.1
418,Sheopur,"93,667","87,585","6,082",31.5,35.6,9.8,28.7,31.8,11.9
419,Morena,"150,664","137,936","12,728",23.7,28.4,7.1,16.8,20.3,5.9
420,Bhind,"64,993","54,071","10,922",22.9,27.8,7.1,8.4,9.4,5.4
421,Gwalior,"136,491","76,675","59,816",14.7,24.2,8.4,14.5,22.0,10.1
422,Datia,"95,498","83,690","11,808",43.3,50.5,16.2,26.0,29.8,13.8
423,Shivpuri,"278,280","261,637","16,643",37.1,43.0,8.8,34.5,39.2,12.0
424,Tikamgarh,"252,542","228,388","24,154",41.3,45.1,23.4,36.9,40.4,20.3
425,Chhatarpur,"270,279","241,777","28,502",29.7,34.4,13.3,32.7,37.9,15.1
426,Panna,"156,623","147,146","9,477",35.1,38.3,12.8,32.4,34.7,16.0
427,Sagar,"323,958","256,304","67,654",30.4,35.0,19.4,28.9,32.6,20.1
428,Damoh,"206,884","183,022","23,862",35.8,39.5,20.0,34.3,37.9,20.0
429,Satna,"320,862","284,984","35,878",30.6,34.5,15.1,29.9,33.7,16.0
430,Rewa,"374,762","339,270","35,492",37.7,41.6,16.7,32.9,35.7,18.8
431,Umaria,"113,993","106,597","7,396",33.3,37.2,13.0,36.3,40.8,14.0
432,Neemuch,"172,974","148,434","24,540",40.1,49.8,14.8,42.9,51.9,20.9
433,Mandsaur,"282,009","258,689","23,320",40.4,45.8,16.4,42.9,49.6,17.2
434,Ratlam,"279,534","247,073","32,461",36.2,46.9,11.3,39.0,49.1,15.2
435,Ujjain,"328,017","267,389","60,628",33.9,47.5,12.1,33.8,45.2,16.0
436,Shajapur,"286,014","262,635","23,379",42.0,48.0,15.7,39.1,44.5,16.4
437,Dewas,"291,175","257,378","33,797",36.4,45.3,12.7,38.4,47.6,15.5
438,Dhar,"430,895","398,690","32,205",40.5,45.6,13.3,40.2,45.4,16.5
439,Indore,"329,140","142,422","186,718",19.1,37.4,11.2,20.9,34.5,16.0
440,Khargone (West Nimar),"375,865","354,739","21,126",39.6,44.5,12.4,40.9,45.8,14.6
441,Barwani,"287,969","270,259","17,710",43.6,48.1,16.3,41.9,46.0,17.8
442,Rajgarh,"315,835","293,695","22,140",44.8,51.2,14.3,41.8,47.3,16.4
443,Vidisha,"148,819","129,159","19,660",21.2,24.5,9.2,21.6,24.5,12.1
444,Bhopal,"222,497","71,557","150,940",14.9,34.0,10.3,19.6,33.1,16.4
445,Sehore,"221,528","205,168","16,360",34.1,39.6,9.2,35.3,40.4,13.7
446,Raisen,"147,472","129,962","17,510",21.9,24.4,10.4,23.4,26.6,12.2
447,Betul,"333,093","311,814","21,279",37.0,43.3,8.5,42.9,49.8,14.2
448,Harda,"74,127","68,085","6,042",36.4,43.8,8.8,26.9,31.3,10.4
449,Hoshangabad,"132,647","110,511","22,136",20.5,25.9,8.4,22.4,27.2,11.9
450,Katni,"195,464","177,740","17,724",31.3,36.9,9.9,31.0,35.3,14.0
451,Jabalpur,"299,654","177,174","122,480",22.7,36.1,12.4,25.3,35.7,17.8
452,Narsimhapur,"154,354","139,927","14,427",29.1,32.5,11.5,29.5,32.9,14.8
453,Dindori,"186,542","183,338","3,204",55.0,57.0,13.8,52.9,54.4,20.3
454,Mandla,"259,414","246,719","12,695",48.3,52.1,13.9,49.0,53.0,19.8
455,Chhindwara,"375,721","334,037","41,684",33.0,39.8,11.8,36.6,42.9,16.9
456,Seoni,"289,774","276,982","12,792",43.5,47.0,11.7,42.4,45.9,15.9
457,Balaghat,"404,404","378,399","26,005",46.3,50.4,18.0,47.0,51.3,21.2
458,Guna,"179,443","160,618","18,825",33.0,40.0,11.3,30.3,36.3,12.6
459,Ashoknagar,"83,441","73,819","9,622",23.7,26.4,11.0,20.8,22.5,13.1
460,Shahdol,"200,655","186,989","13,666",34.8,42.0,8.7,38.1,44.5,12.9
461,Anuppur,"139,070","128,361","10,709",33.0,43.1,7.2,37.6,47.2,10.9
462,Sidhi,"177,471","168,902","8,569",33.5,35.0,13.4,32.2,33.3,19.2
463,Singrauli,"195,205","183,441","11,764",35.0,41.5,9.1,34.6,40.0,11.0
464,Jhabua,"249,632","240,595","9,037",48.6,52.1,15.8,48.9,51.7,20.3
465,Alirajpur,"178,099","172,884","5,215",53.3,56.0,17.2,48.6,51.1,18.5
466,Khandwa (East Nimar),"243,300","226,969","16,331",36.3,43.1,9.5,38.3,44.6,12.9
467,Burhanpur,"116,414","99,586","16,828",31.2,43.6,11.2,31.5,41.1,13.3
