district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"22,702,119","16,729,558","5,972,561",74.1,70.7,88.4,71.9,67.7,87.1
418,Sheopur,"196,189","168,556","27,633",66.5,63.9,87.3,70.7,69.1,82.3
419,Morena,"520,970","409,796","111,174",76.5,74.4,87.8,77.1,74.9,86.1
420,Bhind,"422,111","324,158","97,953",75.5,73.5,85.4,81.1,79.9,85.0
421,Gwalior,"559,845","204,291","355,554",83.3,74.8,90.7,81.7,71.1,89.3
422,Datia,"247,229","194,734","52,495",71.8,69.5,86.4,77.0,74.6,87.5
423,Shivpuri,"577,723","497,723","80,000",77.8,76.9,85.9,76.1,74.7,85.7
424,Tikamgarh,"470,432","399,125","71,307",69.9,68.5,78.5,71.8,70.5,80.2
425,Chhatarpur,"553,862","442,063","111,799",74.5,72.0,86.9,73.7,71.3,85.0
426,Panna,"276,633","244,537","32,096",69.9,68.5,84.8,64.0,62.6,77.3
427,Sagar,"779,093","542,762","236,331",76.0,71.9,88.7,77.4,73.0,90.0
428,Damoh,"389,993","312,933","77,060",71.7,69.2,86.6,67.9,64.9,83.7
429,Satna,"612,510","476,109","136,401",74.4,71.6,88.5,67.2,63.4,85.3
430,Rewa,"630,251","522,083","108,168",67.8,65.9,82.5,63.5,61.0,79.3
431,Umaria,"138,600","111,945","26,655",65.1,63.7,76.5,47.8,44.1,74.4
432,Neemuch,"358,500","271,520","86,980",81.0,79.6,87.0,85.6,84.0,91.0
433,Mandsaur,"535,066","444,685","90,381",79.7,78.1,90.1,78.7,76.9,89.0
434,Ratlam,"471,139","339,067","132,072",73.9,70.2,88.3,68.2,62.7,87.8
435,Ujjain,"682,115","437,735","244,380",77.9,73.9,88.6,76.0,70.3,89.0
436,Shajapur,"508,833","422,800","86,033",69.3,67.1,84.2,70.9,68.8,83.5
437,Dewas,"528,526","392,695","135,831",73.9,71.1,86.1,71.2,66.9,87.3
438,Dhar,"783,019","649,021","133,998",73.4,71.3,88.9,76.2,73.9,89.5
439,Indore,"1,137,251","320,072","817,179",85.8,76.0,91.7,89.7,82.8,92.7
440,Khargone (West Nimar),"756,735","664,490","92,245",83.7,82.8,91.3,84.6,83.8,90.8
441,Barwani,"525,791","460,784","65,007",74.6,72.7,90.8,80.4,79.2,90.1
442,Rajgarh,"471,773","395,068","76,705",70.0,68.4,83.2,63.3,60.6,82.1
443,Vidisha,"397,283","301,292","95,991",76.6,74.2,89.0,72.2,68.1,88.7
444,Bhopal,"706,036","130,127","575,909",84.6,69.4,89.9,81.4,66.9,85.6
445,Sehore,"372,150","304,453","67,697",68.3,66.0,84.9,63.5,60.4,82.5
446,Raisen,"370,241","284,748","85,493",75.0,72.8,87.7,71.5,68.0,86.3
447,Betul,"511,287","422,382","88,905",68.0,65.4,88.0,65.0,61.8,85.5
448,Harda,"163,781","131,627","32,154",71.3,68.8,87.7,70.9,67.9,86.6
449,Hoshangabad,"361,648","249,872","111,776",75.9,71.3,90.1,75.6,70.9,89.0
450,Katni,"316,144","238,682","77,462",66.5,62.3,90.1,58.1,52.4,87.5
451,Jabalpur,"744,287","296,927","447,360",78.1,67.7,89.5,74.0,62.1,84.8
452,Narsimhapur,"358,203","296,921","61,282",76.9,75.4,88.1,75.0,72.9,86.9
453,Dindori,"250,137","240,777","9,360",78.7,78.6,82.6,64.2,63.7,78.3
454,Mandla,"325,159","285,773","39,386",69.4,68.1,88.9,58.1,55.8,83.6
455,Chhindwara,"673,845","524,973","148,872",71.8,68.8,86.2,70.3,67.0,85.4
456,Seoni,"397,575","348,936","48,639",66.9,65.6,87.5,58.1,55.5,86.4
457,Balaghat,"530,506","458,063","72,443",65.5,64.0,81.0,59.4,57.1,79.8
458,Guna,"353,671","269,407","84,264",72.5,69.5,87.6,68.7,64.8,85.0
459,Ashoknagar,"241,288","196,546","44,742",73.1,70.5,90.5,76.5,74.1,89.8
460,Shahdol,"240,811","185,833","54,978",62.0,57.9,87.1,48.8,43.8,79.5
461,Anuppur,"227,040","173,144","53,896",72.5,69.0,88.7,65.5,60.8,87.4
462,Sidhi,"275,482","248,497","26,985",69.4,68.3,87.3,59.7,57.8,85.4
463,Singrauli,"348,393","290,474","57,919",74.2,72.0,87.2,69.8,67.4,84.3
464,Jhabua,"370,641","341,710","28,931",65.8,64.3,89.6,72.0,70.8,88.3
465,Alirajpur,"265,029","247,463","17,566",67.4,66.5,86.0,72.3,71.3,88.4
466,Khandwa (East Nimar),"492,393","417,077","75,316",81.2,79.9,90.1,80.3,79.0,88.3
467,Burhanpur,"274,900","195,102","79,798",87.6,85.5,93.2,83.7,81.1,90.9
