district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"16,362,065","11,488,183","4,873,882",86.8,85.1,92.0,81.2,77.9,90.2
418,Sheopur,"153,183","129,254","23,929",87.4,86.3,93.5,83.3,82.7,87.0
419,Morena,"448,528","346,228","102,300",89.4,89.0,91.3,85.4,84.7,87.9
420,Bhind,"387,993","298,007","89,986",88.3,88.0,89.5,85.1,84.8,86.3
421,Gwalior,"479,461","171,369","308,092",91.0,88.4,92.8,87.4,81.4,91.1
422,Datia,"198,191","154,047","44,144",86.8,85.6,92.6,87.8,86.8,91.6
423,Shivpuri,"414,527","346,552","67,975",89.8,89.9,89.6,86.2,85.7,88.6
424,Tikamgarh,"335,876","280,167","55,709",89.5,89.4,89.7,83.4,82.9,86.1
425,Chhatarpur,"403,408","311,253","92,155",89.6,89.0,92.0,83.8,82.2,89.5
426,Panna,"205,293","179,076","26,217",85.2,84.8,88.8,74.6,73.6,81.9
427,Sagar,"585,116","405,184","179,932",88.3,86.3,93.8,85.8,83.2,92.3
428,Damoh,"286,957","227,730","59,227",86.7,85.5,92.8,78.0,76.0,86.8
429,Satna,"451,772","341,024","110,748",86.2,84.4,93.2,76.5,73.1,89.3
430,Rewa,"448,668","363,396","85,272",81.5,80.1,89.3,72.7,70.4,84.5
431,Umaria,"101,257","78,660","22,597",78.6,78.0,82.6,57.6,53.4,79.4
432,Neemuch,"223,764","156,552","67,212",89.7,88.9,92.0,91.1,89.6,94.6
433,Mandsaur,"352,137","279,130","73,007",90.6,89.9,94.0,88.5,87.4,93.3
434,Ratlam,"320,563","213,447","107,116",87.9,86.4,91.6,77.9,72.7,90.8
435,Ujjain,"485,641","289,130","196,511",88.5,86.9,91.6,85.3,81.3,91.8
436,Shajapur,"363,707","292,284","71,423",87.9,87.1,92.2,84.2,83.0,89.7
437,Dewas,"382,531","270,703","111,828",87.5,86.2,91.4,84.7,82.1,91.8
438,Dhar,"501,438","392,554","108,884",87.0,85.7,93.0,84.0,81.9,92.7
439,Indore,"878,391","219,736","658,655",91.6,86.9,93.6,93.5,89.9,94.8
440,Khargone (West Nimar),"466,922","391,960","74,962",91.7,91.4,94.0,90.1,89.5,93.2
441,Barwani,"321,855","271,153","50,702",87.2,85.9,95.0,88.0,87.0,93.2
442,Rajgarh,"331,533","268,586","62,947",85.4,84.4,90.7,77.1,74.9,88.3
443,Vidisha,"329,342","248,500","80,842",87.9,87.1,91.5,82.0,79.4,91.3
444,Bhopal,"559,122","96,263","462,859",90.0,83.9,91.5,86.7,78.2,88.7
445,Sehore,"287,341","230,040","57,301",84.6,83.6,89.3,78.8,77.0,87.2
446,Raisen,"301,008","228,101","72,907",86.1,85.1,91.0,81.3,79.0,89.4
447,Betul,"345,729","272,352","73,377",82.1,80.4,90.7,76.2,73.4,88.7
448,Harda,"127,309","99,539","27,770",87.7,86.9,91.6,81.2,79.1,89.4
449,Hoshangabad,"289,812","195,878","93,934",86.9,84.8,92.2,83.9,81.0,90.8
450,Katni,"235,991","172,236","63,755",80.1,76.8,93.1,67.7,62.0,90.0
451,Jabalpur,"564,532","211,254","353,278",85.9,79.0,91.5,80.0,70.2,87.2
452,Narsimhapur,"267,439","217,184","50,255",87.7,87.1,91.2,82.7,81.2,89.6
453,Dindori,"142,645","135,377","7,268",85.4,85.3,87.9,70.1,69.6,83.1
454,Mandla,"196,325","166,345","29,980",80.0,78.9,91.6,65.4,62.6,87.0
455,Chhindwara,"464,437","347,242","117,195",85.4,84.1,90.2,79.8,77.2,88.3
456,Seoni,"270,675","231,719","38,956",82.6,81.7,91.0,68.6,66.0,89.6
457,Balaghat,"338,314","282,601","55,713",79.4,78.2,87.9,69.2,66.7,86.1
458,Guna,"276,196","204,910","71,286",87.4,86.2,91.9,82.3,80.3,88.8
459,Ashoknagar,"199,418","162,235","37,183",88.3,87.2,94.6,86.0,84.7,92.4
460,Shahdol,"170,300","124,053","46,247",77.0,73.7,90.2,58.2,52.4,83.4
461,Anuppur,"154,768","108,490","46,278",85.1,82.6,92.5,74.6,69.3,90.8
462,Sidhi,"194,774","174,052","20,722",85.1,84.4,93.2,68.5,66.6,90.0
463,Singrauli,"242,234","191,840","50,394",89.3,88.5,92.2,79.6,77.6,88.4
464,Jhabua,"211,155","189,269","21,886",81.0,79.8,93.1,79.5,78.3,92.3
465,Alirajpur,"152,147","138,563","13,584",81.3,80.6,92.2,80.6,79.6,92.7
466,Khandwa (East Nimar),"323,266","260,429","62,837",90.5,90.1,92.1,87.4,86.6,91.2
467,Burhanpur,"189,074","122,529","66,545",93.1,91.6,95.9,89.2,86.9,93.8
