district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"6,340,054","5,241,375","1,098,679",52.6,50.5,72.6,55.5,52.6,75.6
418,Sheopur,"43,006","39,302","3,704",30.0,28.8,54.2,45.9,44.9,60.9
419,Morena,"72,442","63,568","8,874",44.6,43.3,62.3,48.1,46.1,69.7
420,Bhind,"34,118","26,151","7,967",42.9,41.8,56.0,52.5,48.4,72.9
421,Gwalior,"80,384","32,922","47,462",53.7,40.9,77.6,58.9,42.9,79.3
422,Datia,"49,038","40,687","8,351",49.1,47.7,65.0,51.3,48.6,70.7
423,Shivpuri,"163,196","151,171","12,025",58.3,58.0,64.3,58.6,57.8,72.3
424,Tikamgarh,"134,556","118,958","15,598",41.9,40.6,53.3,53.3,52.1,64.6
425,Chhatarpur,"150,454","130,810","19,644",45.8,43.4,66.9,55.7,54.1,68.9
426,Panna,"71,340","65,461","5,879",45.1,44.0,68.9,45.5,44.5,62.0
427,Sagar,"193,977","137,578","56,399",52.3,47.1,74.7,59.9,53.7,83.4
428,Damoh,"103,036","85,203","17,833",47.0,44.3,70.2,49.8,46.6,74.7
429,Satna,"160,738","135,085","25,653",54.4,52.4,71.8,50.1,47.4,71.5
430,Rewa,"181,583","158,687","22,896",48.8,47.8,62.0,48.5,46.8,64.5
431,Umaria,"37,343","33,285","4,058",43.5,42.9,52.8,32.8,31.2,54.9
432,Neemuch,"134,736","114,968","19,768",68.5,68.5,68.4,77.9,77.5,80.6
433,Mandsaur,"182,929","165,555","17,374",64.0,62.9,77.3,64.9,64.0,74.5
434,Ratlam,"150,576","125,620","24,956",52.4,50.3,72.6,53.9,50.8,76.9
435,Ujjain,"196,474","148,605","47,869",59.9,57.5,75.4,59.9,55.6,79.0
436,Shajapur,"145,126","130,516","14,610",42.9,41.9,56.5,50.7,49.7,62.5
437,Dewas,"145,995","121,992","24,003",53.2,52.0,64.4,50.1,47.4,71.0
438,Dhar,"281,581","256,467","25,114",55.0,54.1,71.0,65.3,64.3,78.0
439,Indore,"258,860","100,336","158,524",68.7,59.4,82.2,78.6,70.4,84.9
440,Khargone (West Nimar),"289,813","272,530","17,283",72.4,72.0,79.7,77.1,76.8,81.8
441,Barwani,"203,936","189,631","14,305",58.7,57.7,77.2,70.8,70.2,80.8
442,Rajgarh,"140,240","126,482","13,758",50.1,49.7,55.8,44.4,43.1,62.1
443,Vidisha,"67,941","52,792","15,149",45.5,42.5,74.8,45.7,40.9,77.1
444,Bhopal,"146,914","33,864","113,050",65.7,45.6,81.6,66.0,47.3,74.9
445,Sehore,"84,809","74,413","10,396",42.8,41.8,61.4,38.3,36.3,63.5
446,Raisen,"69,233","56,647","12,586",46.4,44.1,70.9,46.9,43.6,71.9
447,Betul,"165,558","150,030","15,528",47.8,46.7,72.4,49.7,48.1,73.0
448,Harda,"36,472","32,088","4,384",45.4,44.3,65.5,49.2,47.1,72.6
449,Hoshangabad,"71,836","53,994","17,842",46.4,41.9,77.8,54.2,48.9,80.6
450,Katni,"80,153","66,446","13,707",42.8,40.5,74.4,41.0,37.4,77.3
451,Jabalpur,"179,755","85,673","94,082",59.2,49.5,80.8,60.0,48.4,76.8
452,Narsimhapur,"90,764","79,737","11,027",54.9,53.6,73.9,58.8,57.0,76.4
453,Dindori,"107,492","105,400","2,092",71.5,71.6,62.3,57.6,57.5,65.3
454,Mandla,"128,834","119,428","9,406",57.1,56.4,79.5,49.7,48.4,74.1
455,Chhindwara,"209,408","177,731","31,677",49.6,47.8,69.2,55.7,53.2,76.0
456,Seoni,"126,900","117,217","9,683",47.2,46.5,72.7,43.8,42.3,75.7
457,Balaghat,"192,192","175,462","16,730",49.5,48.8,62.2,47.5,46.4,64.3
458,Guna,"77,475","64,497","12,978",46.3,44.3,68.1,43.2,40.2,68.9
459,Ashoknagar,"41,870","34,311","7,559",35.8,32.7,71.7,50.2,46.5,78.6
460,Shahdol,"70,511","61,780","8,731",38.7,37.0,68.9,35.1,33.0,63.9
461,Anuppur,"72,272","64,654","7,618",51.6,50.9,62.6,52.0,50.4,71.1
462,Sidhi,"80,708","74,445","6,263",45.5,44.9,64.3,45.5,44.1,73.1
463,Singrauli,"106,159","98,634","7,525",51.7,51.4,58.0,54.4,53.8,64.0
464,Jhabua,"159,486","152,441","7,045",49.3,48.4,78.6,63.9,63.4,78.0
465,Alirajpur,"112,882","108,900","3,982",52.4,52.1,67.0,63.4,63.0,76.4
466,Khandwa (East Nimar),"169,127","156,648","12,479",66.7,65.9,79.5,69.5,69.0,76.4
467,Burhanpur,"85,826","72,573","13,253",77.8,77.3,80.8,73.7,72.9,78.8
