district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"8,872,014","7,985,640","886,374",25.9,29.3,11.6,28.1,32.3,12.9
418,Sheopur,"81,266","75,314","5,952",33.5,36.1,12.7,29.3,30.9,17.7
419,Morena,"155,023","137,077","17,946",23.5,25.6,12.2,22.9,25.1,13.9
420,Bhind,"98,657","81,420","17,237",24.5,26.5,14.6,18.9,20.1,15.0
421,Gwalior,"125,466","82,860","42,606",16.7,25.2,9.3,18.3,28.9,10.7
422,Datia,"73,931","66,436","7,495",28.2,30.5,13.6,23.0,25.4,12.5
423,Shivpuri,"181,558","168,205","13,353",22.2,23.1,14.1,23.9,25.3,14.3
424,Tikamgarh,"184,886","167,301","17,585",30.1,31.5,21.5,28.2,29.5,19.8
425,Chhatarpur,"197,935","178,238","19,697",25.5,28.0,13.1,26.3,28.7,15.0
426,Panna,"155,365","145,960","9,405",30.1,31.5,15.2,36.0,37.4,22.7
427,Sagar,"226,942","200,639","26,303",24.0,28.1,11.3,22.6,27.0,10.0
428,Damoh,"184,602","169,593","15,009",28.3,30.8,13.4,32.1,35.1,16.3
429,Satna,"298,839","275,343","23,496",25.6,28.4,11.5,32.8,36.6,14.7
430,Rewa,"361,695","333,476","28,219",32.2,34.1,17.5,36.5,39.0,20.7
431,Umaria,"151,091","141,898","9,193",34.9,36.3,23.5,52.2,55.9,25.6
432,Neemuch,"60,182","51,581","8,601",19.0,20.4,13.0,14.4,16.0,9.0
433,Mandsaur,"144,657","133,451","11,206",20.3,21.9,9.9,21.3,23.1,11.0
434,Ratlam,"219,841","201,461","18,380",26.1,29.8,11.7,31.8,37.3,12.2
435,Ujjain,"215,327","185,123","30,204",22.1,26.1,11.4,24.0,29.7,11.0
436,Shajapur,"209,038","192,074","16,964",30.7,32.9,15.8,29.1,31.2,16.5
437,Dewas,"214,150","194,314","19,836",26.1,28.9,13.9,28.8,33.1,12.7
438,Dhar,"244,955","229,254","15,701",26.6,28.7,11.1,23.8,26.1,10.5
439,Indore,"130,944","66,710","64,234",14.2,24.0,8.3,10.3,17.2,7.3
440,Khargone (West Nimar),"137,384","128,040","9,344",16.3,17.2,8.7,15.4,16.2,9.2
441,Barwani,"128,106","121,002","7,104",25.4,27.3,9.2,19.6,20.8,9.9
442,Rajgarh,"273,830","257,136","16,694",30.0,31.6,16.8,36.7,39.4,17.9
443,Vidisha,"153,119","140,879","12,240",23.4,25.8,11.0,27.8,31.9,11.3
444,Bhopal,"161,421","64,472","96,949",15.4,30.6,10.1,18.6,33.1,14.4
445,Sehore,"213,937","199,559","14,378",31.7,34.0,15.1,36.5,39.6,17.5
446,Raisen,"147,597","134,050","13,547",25.0,27.2,12.3,28.5,32.0,13.7
447,Betul,"275,693","260,604","15,089",32.0,34.6,12.0,35.0,38.2,14.5
448,Harda,"67,198","62,230","4,968",28.7,31.2,12.3,29.1,32.1,13.4
449,Hoshangabad,"116,434","102,571","13,863",24.1,28.7,9.9,24.4,29.1,11.0
450,Katni,"227,730","216,635","11,095",33.5,37.7,9.9,41.9,47.6,12.5
451,Jabalpur,"261,337","181,198","80,139",21.9,32.3,10.5,26.0,37.9,15.2
452,Narsimhapur,"119,615","110,388","9,227",23.1,24.6,11.9,25.0,27.1,13.1
453,Dindori,"139,788","137,196","2,592",21.3,21.4,17.4,35.8,36.3,21.7
454,Mandla,"234,490","226,737","7,753",30.6,31.9,11.1,41.9,44.2,16.4
455,Chhindwara,"284,139","258,635","25,504",28.2,31.2,13.8,29.7,33.0,14.6
456,Seoni,"286,859","279,234","7,625",33.1,34.4,12.5,41.9,44.5,13.6
457,Balaghat,"362,508","344,225","18,283",34.5,36.0,19.0,40.6,42.9,20.2
458,Guna,"161,226","146,409","14,817",27.5,30.5,12.4,31.3,35.2,15.0
459,Ashoknagar,"73,982","68,875","5,107",26.9,29.5,9.5,23.5,25.9,10.2
460,Shahdol,"252,246","238,080","14,166",38.0,42.1,12.9,51.2,56.2,20.5
461,Anuppur,"119,431","111,660","7,771",27.5,31.0,11.3,34.5,39.2,12.6
462,Sidhi,"186,278","181,679","4,599",30.6,31.7,12.7,40.3,42.2,14.6
463,Singrauli,"151,046","140,226","10,820",25.8,28.0,12.8,30.2,32.6,15.7
464,Jhabua,"144,480","140,656","3,824",34.2,35.7,10.4,28.0,29.2,11.7
465,Alirajpur,"101,768","99,471","2,297",32.6,33.5,14.0,27.7,28.7,11.6
466,Khandwa (East Nimar),"120,583","110,631","9,952",18.8,20.1,9.9,19.7,21.0,11.7
467,Burhanpur,"53,439","45,434","8,005",12.4,14.5,6.8,16.3,18.9,9.1
