district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"9,844,439","9,473,811","370,628",42.8,51.4,6.2,31.2,38.3,5.4
418,Sheopur,"106,745","103,486","3,259",53.6,58.8,12.0,38.5,42.4,9.7
419,Morena,"304,674","289,237","15,437",56.8,65.2,11.0,45.1,52.9,12.0
420,Bhind,"231,185","211,668","19,517",53.6,60.7,18.8,44.4,52.2,16.9
421,Gwalior,"130,586","116,842","13,744",26.8,53.7,3.0,19.1,40.7,3.5
422,Datia,"152,903","145,435","7,468",62.9,70.8,13.2,47.6,55.7,12.4
423,Shivpuri,"383,340","376,533","6,807",64.5,71.2,8.0,50.5,56.5,7.3
424,Tikamgarh,"305,859","286,365","19,494",64.4,69.9,28.9,46.7,50.6,21.9
425,Chhatarpur,"302,228","285,985","16,243",54.8,62.2,17.8,40.2,46.1,12.4
426,Panna,"135,445","131,489","3,956",47.7,51.1,11.0,31.4,33.7,9.5
427,Sagar,"203,600","191,776","11,824",26.6,33.6,4.6,20.2,25.8,4.5
428,Damoh,"114,611","110,024","4,587",28.0,31.9,5.0,19.9,22.8,5.0
429,Satna,"227,967","218,083","9,884",34.1,39.4,7.4,25.0,29.0,6.2
430,Rewa,"258,321","247,282","11,039",43.3,47.4,12.0,26.0,28.9,8.1
431,Umaria,"65,369","63,476","1,893",39.8,43.8,9.1,22.6,25.0,5.3
432,Neemuch,"175,602","163,118","12,484",50.7,59.8,12.9,41.9,50.5,13.1
433,Mandsaur,"281,465","271,637","9,828",51.2,57.0,14.0,41.4,47.0,9.7
434,Ratlam,"218,692","209,095","9,597",46.3,56.4,7.4,31.6,38.7,6.4
435,Ujjain,"289,013","276,578","12,435",42.2,56.3,4.8,32.2,44.4,4.5
436,Shajapur,"287,924","275,256","12,668",49.1,54.0,15.8,40.1,44.8,12.3
437,Dewas,"260,222","249,080","11,142",41.6,49.4,8.5,35.0,42.4,7.2
438,Dhar,"385,522","377,056","8,466",52.1,58.1,8.2,37.5,42.9,5.7
439,Indore,"150,907","135,502","15,405",16.4,41.5,1.3,11.9,35.0,1.7
440,Khargone (West Nimar),"307,085","303,392","3,693",46.7,51.7,4.0,34.3,38.3,3.6
441,Barwani,"287,704","283,533","4,171",56.4,61.9,7.9,44.0,48.7,5.8
442,Rajgarh,"285,095","276,927","8,168",54.2,59.6,11.2,38.2,42.5,8.7
443,Vidisha,"168,615","161,032","7,583",37.4,43.5,6.4,30.6,36.4,7.0
444,Bhopal,"73,346","63,655","9,691",11.8,43.6,0.8,8.5,32.7,1.4
445,Sehore,"201,307","194,000","7,307",45.0,50.2,6.6,34.3,38.5,8.9
446,Raisen,"138,725","131,414","7,311",34.1,38.8,7.2,26.8,31.4,7.4
447,Betul,"253,602","248,909","4,693",41.8,46.6,5.3,32.2,36.4,4.5
448,Harda,"68,019","65,720","2,299",39.8,44.9,6.6,29.4,33.9,6.2
449,Hoshangabad,"116,440","111,417","5,023",28.7,36.9,3.4,24.4,31.6,4.0
450,Katni,"112,812","111,021","1,791",31.1,36.2,2.7,20.7,24.4,2.0
451,Jabalpur,"106,882","98,315","8,567",15.0,27.7,1.2,10.6,20.6,1.6
452,Narsimhapur,"113,866","110,220","3,646",33.7,37.6,4.4,23.8,27.1,5.2
453,Dindori,"150,084","149,114",970,60.9,62.4,5.4,38.5,39.5,8.1
454,Mandla,"148,931","145,847","3,084",44.0,46.6,4.5,26.6,28.5,6.5
455,Chhindwara,"283,111","273,506","9,605",39.0,45.9,6.0,29.6,34.9,5.5
456,Seoni,"173,665","171,530","2,135",41.3,43.8,3.7,25.4,27.3,3.8
457,Balaghat,"257,785","250,994","6,791",39.5,42.2,10.3,28.9,31.3,7.5
458,Guna,"213,949","206,405","7,544",51.9,60.7,8.5,41.6,49.6,7.6
459,Ashoknagar,"116,913","114,159","2,754",46.3,52.2,6.5,37.1,43.0,5.5
460,Shahdol,"95,795","93,242","2,553",33.7,38.6,3.6,19.4,22.0,3.7
461,Anuppur,"115,448","112,359","3,089",46.6,55.4,6.5,33.3,39.5,5.0
462,Sidhi,"102,644","99,156","3,488",45.7,47.7,11.3,22.2,23.1,11.0
463,Singrauli,"147,732","141,575","6,157",55.6,62.6,13.6,29.6,32.9,9.0
464,Jhabua,"329,175","325,667","3,508",69.8,73.5,13.7,63.9,67.5,10.7
465,Alirajpur,"256,393","253,734","2,659",77.3,80.3,13.5,69.9,73.1,13.4
466,Khandwa (East Nimar),"179,337","176,695","2,642",41.1,46.7,3.5,29.3,33.5,3.1
467,Burhanpur,"67,799","65,270","2,529",26.9,35.8,3.7,20.6,27.1,2.9
