district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"6,591,064","6,300,435","290,629",42.5,54.6,5.6,32.7,42.7,5.4
418,Sheopur,"79,466","76,811","2,655",56.5,64.1,12.4,43.2,49.1,9.7
419,Morena,"261,083","246,225","14,858",61.2,73.1,10.5,49.7,60.2,12.8
420,Bhind,"214,053","195,470","18,583",58.5,68.7,19.4,47.0,55.6,17.8
421,Gwalior,"107,715","95,563","12,152",25.9,57.4,3.0,19.6,45.4,3.6
422,Datia,"113,040","106,835","6,205",61.6,72.1,12.6,50.1,60.2,12.9
423,Shivpuri,"246,200","240,988","5,212",63.2,72.7,6.9,51.2,59.6,6.8
424,Tikamgarh,"200,712","187,178","13,534",64.9,72.2,26.0,49.8,55.4,20.9
425,Chhatarpur,"204,396","191,943","12,453",55.8,65.8,16.1,42.4,50.7,12.1
426,Panna,"98,099","94,738","3,361",50.7,55.7,11.1,35.6,38.9,10.5
427,Sagar,"166,420","156,159","10,261",31.6,41.3,5.5,24.4,32.1,5.3
428,Damoh,"92,988","88,940","4,048",34.2,39.9,6.0,25.3,29.7,5.9
429,Satna,"158,174","150,396","7,778",35.3,42.7,6.7,26.8,32.2,6.3
430,Rewa,"169,813","161,849","7,964",41.5,47.0,10.5,27.5,31.3,7.9
431,Umaria,"45,852","44,350","1,502",42.7,48.7,8.4,26.1,30.1,5.3
432,Neemuch,"96,790","89,685","7,105",45.9,58.8,9.1,39.4,51.3,10.0
433,Mandsaur,"168,619","161,940","6,679",49.9,58.3,10.3,42.4,50.7,8.5
434,Ratlam,"134,776","128,372","6,404",45.9,61.4,5.8,32.8,43.7,5.4
435,Ujjain,"180,045","170,970","9,075",38.9,58.0,3.9,31.6,48.1,4.2
436,Shajapur,"182,646","173,344","9,302",48.2,55.4,13.4,42.3,49.2,11.7
437,Dewas,"160,102","151,132","8,970",40.4,51.5,7.8,35.5,45.8,7.4
438,Dhar,"232,410","225,908","6,502",50.7,59.6,7.3,38.9,47.1,5.5
439,Indore,"101,117","89,662","11,455",13.2,41.0,1.2,10.8,36.7,1.6
440,Khargone (West Nimar),"178,323","175,238","3,085",44.9,51.9,3.9,34.4,40.0,3.8
441,Barwani,"165,255","161,977","3,278",54.8,62.5,7.4,45.2,52.0,6.0
442,Rajgarh,"179,973","174,271","5,702",53.3,61.3,9.3,41.9,48.6,8.0
443,Vidisha,"140,952","134,017","6,935",41.3,49.5,6.9,35.1,42.8,7.8
444,Bhopal,"52,146","45,306","6,840",10.1,46.2,0.7,8.1,36.8,1.3
445,Sehore,"138,098","132,538","5,560",45.9,53.7,6.4,37.9,44.4,8.5
446,Raisen,"114,661","107,945","6,716",38.1,44.6,7.8,31.0,37.4,8.2
447,Betul,"163,505","159,680","3,825",44.3,52.1,4.8,36.0,43.0,4.6
448,Harda,"51,867","49,704","2,163",39.9,47.6,6.4,33.1,39.5,7.0
449,Hoshangabad,"96,368","91,675","4,693",31.3,42.5,3.6,27.9,37.9,4.5
450,Katni,"81,412","79,941","1,471",33.4,41.2,2.6,23.4,28.8,2.1
451,Jabalpur,"83,036","75,903","7,133",15.2,32.0,1.3,11.8,25.2,1.8
452,Narsimhapur,"91,926","88,593","3,333",38.0,43.5,4.8,28.4,33.1,5.9
453,Dindori,"85,868","85,159",709,62.1,64.4,5.6,42.2,43.8,8.1
454,Mandla,"88,221","85,991","2,230",46.2,50.4,4.1,29.4,32.4,6.5
455,Chhindwara,"188,031","180,710","7,321",40.1,50.1,5.8,32.3,40.2,5.5
456,Seoni,"113,749","112,083","1,666",43.4,47.4,3.0,28.8,31.9,3.8
457,Balaghat,"150,331","145,963","4,368",39.6,43.8,8.0,30.8,34.4,6.7
458,Guna,"147,379","141,787","5,592",52.9,65.5,7.5,43.9,55.6,7.0
459,Ashoknagar,"98,511","95,989","2,522",52.1,60.0,7.2,42.5,50.1,6.3
460,Shahdol,"64,007","62,021","1,986",36.9,45.1,3.4,21.9,26.2,3.6
461,Anuppur,"71,315","68,884","2,431",45.9,59.2,6.1,34.4,44.0,4.8
462,Sidhi,"69,180","66,583","2,597",46.8,49.8,9.6,24.3,25.5,11.3
463,Singrauli,"93,422","88,790","4,632",53.7,64.9,10.4,30.7,35.9,8.1
464,Jhabua,"173,654","171,745","1,909",70.1,76.1,9.5,65.4,71.0,8.0
465,Alirajpur,"135,505","134,049","1,456",76.3,80.9,10.3,71.8,77.0,9.9
466,Khandwa (East Nimar),"115,485","113,243","2,242",41.9,50.2,3.2,31.2,37.7,3.3
467,Burhanpur,"44,368","42,192","2,176",25.8,38.0,3.7,20.9,29.9,3.1
