district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
23,MADHYA PRADESH,"3,253,375","3,173,376","79,999",43.3,46.9,9.0,28.5,31.8,5.5
418,Sheopur,"27,279","26,675",604,48.5,50.4,10.0,29.1,30.5,9.9
419,Morena,"43,591","43,012",579,46.1,48.3,14.2,28.9,31.2,4.5
420,Bhind,"17,132","16,198",934,41.1,43.3,14.6,26.4,30.0,8.6
421,Gwalior,"22,871","21,279","1,592",30.1,44.6,3.0,16.8,27.8,2.7
422,Datia,"39,863","38,600","1,263",64.8,69.0,15.3,41.7,46.1,10.7
423,Shivpuri,"137,140","135,545","1,595",66.6,68.9,14.7,49.3,51.8,9.6
424,Tikamgarh,"105,147","99,187","5,960",63.6,66.8,35.5,41.6,43.4,24.7
425,Chhatarpur,"97,832","94,042","3,790",52.8,55.9,24.1,36.2,38.9,13.3
426,Panna,"37,346","36,751",595,42.7,44.2,10.6,23.8,25.0,6.3
427,Sagar,"37,180","35,617","1,563",16.9,20.3,2.3,11.5,13.9,2.3
428,Damoh,"21,623","21,084",539,17.8,19.6,2.5,10.5,11.5,2.3
429,Satna,"69,793","67,687","2,106",32.0,34.5,9.7,21.8,23.8,5.9
430,Rewa,"88,508","85,433","3,075",45.8,48.0,16.6,23.6,25.2,8.7
431,Umaria,"19,517","19,126",391,35.1,36.7,12.0,17.1,17.9,5.3
432,Neemuch,"78,812","73,433","5,379",57.5,61.0,26.9,45.6,49.5,21.9
433,Mandsaur,"112,846","109,697","3,149",53.1,55.2,26.2,40.0,42.4,13.5
434,Ratlam,"83,916","80,723","3,193",46.8,50.1,14.8,30.0,32.7,9.8
435,Ujjain,"108,968","105,608","3,360",48.0,54.1,9.0,33.2,39.5,5.5
436,Shajapur,"105,278","101,912","3,366",50.4,52.4,24.3,36.8,38.8,14.4
437,Dewas,"100,120","97,948","2,172",43.4,46.8,11.2,34.4,38.1,6.4
438,Dhar,"153,112","151,148","1,964",54.1,56.4,12.2,35.5,37.9,6.1
439,Indore,"49,790","45,840","3,950",25.8,42.3,1.9,15.1,32.2,2.1
440,Khargone (West Nimar),"128,762","128,154",608,49.2,51.5,4.8,34.3,36.1,2.9
441,Barwani,"122,449","121,556",893,58.5,61.3,9.3,42.5,45.0,5.0
442,Rajgarh,"105,122","102,656","2,466",55.4,57.6,18.0,33.3,35.0,11.1
443,Vidisha,"27,663","27,015",648,26.6,29.0,3.8,18.6,20.9,3.3
444,Bhopal,"21,200","18,349","2,851",18.0,39.5,0.9,9.5,25.6,1.9
445,Sehore,"63,209","61,462","1,747",43.5,45.3,7.9,28.5,30.0,10.7
446,Raisen,"24,064","23,469",595,23.6,25.5,3.7,16.3,18.1,3.4
447,Betul,"90,097","89,229",868,38.3,39.6,8.5,27.0,28.6,4.1
448,Harda,"16,152","16,016",136,39.6,41.3,8.0,21.8,23.5,2.3
449,Hoshangabad,"20,072","19,742",330,21.9,24.8,2.1,15.1,17.9,1.5
450,Katni,"31,400","31,080",320,27.2,28.9,3.5,16.1,17.5,1.8
451,Jabalpur,"23,846","22,412","1,434",14.7,20.9,0.8,8.0,12.6,1.2
452,Narsimhapur,"21,940","21,627",313,25.0,26.5,2.5,14.2,15.5,2.2
453,Dindori,"64,216","63,955",261,59.6,60.2,4.5,34.4,34.9,8.1
454,Mandla,"60,710","59,856",854,41.4,42.5,6.3,23.4,24.3,6.7
455,Chhindwara,"95,080","92,796","2,284",37.3,40.1,7.0,25.3,27.8,5.5
456,Seoni,"59,916","59,447",469,38.6,39.5,6.6,20.7,21.5,3.7
457,Balaghat,"107,454","105,031","2,423",39.4,40.5,16.4,26.6,27.8,9.3
458,Guna,"66,570","64,618","1,952",50.2,53.6,13.3,37.1,40.2,10.4
459,Ashoknagar,"18,402","18,170",232,32.0,34.4,3.0,22.1,24.6,2.4
460,Shahdol,"31,788","31,221",567,28.7,30.0,5.0,15.8,16.7,4.1
461,Anuppur,"44,133","43,475",658,47.7,50.2,8.8,31.7,33.9,6.1
462,Sidhi,"33,464","32,573",891,44.0,44.7,18.1,18.9,19.3,10.4
463,Singrauli,"54,310","52,785","1,525",58.4,59.8,32.5,27.8,28.8,13.0
464,Jhabua,"155,521","153,922","1,599",69.5,70.8,27.0,62.3,64.0,17.7
465,Alirajpur,"120,888","119,685","1,203",78.4,79.6,23.8,67.9,69.2,23.1
466,Khandwa (East Nimar),"63,852","63,452",400,39.9,41.8,5.1,26.2,28.0,2.4
467,Burhanpur,"23,431","23,078",353,28.9,33.0,3.7,20.1,23.2,2.1
