district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"10,707,543","8,623,947","2,083,596",67.2,64.1,89.8,61.0,57.1,85.5
370,Bargarh,"474,390","426,776","47,614",64.8,63.5,88.8,62.2,60.4,86.2
371,Jharsuguda,"172,069","103,420","68,649",70.1,63.2,87.9,69.5,61.2,87.3
372,Sambalpur,"336,854","238,789","98,065",67.0,62.0,88.3,66.6,61.1,85.1
373,Debagarh,"83,408","76,904","6,504",55.3,54.0,79.1,50.4,48.9,80.8
374,Sundargarh,"535,112","315,612","219,500",65.0,56.6,91.2,61.3,50.5,88.6
375,Kendujhar,"442,497","368,952","73,545",63.6,60.9,87.2,57.7,54.1,87.5
376,Mayurbhanj,"548,390","493,359","55,031",60.2,58.7,89.9,44.8,42.7,81.9
377,Baleshwar,"618,064","544,455","73,609",74.9,73.5,87.9,66.3,64.3,86.1
378,Bhadrak,"328,097","282,414","45,683",78.3,77.7,83.7,70.0,68.7,79.5
379,Kendrapara,"322,265","299,189","23,076",75.6,75.0,86.6,69.0,68.0,84.9
380,Jagatsinghapur,"290,170","255,228","34,942",75.1,73.2,90.4,71.9,70.0,89.0
381,Cuttack,"696,274","478,649","217,625",77.3,72.5,91.3,74.4,70.0,86.2
382,Jajapur,"407,564","372,543","35,021",77.8,77.2,90.5,73.8,72.8,86.2
383,Dhenkanal,"277,338","245,779","31,559",73.5,72.3,87.5,63.7,61.7,85.0
384,Anugul,"317,547","257,456","60,091",65.9,62.7,91.4,60.3,56.5,84.8
385,Nayagarh,"229,076","208,001","21,075",71.4,70.9,85.7,66.7,65.4,83.0
386,Khordha,"632,625","291,625","341,000",83.5,75.2,93.5,79.9,73.0,86.9
387,Puri,"450,536","366,582","83,954",82.9,81.4,92.7,72.5,69.4,89.6
388,Ganjam,"900,744","676,888","223,856",62.8,59.2,87.1,60.0,54.9,83.0
389,Gajapati,"170,371","149,121","21,250",65.3,63.6,89.1,58.0,55.8,79.7
390,Kandhamal,"167,112","145,835","21,277",57.5,56.1,90.2,47.0,44.2,82.9
391,Baudh,"123,724","117,656","6,068",62.0,61.1,86.3,56.4,55.4,85.1
392,Subarnapur,"170,218","155,169","15,049",62.7,61.3,88.1,59.4,57.9,81.6
393,Balangir,"402,227","346,025","56,202",62.8,60.4,91.1,55.8,53.0,83.5
394,Nuapada,"151,694","141,621","10,073",53.8,52.6,81.8,49.7,48.4,80.2
395,Kalahandi,"376,757","341,282","35,475",61.5,60.1,88.2,50.1,48.1,83.2
396,Rayagada,"227,815","183,867","43,948",62.6,60.0,88.2,48.8,44.4,82.3
397,Nabarangapur,"279,115","254,500","24,615",52.2,50.9,85.6,45.7,44.1,73.0
398,Koraput,"396,460","323,033","73,427",61.9,58.4,89.9,57.2,52.9,88.7
399,Malkangiri,"179,030","163,217","15,813",62.3,61.3,82.5,57.6,56.0,82.4
