district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"8,794,413","7,045,991","1,748,422",81.7,79.7,92.9,73.9,70.9,89.2
370,Bargarh,"372,806","333,482","39,324",83.3,82.6,91.8,78.8,77.6,90.7
371,Jharsuguda,"137,683","78,468","59,215",82.3,77.7,91.2,80.0,73.5,90.7
372,Sambalpur,"242,724","163,449","79,275",81.2,77.6,92.3,77.5,72.8,89.5
373,Debagarh,"59,636","54,371","5,265",74.2,73.3,85.4,64.6,63.0,86.5
374,Sundargarh,"430,698","244,799","185,899",81.0,75.2,93.0,73.7,64.4,91.0
375,Kendujhar,"362,695","299,603","63,092",80.2,78.6,90.6,72.8,70.0,90.1
376,Mayurbhanj,"407,902","362,839","45,063",77.6,76.4,93.3,58.5,56.2,86.6
377,Baleshwar,"540,777","476,709","64,068",82.7,81.7,90.8,79.1,77.9,89.3
378,Bhadrak,"302,986","262,216","40,770",84.6,84.2,87.9,74.0,72.9,82.1
379,Kendrapara,"295,890","275,110","20,780",85.3,85.0,90.9,76.6,75.7,90.2
380,Jagatsinghapur,"256,080","225,044","31,036",82.5,81.1,93.2,78.7,77.1,92.1
381,Cuttack,"615,670","429,679","185,991",85.9,83.0,93.6,80.8,77.6,89.4
382,Jajapur,"375,457","343,855","31,602",83.0,82.6,91.5,77.2,76.4,88.4
383,Dhenkanal,"245,235","217,374","27,861",83.8,83.2,90.6,72.0,70.4,87.8
384,Anugul,"257,720","205,727","51,993",80.1,77.8,93.4,71.4,68.1,88.2
385,Nayagarh,"207,430","188,741","18,689",78.6,78.2,89.4,72.9,71.8,85.4
386,Khordha,"543,178","261,347","281,831",87.1,80.5,95.0,84.1,78.6,89.9
387,Puri,"399,235","328,271","70,964",87.9,86.7,95.3,80.1,77.9,92.4
388,Ganjam,"718,163","533,112","185,051",79.4,76.8,92.3,72.5,68.4,87.8
389,Gajapati,"111,464","95,194","16,270",80.6,79.2,93.9,71.5,69.5,85.5
390,Kandhamal,"123,078","106,439","16,639",78.5,77.5,93.6,63.6,61.0,87.5
391,Baudh,"92,432","87,582","4,850",81.3,80.7,93.8,73.6,72.9,89.2
392,Subarnapur,"136,043","123,467","12,576",81.3,80.4,93.6,74.9,73.7,89.2
393,Balangir,"332,355","285,198","47,157",80.6,79.1,93.4,70.7,68.6,86.9
394,Nuapada,"116,827","108,658","8,169",74.4,73.5,90.5,69.5,68.5,86.2
395,Kalahandi,"299,835","270,438","29,397",82.2,81.5,92.4,67.0,65.3,88.0
396,Rayagada,"164,965","129,598","35,367",79.8,77.7,94.0,63.9,59.5,87.9
397,Nabarangapur,"227,544","207,976","19,568",74.2,73.2,93.0,66.4,65.3,80.8
398,Koraput,"286,001","228,025","57,976",79.3,76.7,93.7,74.5,70.9,92.5
399,Malkangiri,"131,904","119,220","12,684",81.3,80.7,89.6,77.4,76.3,88.9
