district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"1,913,130","1,577,956","335,174",35.4,33.1,72.7,33.9,30.6,70.3
370,Bargarh,"101,584","93,294","8,290",30.6,29.7,72.0,35.2,33.7,70.0
371,Jharsuguda,"34,386","24,952","9,434",41.4,37.2,68.2,45.4,40.0,71.0
372,Sambalpur,"94,130","75,340","18,790",44.6,41.8,71.7,48.9,45.4,70.3
373,Debagarh,"23,772","22,533","1,239",28.7,28.0,54.8,32.5,31.7,63.2
374,Sundargarh,"104,414","70,813","33,601",35.3,30.9,79.1,36.2,28.9,77.3
375,Kendujhar,"79,802","69,349","10,453",32.5,30.6,70.1,29.7,27.3,74.5
376,Mayurbhanj,"140,488","130,520","9,968",36.8,36.2,72.5,26.7,25.6,65.6
377,Baleshwar,"77,287","67,746","9,541",38.5,35.7,70.2,31.1,28.8,69.1
378,Bhadrak,"25,111","20,198","4,913",39.1,37.2,56.9,42.5,39.4,63.2
379,Kendrapara,"26,375","24,079","2,296",27.6,26.6,55.4,32.8,31.5,55.1
380,Jagatsinghapur,"34,090","30,184","3,906",41.5,39.0,70.8,43.7,41.6,69.9
381,Cuttack,"80,604","48,970","31,634",42.2,35.1,76.2,46.2,37.6,71.2
382,Jajapur,"32,107","28,688","3,419",40.4,38.8,81.5,48.5,46.8,69.8
383,Dhenkanal,"32,103","28,405","3,698",36.9,35.7,65.3,33.8,31.7,68.1
384,Anugul,"59,827","51,729","8,098",36.6,34.6,78.2,36.1,33.7,67.8
385,Nayagarh,"21,646","19,260","2,386",33.6,32.8,59.6,36.7,34.7,67.9
386,Khordha,"89,447","30,278","59,169",61.0,42.0,84.1,61.1,45.1,74.7
387,Puri,"51,301","38,311","12,990",48.3,43.1,76.7,41.6,36.0,76.7
388,Ganjam,"182,581","143,776","38,805",34.9,33.0,63.9,35.7,31.8,65.5
389,Gajapati,"58,907","53,927","4,980",48.5,47.5,75.0,42.7,41.4,65.2
390,Kandhamal,"44,034","39,396","4,638",31.7,30.9,76.0,27.2,25.4,69.6
391,Baudh,"31,292","30,074","1,218",31.1,30.6,59.3,33.3,32.6,71.7
392,Subarnapur,"34,175","31,702","2,473",30.9,29.6,68.4,32.5,31.5,56.9
393,Balangir,"69,872","60,827","9,045",27.9,26.1,77.3,27.9,25.6,69.5
394,Nuapada,"34,867","32,963","1,904",23.1,22.3,53.5,25.4,24.6,61.8
395,Kalahandi,"76,922","70,844","6,078",28.6,27.6,68.1,25.3,24.0,65.7
396,Rayagada,"62,850","54,269","8,581",40.3,39.0,66.3,30.1,27.7,65.1
397,Nabarangapur,"51,571","46,524","5,047",22.6,21.8,59.9,19.2,18.0,53.0
398,Koraput,"110,459","95,008","15,451",37.8,35.6,75.2,35.7,32.8,76.8
399,Malkangiri,"47,126","43,997","3,129",37.1,36.5,57.6,33.6,32.5,63.5
