district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"6,834,046","6,479,767","354,279",32.8,35.9,10.2,39.0,42.9,14.5
370,Bargarh,"287,702","280,109","7,593",35.2,36.5,11.2,37.8,39.6,13.8
371,Jharsuguda,"75,638","65,684","9,954",29.9,36.8,12.1,30.5,38.8,12.7
372,Sambalpur,"168,986","151,753","17,233",33.0,38.0,11.7,33.4,38.9,14.9
373,Debagarh,"82,027","80,486","1,541",44.7,46.0,20.9,49.6,51.1,19.2
374,Sundargarh,"338,115","309,890","28,225",35.0,43.4,8.8,38.7,49.5,11.4
375,Kendujhar,"324,017","313,494","10,523",36.4,39.1,12.8,42.3,45.9,12.5
376,Mayurbhanj,"675,144","662,964","12,180",39.8,41.3,10.1,55.2,57.3,18.1
377,Baleshwar,"314,643","302,716","11,927",25.1,26.5,12.1,33.7,35.7,13.9
378,Bhadrak,"140,502","128,740","11,762",21.7,22.3,16.3,30.0,31.3,20.5
379,Kendrapara,"144,625","140,509","4,116",24.4,25.0,13.4,31.0,32.0,15.1
380,Jagatsinghapur,"113,479","109,149","4,330",24.9,26.8,9.6,28.1,30.0,11.0
381,Cuttack,"240,091","205,250","34,841",22.7,27.5,8.7,25.6,30.0,13.8
382,Jajapur,"144,670","139,062","5,608",22.2,22.8,9.5,26.2,27.2,13.8
383,Dhenkanal,"158,195","152,607","5,588",26.5,27.7,12.5,36.3,38.3,15.0
384,Anugul,"208,973","198,171","10,802",34.1,37.3,8.6,39.7,43.5,15.2
385,Nayagarh,"114,557","110,228","4,329",28.6,29.1,14.3,33.3,34.6,17.0
386,Khordha,"159,568","108,017","51,551",16.5,24.8,6.5,20.1,27.0,13.1
387,Puri,"171,140","161,345","9,795",17.1,18.6,7.3,27.5,30.6,10.4
388,Ganjam,"601,028","555,034","45,994",37.2,40.8,12.9,40.0,45.1,17.0
389,Gajapati,"123,562","118,144","5,418",34.7,36.4,10.9,42.0,44.2,20.3
390,Kandhamal,"188,237","183,842","4,395",42.5,43.9,9.8,53.0,55.8,17.1
391,Baudh,"95,733","94,667","1,066",38.0,38.9,13.7,43.6,44.6,14.9
392,Subarnapur,"116,443","113,048","3,395",37.3,38.7,11.9,40.6,42.1,18.4
393,Balangir,"318,374","307,264","11,110",37.2,39.6,8.9,44.2,47.0,16.5
394,Nuapada,"153,744","151,261","2,483",46.2,47.4,18.2,50.3,51.6,19.8
395,Kalahandi,"375,173","367,994","7,179",38.5,39.9,11.8,49.9,51.9,16.8
396,Rayagada,"239,307","229,832","9,475",37.4,40.0,11.8,51.2,55.6,17.7
397,Nabarangapur,"331,791","322,672","9,119",47.8,49.1,14.4,54.3,55.9,27.0
398,Koraput,"296,946","287,580","9,366",38.1,41.6,10.1,42.8,47.1,11.3
399,Malkangiri,"131,636","128,255","3,381",37.7,38.7,17.5,42.4,44.0,17.6
