district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"3,108,242","2,895,583","212,659",18.3,20.3,7.1,26.1,29.1,10.8
370,Bargarh,"100,499","96,460","4,039",16.7,17.4,8.2,21.2,22.4,9.3
371,Jharsuguda,"34,335","28,232","6,103",17.7,22.3,8.8,20.0,26.5,9.3
372,Sambalpur,"70,437","61,127","9,310",18.8,22.4,7.7,22.5,27.2,10.5
373,Debagarh,"32,748","31,929",819,25.8,26.7,14.6,35.4,37.0,13.5
374,Sundargarh,"153,989","135,610","18,379",19.0,24.8,7.0,26.3,35.6,9.0
375,Kendujhar,"135,382","128,442","6,940",19.8,21.4,9.4,27.2,30.0,9.9
376,Mayurbhanj,"289,880","282,917","6,963",22.4,23.6,6.7,41.5,43.8,13.4
377,Baleshwar,"143,243","135,589","7,654",17.3,18.3,9.2,20.9,22.1,10.7
378,Bhadrak,"106,573","97,672","8,901",15.4,15.8,12.1,26.0,27.1,17.9
379,Kendrapara,"90,492","88,247","2,245",14.7,15.0,9.1,23.4,24.3,9.8
380,Jagatsinghapur,"69,509","66,858","2,651",17.5,18.9,6.8,21.3,22.9,7.9
381,Cuttack,"146,206","124,139","22,067",14.1,17.0,6.4,19.2,22.4,10.6
382,Jajapur,"110,634","106,503","4,131",17.0,17.4,8.5,22.8,23.6,11.6
383,Dhenkanal,"95,317","91,463","3,854",16.2,16.8,9.4,28.0,29.6,12.2
384,Anugul,"103,227","96,266","6,961",19.9,22.2,6.6,28.6,31.9,11.8
385,Nayagarh,"77,161","73,962","3,199",21.4,21.8,10.6,27.1,28.2,14.6
386,Khordha,"102,702","71,179","31,523",12.9,19.5,5.0,15.9,21.4,10.1
387,Puri,"99,226","93,372","5,854",12.1,13.3,4.7,19.9,22.1,7.6
388,Ganjam,"271,864","246,266","25,598",20.6,23.2,7.7,27.5,31.6,12.2
389,Gajapati,"44,443","41,685","2,758",19.4,20.8,6.1,28.5,30.5,14.5
390,Kandhamal,"70,437","68,069","2,368",21.5,22.5,6.4,36.4,39.0,12.5
391,Baudh,"33,195","32,609",586,18.7,19.3,6.2,26.4,27.1,10.8
392,Subarnapur,"45,552","44,028","1,524",18.7,19.6,6.4,25.1,26.3,10.8
393,Balangir,"137,601","130,465","7,136",19.4,20.9,6.6,29.3,31.4,13.1
394,Nuapada,"51,328","50,020","1,308",25.6,26.5,9.5,30.5,31.5,13.8
395,Kalahandi,"147,455","143,448","4,007",17.8,18.5,7.6,33.0,34.7,12.0
396,Rayagada,"93,067","88,198","4,869",20.2,22.3,6.0,36.1,40.5,12.1
397,Nabarangapur,"115,097","110,456","4,641",25.8,26.8,7.0,33.6,34.7,19.2
398,Koraput,"98,052","93,365","4,687",20.7,23.3,6.3,25.5,29.1,7.5
399,Malkangiri,"38,591","37,007","1,584",18.7,19.3,10.4,22.6,23.7,11.1
