district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"3,725,804","3,584,184","141,620",64.6,66.9,27.3,66.1,69.4,29.7
370,Bargarh,"187,203","183,649","3,554",69.4,70.3,28.0,64.8,66.3,30.0
371,Jharsuguda,"41,303","37,452","3,851",58.6,62.8,31.8,54.6,60.0,29.0
372,Sambalpur,"98,549","90,626","7,923",55.4,58.2,28.3,51.1,54.6,29.7
373,Debagarh,"49,279","48,557",722,71.3,72.0,45.2,67.5,68.3,36.8
374,Sundargarh,"184,126","174,280","9,846",64.7,69.1,20.9,63.8,71.1,22.7
375,Kendujhar,"188,635","185,052","3,583",67.5,69.4,29.9,70.3,72.7,25.5
376,Mayurbhanj,"385,264","380,047","5,217",63.2,63.8,27.5,73.3,74.4,34.4
377,Baleshwar,"171,400","167,127","4,273",61.5,64.3,29.8,68.9,71.2,30.9
378,Bhadrak,"33,929","31,068","2,861",60.9,62.8,43.1,57.5,60.6,36.8
379,Kendrapara,"54,133","52,262","1,871",72.4,73.4,44.6,67.2,68.5,44.9
380,Jagatsinghapur,"43,970","42,291","1,679",58.5,61.0,29.2,56.3,58.4,30.1
381,Cuttack,"93,885","81,111","12,774",57.8,64.9,23.8,53.8,62.4,28.8
382,Jajapur,"34,036","32,559","1,477",59.6,61.2,18.5,51.5,53.2,30.2
383,Dhenkanal,"62,878","61,144","1,734",63.1,64.3,34.7,66.2,68.3,31.9
384,Anugul,"105,746","101,905","3,841",63.4,65.4,21.8,63.9,66.3,32.2
385,Nayagarh,"37,396","36,266","1,130",66.4,67.2,40.4,63.3,65.3,32.1
386,Khordha,"56,866","36,838","20,028",39.0,58.0,15.9,38.9,54.9,25.3
387,Puri,"71,914","67,973","3,941",51.7,56.9,23.3,58.4,64.0,23.3
388,Ganjam,"329,164","308,768","20,396",65.1,67.0,36.1,64.3,68.2,34.5
389,Gajapati,"79,119","76,459","2,660",51.5,52.5,25.0,57.3,58.6,34.8
390,Kandhamal,"117,800","115,773","2,027",68.3,69.1,24.0,72.8,74.6,30.4
391,Baudh,"62,538","62,058",480,68.9,69.4,40.7,66.7,67.4,28.3
392,Subarnapur,"70,891","69,020","1,871",69.1,70.4,31.6,67.5,68.5,43.1
393,Balangir,"180,773","176,799","3,974",72.1,73.9,22.7,72.1,74.4,30.5
394,Nuapada,"102,416","101,241","1,175",76.9,77.7,46.5,74.6,75.4,38.2
395,Kalahandi,"227,718","224,546","3,172",71.4,72.4,31.9,74.7,76.0,34.3
396,Rayagada,"146,240","141,634","4,606",59.7,61.0,33.7,69.9,72.3,34.9
397,Nabarangapur,"216,694","212,216","4,478",77.4,78.2,40.1,80.8,82.0,47.0
398,Koraput,"198,894","194,215","4,679",62.2,64.4,24.8,64.3,67.2,23.2
399,Malkangiri,"93,045","91,248","1,797",62.9,63.5,42.4,66.4,67.5,36.5
