district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"4,103,989","4,030,351","73,638",29.8,33.4,2.9,23.4,26.7,3.0
370,Bargarh,"216,413","214,143","2,270",33.9,35.6,2.6,28.4,30.3,4.1
371,Jharsuguda,"40,867","39,334","1,533",22.2,29.7,3.0,16.5,23.3,2.0
372,Sambalpur,"86,800","83,479","3,321",21.7,26.2,2.7,17.2,21.4,2.9
373,Debagarh,"42,660","42,192",468,34.7,36.4,4.0,25.8,26.8,5.8
374,Sundargarh,"184,273","180,492","3,781",29.6,38.7,1.4,21.1,28.9,1.5
375,Kendujhar,"198,044","195,517","2,527",33.0,36.4,3.6,25.8,28.6,3.0
376,Mayurbhanj,"238,772","235,867","2,905",28.0,29.2,2.6,19.5,20.4,4.3
377,Baleshwar,"288,818","283,193","5,625",34.1,37.3,6.6,31.0,33.4,6.6
378,Bhadrak,"155,956","150,069","5,887",39.1,41.9,13.8,33.3,36.5,10.2
379,Kendrapara,"149,264","146,753","2,511",42.0,44.0,7.4,32.0,33.4,9.2
380,Jagatsinghapur,"111,320","110,175","1,145",29.3,32.7,1.8,27.6,30.2,2.9
381,Cuttack,"138,698","134,633","4,065",20.3,26.9,1.0,14.8,19.7,1.6
382,Jajapur,"120,881","118,294","2,587",25.8,26.8,4.6,21.9,23.1,6.4
383,Dhenkanal,"71,230","69,630","1,600",25.8,27.5,5.1,16.4,17.5,4.3
384,Anugul,"107,607","105,892","1,715",30.3,34.0,1.4,20.4,23.2,2.4
385,Nayagarh,"83,022","82,018","1,004",29.8,30.9,2.1,24.2,25.8,4.0
386,Khordha,"92,662","87,456","5,206",13.8,24.3,1.2,11.7,21.9,1.3
387,Puri,"172,761","170,508","2,253",35.1,40.2,2.9,27.8,32.3,2.4
388,Ganjam,"284,943","275,548","9,395",24.7,27.7,3.7,19.0,22.4,3.5
389,Gajapati,"65,062","63,976","1,086",32.7,34.6,5.5,22.1,23.9,4.1
390,Kandhamal,"79,221","78,554",667,33.4,34.8,1.6,22.3,23.8,2.6
391,Baudh,"63,657","63,236",421,38.5,39.7,3.0,29.0,29.8,5.9
392,Subarnapur,"74,005","72,559","1,446",32.7,34.1,9.1,25.8,27.1,7.8
393,Balangir,"166,565","164,834","1,731",31.0,33.5,2.2,23.1,25.2,2.6
394,Nuapada,"94,692","94,074",618,34.1,35.3,7.5,31.0,32.1,4.9
395,Kalahandi,"144,991","143,559","1,432",29.6,31.0,3.4,19.3,20.2,3.4
396,Rayagada,"99,265","98,080","1,185",29.1,31.7,3.3,21.3,23.7,2.2
397,Nabarangapur,"173,086","171,469","1,617",30.8,31.7,6.7,28.3,29.7,4.8
398,Koraput,"207,194","204,442","2,752",32.4,36.2,3.0,29.9,33.5,3.3
399,Malkangiri,"151,260","150,375",885,57.3,59.8,7.8,48.7,51.6,4.6
