district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"3,375,350","3,312,661","62,689",34.2,39.5,3.0,28.4,33.3,3.2
370,Bargarh,"168,361","166,406","1,955",40.6,43.3,2.7,35.6,38.7,4.5
371,Jharsuguda,"32,601","31,308","1,293",23.9,34.8,2.9,19.0,29.3,2.0
372,Sambalpur,"68,750","66,137","2,613",26.8,34.9,2.8,22.0,29.4,2.9
373,Debagarh,"29,741","29,432",309,40.0,42.7,4.2,32.2,34.1,5.1
374,Sundargarh,"141,620","138,725","2,895",31.3,45.7,1.2,24.2,36.5,1.4
375,Kendujhar,"165,481","163,149","2,332",38.2,43.5,4.0,33.2,38.1,3.3
376,Mayurbhanj,"193,272","191,150","2,122",36.6,39.1,2.6,27.7,29.6,4.1
377,Baleshwar,"242,526","237,247","5,279",37.6,41.2,6.9,35.5,38.7,7.4
378,Bhadrak,"147,144","141,587","5,557",41.6,44.6,15.0,35.9,39.3,11.2
379,Kendrapara,"135,373","133,343","2,030",43.5,45.5,8.2,35.0,36.7,8.8
380,Jagatsinghapur,"99,191","98,161","1,030",31.9,35.9,1.8,30.5,33.6,3.1
381,Cuttack,"127,798","124,658","3,140",22.2,30.2,1.0,16.8,22.5,1.5
382,Jajapur,"113,938","111,443","2,495",27.9,29.0,5.0,23.4,24.7,7.0
383,Dhenkanal,"65,823","64,287","1,536",28.9,31.1,5.6,19.3,20.8,4.8
384,Anugul,"82,199","80,721","1,478",30.8,35.7,1.4,22.8,26.7,2.5
385,Nayagarh,"76,425","75,464",961,32.7,33.9,2.3,26.9,28.7,4.4
386,Khordha,"85,550","81,394","4,156",15.2,26.7,1.3,13.2,24.5,1.3
387,Puri,"157,818","155,757","2,061",38.2,43.6,3.2,31.7,36.9,2.7
388,Ganjam,"230,581","222,578","8,003",29.2,34.3,3.5,23.3,28.6,3.8
389,Gajapati,"46,096","45,255",841,37.4,40.8,5.1,29.6,33.1,4.4
390,Kandhamal,"56,998","56,476",522,39.3,41.8,1.6,29.5,32.4,2.7
391,Baudh,"50,213","49,857",356,47.9,49.8,3.4,40.0,41.5,6.5
392,Subarnapur,"62,584","61,277","1,307",41.3,43.6,9.8,34.5,36.6,9.3
393,Balangir,"140,282","138,799","1,483",38.3,42.3,2.3,29.9,33.4,2.7
394,Nuapada,"70,074","69,564",510,44.0,46.1,7.4,41.7,43.8,5.4
395,Kalahandi,"119,007","117,756","1,251",38.5,41.0,3.7,26.6,28.5,3.7
396,Rayagada,"72,596","71,632",964,35.1,39.8,3.2,28.1,32.9,2.4
397,Nabarangapur,"143,379","141,880","1,499",42.2,44.1,7.7,41.8,44.6,6.2
398,Koraput,"143,536","141,627","1,909",38.1,44.6,2.8,37.4,44.1,3.0
399,Malkangiri,"106,393","105,591",802,65.2,69.1,7.5,62.4,67.6,5.6
