district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"728,639","717,690","10,949",20.1,21.2,2.6,12.9,13.9,2.3
370,Bargarh,"48,052","47,737",315,21.4,21.8,2.0,16.6,17.2,2.7
371,Jharsuguda,"8,266","8,026",240,18.2,20.5,3.2,10.9,12.9,1.8
372,Sambalpur,"18,050","17,342",708,13.6,14.8,2.5,9.4,10.4,2.7
373,Debagarh,"12,919","12,760",159,27.2,27.9,3.1,17.7,17.9,8.1
374,Sundargarh,"42,653","41,767",886,26.4,28.9,2.1,14.8,17.0,2.0
375,Kendujhar,"32,563","32,368",195,23.2,24.3,1.8,12.1,12.7,1.4
376,Mayurbhanj,"45,500","44,717",783,16.3,16.6,2.7,8.7,8.8,5.2
377,Baleshwar,"46,292","45,946",346,18.0,19.2,4.6,18.6,19.6,2.5
378,Bhadrak,"8,812","8,482",330,23.4,25.2,6.7,14.9,16.5,4.2
379,Kendrapara,"13,891","13,410",481,35.0,36.3,2.1,17.3,17.6,11.5
380,Jagatsinghapur,"12,129","12,014",115,17.3,18.6,2.0,15.5,16.6,2.1
381,Cuttack,"10,900","9,975",925,12.7,15.2,0.7,6.2,7.7,2.1
382,Jajapur,"6,943","6,851",92,10.6,11.0,1.3,10.5,11.2,1.9
383,Dhenkanal,"5,407","5,343",64,14.8,15.4,1.1,5.7,6.0,1.2
384,Anugul,"25,408","25,171",237,29.4,30.7,1.4,15.3,16.4,2.0
385,Nayagarh,"6,597","6,554",43,14.5,14.9,0.5,11.2,11.8,1.2
386,Khordha,"7,112","6,062","1,050",5.4,9.0,0.9,4.9,9.0,1.3
387,Puri,"14,943","14,751",192,13.3,15.6,0.9,12.1,13.9,1.1
388,Ganjam,"54,362","52,970","1,392",17.2,18.0,4.6,10.6,11.7,2.4
389,Gajapati,"18,966","18,721",245,27.5,28.3,6.5,13.7,14.4,3.2
390,Kandhamal,"22,223","22,078",145,26.1,26.5,1.6,13.7,14.2,2.2
391,Baudh,"13,444","13,379",65,23.6,24.0,1.5,14.3,14.5,3.8
392,Subarnapur,"11,421","11,282",139,17.9,18.3,6.4,10.9,11.2,3.2
393,Balangir,"26,283","26,035",248,16.8,17.3,1.1,10.5,11.0,1.9
394,Nuapada,"24,618","24,510",108,19.3,19.6,7.7,17.9,18.3,3.5
395,Kalahandi,"25,984","25,803",181,15.6,15.9,1.6,8.5,8.7,2.0
396,Rayagada,"26,669","26,448",221,21.4,22.2,3.4,12.8,13.5,1.7
397,Nabarangapur,"29,707","29,589",118,15.4,15.6,3.4,11.1,11.4,1.2
398,Koraput,"63,658","62,815",843,24.4,25.7,3.6,20.6,21.7,4.2
399,Malkangiri,"44,867","44,784",83,46.9,47.9,8.9,32.0,33.1,1.7
