district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"6,739,993","6,618,943","121,050",35.0,39.1,4.6,38.4,43.8,5.0
370,Bargarh,"360,650","357,646","3,004",41.5,43.6,3.9,47.3,50.6,5.4
371,Jharsuguda,"56,809","55,060","1,749",24.5,32.6,3.7,22.9,32.6,2.2
372,Sambalpur,"160,798","156,715","4,083",31.8,38.2,4.3,31.8,40.1,3.5
373,Debagarh,"82,490","81,620",870,43.7,46.0,3.6,49.9,51.9,10.8
374,Sundargarh,"253,327","250,233","3,094",29.8,38.8,1.6,29.0,40.0,1.2
375,Kendujhar,"310,075","306,517","3,558",36.4,39.8,6.4,40.5,44.9,4.2
376,Mayurbhanj,"568,755","564,741","4,014",38.4,40.1,3.7,46.5,48.8,6.0
377,Baleshwar,"358,214","348,161","10,053",33.0,35.4,11.5,38.4,41.1,11.8
378,Bhadrak,"151,377","143,016","8,361",28.5,30.2,13.5,32.3,34.8,14.6
379,Kendrapara,"143,864","140,982","2,882",25.5,26.2,11.8,30.8,32.1,10.6
380,Jagatsinghapur,"110,323","108,426","1,897",25.3,27.9,4.4,27.3,29.8,4.8
381,Cuttack,"248,298","243,043","5,255",22.9,30.4,1.3,26.5,35.5,2.1
382,Jajapur,"186,021","182,160","3,861",30.2,31.4,6.7,33.7,35.6,9.5
383,Dhenkanal,"163,636","160,251","3,385",34.3,36.4,8.6,37.6,40.2,9.1
384,Anugul,"172,414","169,570","2,844",28.0,31.2,2.6,32.7,37.2,4.0
385,Nayagarh,"120,129","118,709","1,420",32.7,33.8,4.5,35.0,37.3,5.6
386,Khordha,"116,274","106,507","9,767",16.4,28.1,2.3,14.7,26.7,2.5
387,Puri,"163,942","160,116","3,826",25.0,28.4,3.7,26.4,30.3,4.1
388,Ganjam,"565,448","545,335","20,113",38.6,43.2,7.2,37.7,44.3,7.5
389,Gajapati,"153,199","150,249","2,950",45.2,47.6,11.0,52.1,56.2,11.1
390,Kandhamal,"162,932","161,261","1,671",36.1,37.6,1.6,45.9,48.9,6.5
391,Baudh,"104,685","104,408",277,39.5,40.8,3.4,47.7,49.2,3.9
392,Subarnapur,"139,413","136,861","2,552",44.6,46.4,13.2,48.6,51.0,13.8
393,Balangir,"326,416","323,869","2,547",40.1,43.3,2.5,45.3,49.6,3.8
394,Nuapada,"149,834","148,904",930,46.3,47.8,11.1,49.1,50.8,7.4
395,Kalahandi,"436,733","433,163","3,570",50.3,52.5,8.6,58.1,61.1,8.4
396,Rayagada,"248,175","244,422","3,753",46.1,49.9,8.1,53.1,59.1,7.0
397,Nabarangapur,"328,783","324,282","4,501",52.3,54.1,7.9,53.8,56.2,13.3
398,Koraput,"290,626","287,959","2,667",40.2,44.9,3.3,41.9,47.2,3.2
399,Malkangiri,"106,353","104,757","1,596",25.9,26.8,7.7,34.2,35.9,8.3
