district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"3,481,836","3,404,743","77,093",26.4,30.3,3.3,29.3,34.2,3.9
370,Bargarh,"171,697","169,921","1,776",30.9,32.9,3.3,36.3,39.5,4.1
371,Jharsuguda,"26,764","25,756","1,008",18.6,27.0,2.4,15.6,24.1,1.5
372,Sambalpur,"80,897","78,365","2,532",27.0,34.9,3.3,25.8,34.9,2.9
373,Debagarh,"36,645","36,136",509,32.7,35.1,2.3,39.7,41.9,8.4
374,Sundargarh,"105,394","103,450","1,944",17.8,25.8,1.1,18.0,27.2,1.0
375,Kendujhar,"132,616","130,184","2,432",26.4,29.7,5.4,26.6,30.4,3.5
376,Mayurbhanj,"258,199","256,401","1,798",30.7,32.8,2.0,37.0,39.7,3.5
377,Baleshwar,"219,539","212,062","7,477",29.3,31.6,9.6,32.1,34.6,10.4
378,Bhadrak,"130,155","123,019","7,136",26.8,28.3,13.1,31.8,34.2,14.4
379,Kendrapara,"115,133","113,169","1,964",24.0,24.9,9.5,29.8,31.1,8.5
380,Jagatsinghapur,"81,893","80,473","1,420",22.7,25.2,3.5,25.2,27.6,4.2
381,Cuttack,"187,687","183,484","4,203",19.7,26.9,1.1,24.6,33.1,2.0
382,Jajapur,"160,614","157,320","3,294",28.5,29.5,6.5,33.0,34.9,9.2
383,Dhenkanal,"108,843","106,252","2,591",28.3,30.3,6.7,32.0,34.4,8.2
384,Anugul,"89,252","87,493","1,759",20.4,23.5,1.8,24.7,29.0,3.0
385,Nayagarh,"95,682","94,412","1,270",31.8,32.9,4.0,33.6,35.9,5.8
386,Khordha,"89,834","82,608","7,226",14.9,25.8,1.9,13.9,24.8,2.3
387,Puri,"117,471","114,653","2,818",22.7,25.7,3.0,23.6,27.2,3.7
388,Ganjam,"251,465","241,367","10,098",25.0,29.1,4.2,25.4,31.0,4.8
389,Gajapati,"61,649","60,294","1,355",33.9,36.7,6.7,39.5,44.0,7.1
390,Kandhamal,"66,788","66,065",723,27.5,29.2,1.2,34.5,37.9,3.8
391,Baudh,"41,343","41,227",116,27.6,28.7,2.2,32.9,34.3,2.1
392,Subarnapur,"67,472","66,007","1,465",32.8,34.5,10.2,37.2,39.4,10.4
393,Balangir,"160,697","158,956","1,741",28.5,31.5,2.1,34.2,38.2,3.2
394,Nuapada,"54,653","54,207",446,31.8,33.3,5.7,32.5,34.2,4.7
395,Kalahandi,"204,594","202,466","2,128",36.8,39.1,5.8,45.7,48.9,6.4
396,Rayagada,"101,221","99,510","1,711",33.7,38.0,4.4,39.2,45.7,4.3
397,Nabarangapur,"125,325","123,088","2,237",37.3,39.1,4.5,36.6,38.7,9.2
398,Koraput,"106,583","105,484","1,099",28.4,33.2,1.9,27.8,32.8,1.8
399,Malkangiri,"31,731","30,914",817,17.2,18.0,5.4,18.6,19.8,5.7
