district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"3,258,157","3,214,200","43,957",53.9,56.5,11.2,57.8,62.3,9.2
370,Bargarh,"188,953","187,725","1,228",61.1,62.3,7.2,65.4,67.8,10.4
371,Jharsuguda,"30,045","29,304",741,38.4,42.7,11.0,39.7,47.0,5.6
372,Sambalpur,"79,901","78,350","1,551",39.3,42.5,8.7,41.5,47.2,5.8
373,Debagarh,"45,845","45,484",361,59.3,60.7,8.5,62.8,64.0,18.4
374,Sundargarh,"147,933","146,783","1,150",52.0,56.8,4.9,51.3,59.9,2.6
375,Kendujhar,"177,459","176,333","1,126",54.9,57.1,11.5,66.1,69.3,8.0
376,Mayurbhanj,"310,556","308,340","2,216",48.6,49.3,12.3,59.1,60.4,14.6
377,Baleshwar,"138,675","136,099","2,576",50.3,52.7,22.9,55.8,57.9,18.6
378,Bhadrak,"21,222","19,997","1,225",39.1,41.6,15.8,35.9,39.0,15.8
379,Kendrapara,"28,731","27,813",918,32.6,32.8,28.3,35.7,36.4,22.0
380,Jagatsinghapur,"28,430","27,953",477,37.5,39.7,11.1,36.4,38.6,8.5
381,Cuttack,"60,611","59,559","1,052",35.9,42.8,2.4,34.7,45.8,2.4
382,Jajapur,"25,407","24,840",567,43.1,44.4,8.2,38.4,40.6,11.6
383,Dhenkanal,"54,793","53,999",794,55.2,56.7,21.9,57.7,60.3,14.6
384,Anugul,"83,162","82,077","1,085",43.8,45.5,8.4,50.2,53.4,9.1
385,Nayagarh,"24,447","24,297",150,37.7,38.6,7.6,41.4,43.8,4.3
386,Khordha,"26,440","23,899","2,541",25.9,43.1,4.8,18.1,35.6,3.2
387,Puri,"46,471","45,463","1,008",41.2,47.2,8.1,37.7,42.8,6.0
388,Ganjam,"313,983","303,968","10,015",61.4,64.1,20.6,61.4,67.2,16.9
389,Gajapati,"91,550","89,955","1,595",57.7,58.9,24.1,66.3,69.0,20.9
390,Kandhamal,"96,144","95,196",948,46.6,47.4,2.9,59.4,61.3,14.2
391,Baudh,"63,342","63,181",161,58.6,59.6,7.6,67.5,68.6,9.5
392,Subarnapur,"71,941","70,854","1,087",64.7,66.2,23.7,68.5,70.3,25.0
393,Balangir,"165,719","164,913",806,62.8,64.8,5.1,66.1,69.4,6.2
394,Nuapada,"95,181","94,697",484,67.9,68.9,28.7,69.3,70.6,15.7
395,Kalahandi,"232,139","230,697","1,442",71.8,73.0,21.7,76.2,78.1,15.6
396,Rayagada,"146,954","144,912","2,042",62.1,64.0,21.9,70.3,74.0,15.5
397,Nabarangapur,"203,458","201,194","2,264",72.4,73.5,20.0,75.8,77.8,23.8
398,Koraput,"184,043","182,475","1,568",56.7,59.5,8.7,59.5,63.1,7.8
399,Malkangiri,"74,622","73,843",779,37.5,38.0,15.8,53.2,54.6,15.8
