district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"783,080","659,291","123,789",4.9,5.1,3.5,4.5,4.4,5.1
370,Bargarh,"48,145","42,622","5,523",6.9,7.0,5.6,6.3,6.0,10.0
371,Jharsuguda,"15,836","12,740","3,096",8.0,9.8,3.6,6.4,7.5,3.9
372,Sambalpur,"59,288","51,420","7,868",13.8,15.7,5.7,11.7,13.2,6.8
373,Debagarh,"8,087","7,916",171,4.1,4.2,2.7,4.9,5.0,2.1
374,Sundargarh,"26,970","18,210","8,760",2.3,2.4,1.9,3.1,2.9,3.5
375,Kendujhar,"21,314","18,514","2,800",4.5,4.6,3.3,2.8,2.7,3.3
376,Mayurbhanj,"113,808","110,875","2,933",14.5,15.0,3.7,9.3,9.6,4.4
377,Baleshwar,"28,736","24,871","3,865",3.6,3.7,3.0,3.1,2.9,4.5
378,Bhadrak,"14,451","12,064","2,387",2.4,2.2,4.3,3.1,2.9,4.2
379,Kendrapara,"16,544","15,722",822,2.4,2.4,3.0,3.5,3.6,3.0
380,Jagatsinghapur,"16,357","15,005","1,352",3.4,3.5,2.3,4.1,4.1,3.4
381,Cuttack,"51,809","36,407","15,402",4.8,5.1,3.9,5.5,5.3,6.1
382,Jajapur,"20,938","18,832","2,106",3.1,3.2,2.4,3.8,3.7,5.2
383,Dhenkanal,"17,312","15,650","1,662",3.9,4.0,3.1,4.0,3.9,4.5
384,Anugul,"35,069","31,060","4,009",5.9,6.4,1.7,6.7,6.8,5.7
385,Nayagarh,"17,557","16,207","1,350",7.2,7.2,7.2,5.1,5.1,5.3
386,Khordha,"39,471","17,751","21,720",2.9,3.2,2.4,5.0,4.4,5.5
387,Puri,"25,115","20,364","4,751",3.1,3.0,3.5,4.0,3.9,5.1
388,Ganjam,"56,274","42,479","13,795",3.8,3.6,5.5,3.7,3.4,5.1
389,Gajapati,"5,370","3,954","1,416",2.1,1.9,4.2,1.8,1.5,5.3
390,Kandhamal,"11,946","11,078",868,7.2,7.4,2.7,3.4,3.4,3.4
391,Baudh,"11,674","10,769",905,6.7,6.4,14.7,5.3,5.1,12.7
392,Subarnapur,"18,756","16,183","2,573",6.8,6.5,12.3,6.5,6.0,14.0
393,Balangir,"28,650","25,384","3,266",4.3,4.4,3.1,4.0,3.9,4.9
394,Nuapada,"8,641","8,118",523,2.9,2.9,3.1,2.8,2.8,4.2
395,Kalahandi,"18,453","16,748","1,705",2.9,2.9,2.1,2.5,2.4,4.0
396,Rayagada,"9,959","7,317","2,642",1.9,1.8,2.9,2.1,1.8,4.9
397,Nabarangapur,"14,409","12,562","1,847",2.2,2.2,3.4,2.4,2.2,5.5
398,Koraput,"14,416","11,460","2,956",2.0,2.0,2.7,2.1,1.9,3.6
399,Malkangiri,"7,725","7,009",716,2.5,2.4,3.8,2.5,2.4,3.7
