district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"439,215","347,907","91,308",3.3,3.4,2.7,3.7,3.5,4.7
370,Bargarh,"27,643","24,160","3,483",6.3,6.4,4.6,5.8,5.6,8.0
371,Jharsuguda,"5,902","3,651","2,251",2.9,3.4,1.9,3.4,3.4,3.4
372,Sambalpur,"13,886","9,781","4,105",4.3,4.8,3.0,4.4,4.4,4.6
373,Debagarh,"3,805","3,682",123,3.9,4.0,2.7,4.1,4.3,2.0
374,Sundargarh,"18,007","10,886","7,121",2.1,2.4,1.6,3.1,2.9,3.5
375,Kendujhar,"12,288","10,298","1,990",2.7,2.7,2.6,2.5,2.4,2.8
376,Mayurbhanj,"35,642","33,690","1,952",7.0,7.3,2.8,5.1,5.2,3.8
377,Baleshwar,"18,624","15,601","3,023",2.3,2.3,2.7,2.7,2.5,4.2
378,Bhadrak,"10,907","9,004","1,903",1.6,1.5,2.1,2.7,2.5,3.8
379,Kendrapara,"11,391","10,830",561,1.8,1.8,2.0,2.9,3.0,2.4
380,Jagatsinghapur,"12,009","10,881","1,128",2.7,2.9,1.7,3.7,3.7,3.3
381,Cuttack,"37,905","25,559","12,346",3.7,3.8,3.4,5.0,4.6,5.9
382,Jajapur,"17,594","15,883","1,711",2.6,2.6,2.0,3.6,3.5,4.8
383,Dhenkanal,"12,638","11,404","1,234",2.9,3.0,2.6,3.7,3.7,3.9
384,Anugul,"20,142","16,822","3,320",4.7,5.2,1.6,5.6,5.6,5.6
385,Nayagarh,"11,275","10,218","1,057",4.2,4.1,5.7,4.0,3.9,4.8
386,Khordha,"29,930","12,759","17,171",2.4,2.6,2.2,4.6,3.8,5.5
387,Puri,"16,973","13,484","3,489",2.3,2.3,2.6,3.4,3.2,4.5
388,Ganjam,"41,774","31,937","9,837",3.4,3.2,4.2,4.2,4.1,4.7
389,Gajapati,"2,841","1,915",926,2.0,1.8,3.3,1.8,1.4,4.9
390,Kandhamal,"4,200","3,640",560,2.6,2.6,2.2,2.2,2.1,2.9
391,Baudh,"6,498","5,906",592,5.7,5.4,10.2,5.2,4.9,10.9
392,Subarnapur,"11,030","9,317","1,713",6.2,5.9,10.5,6.1,5.6,12.1
393,Balangir,"17,798","15,106","2,692",3.9,4.0,3.0,3.8,3.6,5.0
394,Nuapada,"4,742","4,386",356,2.9,2.9,3.2,2.8,2.8,3.8
395,Kalahandi,"10,756","9,409","1,347",2.5,2.6,1.8,2.4,2.3,4.0
396,Rayagada,"5,493","3,680","1,813",1.8,1.7,2.3,2.1,1.7,4.5
397,Nabarangapur,"7,818","6,781","1,037",2.2,2.2,2.6,2.3,2.1,4.3
398,Koraput,"7,879","5,804","2,075",2.0,1.9,2.2,2.1,1.8,3.3
399,Malkangiri,"1,825","1,433",392,1.4,1.3,2.4,1.1,0.9,2.7
