district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"343,865","311,384","32,481",8.5,8.6,7.7,6.1,6.0,6.8
370,Bargarh,"20,502","18,462","2,040",8.1,8.0,11.6,7.1,6.7,17.2
371,Jharsuguda,"9,934","9,089",845,20.1,21.1,13.6,13.1,14.6,6.4
372,Sambalpur,"45,402","41,639","3,763",28.7,30.0,16.7,23.6,25.1,14.1
373,Debagarh,"4,282","4,234",48,4.5,4.6,2.6,5.9,6.0,2.4
374,Sundargarh,"8,963","7,324","1,639",2.6,2.5,3.4,3.1,3.0,3.8
375,Kendujhar,"9,026","8,216",810,7.8,7.9,6.8,3.4,3.2,5.8
376,Mayurbhanj,"78,166","77,185",981,24.6,24.9,8.3,14.9,15.1,6.5
377,Baleshwar,"10,112","9,270",842,9.8,10.2,5.3,4.1,3.9,6.1
378,Bhadrak,"3,544","3,060",484,7.7,6.5,18.4,6.0,6.0,6.2
379,Kendrapara,"5,153","4,892",261,5.4,5.2,10.1,6.4,6.4,6.3
380,Jagatsinghapur,"4,348","4,124",224,6.3,6.3,6.2,5.6,5.7,4.0
381,Cuttack,"13,904","10,848","3,056",9.3,9.7,7.4,8.0,8.3,6.9
382,Jajapur,"3,344","2,949",395,6.9,6.9,5.6,5.1,4.8,8.1
383,Dhenkanal,"4,674","4,246",428,7.5,7.6,7.0,4.9,4.7,7.9
384,Anugul,"14,927","14,238",689,8.5,8.7,3.0,9.0,9.3,5.8
385,Nayagarh,"6,282","5,989",293,22.8,22.9,17.9,10.6,10.8,8.3
386,Khordha,"9,541","4,992","4,549",5.9,7.2,4.3,6.5,7.4,5.7
387,Puri,"8,142","6,880","1,262",8.3,8.2,8.9,6.6,6.5,7.5
388,Ganjam,"14,500","10,542","3,958",4.5,4.0,11.3,2.8,2.3,6.7
389,Gajapati,"2,529","2,039",490,2.2,2.0,6.6,1.8,1.6,6.4
390,Kandhamal,"7,746","7,438",308,12.8,12.9,5.1,4.8,4.8,4.6
391,Baudh,"5,176","4,863",313,8.3,7.8,31.2,5.5,5.3,18.4
392,Subarnapur,"7,726","6,866",860,7.9,7.5,18.8,7.4,6.8,19.8
393,Balangir,"10,852","10,278",574,5.1,5.1,3.7,4.3,4.3,4.4
394,Nuapada,"3,899","3,732",167,3.0,3.0,2.7,2.8,2.8,5.4
395,Kalahandi,"7,697","7,339",358,3.5,3.4,3.7,2.5,2.5,3.9
396,Rayagada,"4,466","3,637",829,2.0,1.9,5.2,2.1,1.9,6.3
397,Nabarangapur,"6,591","5,781",810,2.3,2.2,6.3,2.5,2.2,8.5
398,Koraput,"6,537","5,656",881,2.2,2.0,4.3,2.1,2.0,4.4
399,Malkangiri,"5,900","5,576",324,4.0,3.9,8.8,4.2,4.1,6.6
