district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"5,914,527","3,795,129","2,119,398",30.3,22.4,89.0,33.7,25.1,86.9
370,Bargarh,"136,884","92,474","44,410",17.7,13.9,87.9,18.0,13.1,80.4
371,Jharsuguda,"134,195","61,970","72,225",45.3,27.9,89.8,54.2,36.6,91.9
372,Sambalpur,"198,954","98,928","100,026",32.7,19.9,87.3,39.3,25.3,86.8
373,Debagarh,"32,198","25,662","6,536",17.4,13.4,89.7,19.5,16.3,81.2
374,Sundargarh,"408,657","176,567","232,090",38.3,20.1,95.2,46.8,28.2,93.7
375,Kendujhar,"237,081","161,898","75,183",26.2,19.2,86.7,30.9,23.7,89.4
376,Mayurbhanj,"302,199","244,840","57,359",19.2,15.7,90.0,24.7,21.2,85.3
377,Baleshwar,"256,939","190,946","65,993",29.3,23.7,78.9,27.5,22.5,77.2
378,Bhadrak,"146,815","106,005","40,810",30.0,25.7,68.4,31.3,25.8,71.0
379,Kendrapara,"157,218","136,241","20,977",30.1,27.4,77.8,33.7,31.0,77.1
380,Jagatsinghapur,"165,649","130,771","34,878",42.0,36.0,91.5,41.0,35.9,88.8
381,Cuttack,"497,560","269,816","227,744",52.0,37.6,93.9,53.1,39.5,90.2
382,Jajapur,"224,394","192,319","32,075",40.8,38.7,86.3,40.6,37.6,78.9
383,Dhenkanal,"183,355","152,855","30,500",36.0,32.2,83.2,42.1,38.4,82.1
384,Anugul,"211,430","149,105","62,325",35.8,28.4,94.2,40.2,32.7,87.9
385,Nayagarh,"122,925","101,295","21,630",30.3,28.2,86.2,35.8,31.8,85.1
386,Khordha,"543,786","187,928","355,858",66.9,44.4,94.0,68.6,47.0,90.7
387,Puri,"259,858","176,939","82,919",36.8,28.4,89.9,41.8,33.5,88.4
388,Ganjam,"595,107","368,560","226,547",32.9,25.5,83.6,39.6,29.9,84.0
389,Gajapati,"70,302","49,086","21,216",20.0,15.8,79.3,23.9,18.4,79.6
390,Kandhamal,"101,250","78,784","22,466",23.4,20.2,94.1,28.5,23.9,87.5
391,Baudh,"39,441","33,910","5,531",15.3,13.1,78.9,18.0,16.0,77.5
392,Subarnapur,"54,487","42,614","11,873",15.9,13.0,65.4,19.0,15.9,64.4
393,Balangir,"198,970","139,202","59,768",24.6,18.8,92.2,27.6,21.3,88.8
394,Nuapada,"52,271","41,786","10,485",16.7,14.0,78.3,17.1,14.3,83.5
395,Kalahandi,"151,753","115,806","35,947",17.2,13.5,85.9,20.2,16.3,84.3
396,Rayagada,"109,723","63,880","45,843",22.9,16.6,85.7,23.5,15.4,85.8
397,Nabarangapur,"94,628","68,859","25,769",14.7,12.0,81.9,15.5,11.9,76.4
398,Koraput,"181,170","106,752","74,418",25.3,16.9,91.0,26.1,17.5,89.9
399,Malkangiri,"45,328","29,331","15,997",14.2,11.0,80.7,14.6,10.1,83.3
