district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"4,606,254","2,876,263","1,729,991",36.2,26.9,90.9,38.7,28.9,88.2
370,Bargarh,"105,604","69,455","36,149",22.2,17.3,89.4,22.3,16.2,83.4
371,Jharsuguda,"106,751","45,985","60,766",54.6,34.8,92.7,62.1,43.1,93.0
372,Sambalpur,"149,628","70,293","79,335",41.8,25.5,91.0,47.8,31.3,89.6
373,Debagarh,"22,193","17,050","5,143",23.4,18.2,90.8,24.0,19.8,84.5
374,Sundargarh,"319,666","127,348","192,318",48.7,26.1,96.0,54.7,33.5,94.1
375,Kendujhar,"187,692","124,414","63,278",32.7,24.1,88.0,37.7,29.1,90.4
376,Mayurbhanj,"210,669","164,515","46,154",25.7,20.8,92.7,30.2,25.5,88.7
377,Baleshwar,"203,331","147,388","55,943",30.8,24.9,80.8,29.7,24.1,78.0
378,Bhadrak,"121,353","86,278","35,075",30.0,25.6,69.9,29.6,24.0,70.6
379,Kendrapara,"124,485","106,015","18,470",30.7,27.8,80.3,32.2,29.2,80.2
380,Jagatsinghapur,"132,496","102,387","30,109",42.7,36.1,93.0,40.7,35.1,89.4
381,Cuttack,"408,486","220,117","188,369",54.4,39.1,94.5,53.6,39.7,90.5
382,Jajapur,"193,945","165,712","28,233",41.0,38.8,86.4,39.9,36.8,79.0
383,Dhenkanal,"153,248","126,894","26,354",39.8,35.7,85.1,45.0,41.1,83.1
384,Anugul,"169,354","116,957","52,397",44.2,35.6,95.3,46.9,38.7,88.9
385,Nayagarh,"101,209","82,609","18,600",31.3,29.1,88.0,35.6,31.4,85.0
386,Khordha,"440,566","155,765","284,801",67.5,45.0,94.7,68.2,46.8,90.9
387,Puri,"206,199","137,749","68,450",36.8,28.4,91.2,41.4,32.7,89.1
388,Ganjam,"466,207","283,496","182,711",42.4,33.4,88.1,47.1,36.4,86.7
389,Gajapati,"45,321","29,415","15,906",26.7,20.7,84.9,29.1,21.5,83.6
390,Kandhamal,"65,529","48,327","17,202",30.6,26.3,95.0,33.9,27.7,90.5
391,Baudh,"27,573","23,201","4,372",18.9,16.0,84.2,21.9,19.3,80.4
392,Subarnapur,"40,509","30,894","9,615",19.7,16.0,69.5,22.3,18.4,68.2
393,Balangir,"151,179","102,802","48,377",29.3,22.2,92.6,32.2,24.7,89.1
394,Nuapada,"38,686","30,521","8,165",21.2,17.7,83.6,23.0,19.2,86.2
395,Kalahandi,"112,933","84,255","28,678",22.2,17.4,88.6,25.2,20.4,85.9
396,Rayagada,"78,722","42,974","35,748",29.5,20.5,90.0,30.5,19.7,88.8
397,Nabarangapur,"66,119","46,683","19,436",18.3,14.6,85.3,19.3,14.7,80.3
398,Koraput,"126,055","68,475","57,580",31.5,20.3,93.0,32.8,21.3,91.9
399,Malkangiri,"30,546","18,289","12,257",16.2,11.5,84.7,17.9,11.7,85.9
