district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"1,308,273","918,866","389,407",17.5,13.7,78.4,23.2,17.8,81.7
370,Bargarh,"31,280","23,019","8,261",9.4,7.8,79.2,10.8,8.3,69.7
371,Jharsuguda,"27,444","15,985","11,459",23.3,15.7,72.2,36.3,25.6,86.3
372,Sambalpur,"49,326","28,635","20,691",18.3,12.7,72.1,25.6,17.3,77.5
373,Debagarh,"10,005","8,612","1,393",9.0,6.9,85.8,13.7,12.1,71.0
374,Sundargarh,"88,991","49,219","39,772",19.0,11.9,89.7,30.8,20.1,91.5
375,Kendujhar,"49,389","37,484","11,905",14.1,10.7,79.9,18.4,14.7,84.8
376,Mayurbhanj,"91,530","80,325","11,205",10.4,9.2,76.7,17.4,15.7,73.8
377,Baleshwar,"53,608","43,558","10,050",21.9,17.9,67.1,21.6,18.5,72.8
378,Bhadrak,"25,462","19,727","5,735",29.8,26.6,59.1,43.1,38.5,73.8
379,Kendrapara,"32,733","30,226","2,507",27.0,25.7,59.5,40.7,39.6,60.2
380,Jagatsinghapur,"33,153","28,384","4,769",38.9,35.5,80.7,42.5,39.2,85.4
381,Cuttack,"89,074","49,699","39,375",42.1,32.2,89.5,51.0,38.2,88.7
382,Jajapur,"30,449","26,607","3,842",39.5,37.7,84.8,46.0,43.4,78.5
383,Dhenkanal,"30,107","25,961","4,146",22.5,20.4,69.9,31.7,29.0,76.3
384,Anugul,"42,076","32,148","9,928",18.3,15.0,87.3,25.4,20.9,83.2
385,Nayagarh,"21,716","18,686","3,030",25.0,23.5,74.0,36.8,33.7,86.2
386,Khordha,"103,220","32,163","71,057",62.9,40.6,90.0,70.5,47.9,89.7
387,Puri,"53,659","39,190","14,469",37.2,29.0,82.1,43.5,36.9,85.5
388,Ganjam,"128,900","85,064","43,836",17.0,13.8,63.5,25.2,18.8,74.0
389,Gajapati,"24,981","19,671","5,310",12.6,10.8,62.9,18.1,15.1,69.5
390,Kandhamal,"35,721","30,457","5,264",14.5,13.1,90.4,22.1,19.6,79.0
391,Baudh,"11,868","10,709","1,159",9.5,8.6,59.6,12.6,11.6,68.3
392,Subarnapur,"13,978","11,720","2,258",9.5,8.0,51.1,13.3,11.6,52.0
393,Balangir,"47,791","36,400","11,391",15.3,12.7,90.1,19.1,15.3,87.5
394,Nuapada,"13,585","11,265","2,320",9.9,8.6,60.9,9.9,8.4,75.3
395,Kalahandi,"38,820","31,551","7,269",9.2,7.7,73.0,12.7,10.7,78.6
396,Rayagada,"31,001","20,906","10,095",14.4,11.8,69.5,14.8,10.7,76.6
397,Nabarangapur,"28,509","22,176","6,333",9.9,8.7,70.3,10.6,8.6,66.5
398,Koraput,"55,115","38,277","16,838",16.7,12.8,83.4,17.8,13.2,83.6
399,Malkangiri,"14,782","11,042","3,740",11.6,10.3,66.5,10.5,8.2,75.9
