district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"2,610,626","2,426,755","183,871",84.0,83.8,86.5
370,Bargarh,"84,298","80,912","3,386",83.9,83.9,83.8
371,Jharsuguda,"28,635","23,529","5,106",83.4,83.3,83.7
372,Sambalpur,"60,207","51,969","8,238",85.5,85.0,88.5
373,Debagarh,"26,603","25,942",661,81.2,81.2,80.7
374,Sundargarh,"123,577","108,035","15,542",80.3,79.7,84.6
375,Kendujhar,"110,695","104,842","5,853",81.8,81.6,84.3
376,Mayurbhanj,"237,477","231,722","5,755",81.9,81.9,82.7
377,Baleshwar,"115,580","108,894","6,686",80.7,80.3,87.4
378,Bhadrak,"88,612","81,309","7,303",83.1,83.2,82.0
379,Kendrapara,"78,091","76,284","1,807",86.3,86.4,80.5
380,Jagatsinghapur,"60,493","58,230","2,263",87.0,87.1,85.4
381,Cuttack,"123,038","102,931","20,107",84.2,82.9,91.1
382,Jajapur,"94,388","90,793","3,595",85.3,85.2,87.0
383,Dhenkanal,"81,538","78,140","3,398",85.5,85.4,88.2
384,Anugul,"83,159","77,267","5,892",80.6,80.3,84.6
385,Nayagarh,"64,875","62,138","2,737",84.1,84.0,85.6
386,Khordha,"88,544","60,641","27,903",86.2,85.2,88.5
387,Puri,"84,615","79,236","5,379",85.3,84.9,91.9
388,Ganjam,"233,321","211,355","21,966",85.8,85.8,85.8
389,Gajapati,"36,944","34,586","2,358",83.1,83.0,85.5
390,Kandhamal,"56,190","54,239","1,951",79.8,79.7,82.4
391,Baudh,"28,440","27,913",527,85.7,85.6,89.9
392,Subarnapur,"39,520","38,189","1,331",86.8,86.7,87.3
393,Balangir,"116,476","110,222","6,254",84.6,84.5,87.6
394,Nuapada,"42,902","41,842","1,060",83.6,83.7,81.0
395,Kalahandi,"126,046","122,649","3,397",85.5,85.5,84.8
396,Rayagada,"82,147","78,026","4,121",88.3,88.5,84.6
397,Nabarangapur,"99,427","95,640","3,787",86.4,86.6,81.6
398,Koraput,"82,553","78,407","4,146",84.2,84.0,88.5
399,Malkangiri,"32,235","30,873","1,362",83.5,83.4,86.0
