district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"497,616","468,828","28,788",16.0,16.2,13.5
370,Bargarh,"16,201","15,548",653,16.1,16.1,16.2
371,Jharsuguda,"5,700","4,703",997,16.6,16.7,16.3
372,Sambalpur,"10,230","9,158","1,072",14.5,15.0,11.5
373,Debagarh,"6,145","5,987",158,18.8,18.8,19.3
374,Sundargarh,"30,412","27,575","2,837",19.7,20.3,15.4
375,Kendujhar,"24,687","23,600","1,087",18.2,18.4,15.7
376,Mayurbhanj,"52,403","51,195","1,208",18.1,18.1,17.3
377,Baleshwar,"27,663","26,695",968,19.3,19.7,12.6
378,Bhadrak,"17,961","16,363","1,598",16.9,16.8,18.0
379,Kendrapara,"12,401","11,963",438,13.7,13.6,19.5
380,Jagatsinghapur,"9,016","8,628",388,13.0,12.9,14.6
381,Cuttack,"23,168","21,208","1,960",15.8,17.1,8.9
382,Jajapur,"16,246","15,710",536,14.7,14.8,13.0
383,Dhenkanal,"13,779","13,323",456,14.5,14.6,11.8
384,Anugul,"20,068","18,999","1,069",19.4,19.7,15.4
385,Nayagarh,"12,286","11,824",462,15.9,16.0,14.4
386,Khordha,"14,158","10,538","3,620",13.8,14.8,11.5
387,Puri,"14,611","14,136",475,14.7,15.1,8.1
388,Ganjam,"38,543","34,911","3,632",14.2,14.2,14.2
389,Gajapati,"7,499","7,099",400,16.9,17.0,14.5
390,Kandhamal,"14,247","13,830",417,20.2,20.3,17.6
391,Baudh,"4,755","4,696",59,14.3,14.4,10.1
392,Subarnapur,"6,032","5,839",193,13.2,13.3,12.7
393,Balangir,"21,125","20,243",882,15.4,15.5,12.4
394,Nuapada,"8,426","8,178",248,16.4,16.3,19.0
395,Kalahandi,"21,409","20,799",610,14.5,14.5,15.2
396,Rayagada,"10,920","10,172",748,11.7,11.5,15.4
397,Nabarangapur,"15,670","14,816",854,13.6,13.4,18.4
398,Koraput,"15,499","14,958",541,15.8,16.0,11.5
399,Malkangiri,"6,356","6,134",222,16.5,16.6,14.0
