district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"41,974,218","34,970,562","7,003,656",14.0,11.8,26.9
370,Bargarh,"1,481,255","1,331,145","150,110",10.0,7.1,45.0
371,Jharsuguda,"579,505","348,340","231,165",12.6,5.9,24.4
372,Sambalpur,"1,041,099","733,006","308,093",11.9,8.3,21.4
373,Debagarh,"312,520","290,130","22,390",14.0,14.2,11.4
374,Sundargarh,"2,093,437","1,355,340","738,097",14.4,12.8,17.3
375,Kendujhar,"1,801,733","1,548,674","253,059",15.3,14.8,18.8
376,Mayurbhanj,"2,519,738","2,326,842","192,896",13.3,12.5,23.9
377,Baleshwar,"2,320,529","2,067,236","253,293",14.6,14.6,14.9
378,Bhadrak,"1,506,337","1,320,499","185,838",12.9,10.7,31.7
379,Kendrapara,"1,440,361","1,356,827","83,534",10.6,10.5,12.7
380,Jagatsinghapur,"1,136,971","1,020,991","115,980",7.5,7.1,11.0
381,Cuttack,"2,624,470","1,888,423","736,047",12.1,11.1,14.8
382,Jajapur,"1,827,192","1,692,095","135,097",12.5,9.1,85.1
383,Dhenkanal,"1,192,811","1,075,305","117,506",11.8,10.4,26.5
384,Anugul,"1,273,821","1,067,275","206,546",11.7,8.7,30.4
385,Nayagarh,"962,789","883,051","79,738",11.4,6.7,115.1
386,Khordha,"2,251,673","1,167,357","1,084,316",19.9,8.9,34.6
387,Puri,"1,698,730","1,433,800","264,930",13.0,10.4,29.8
388,Ganjam,"3,529,031","2,761,030","768,001",11.7,6.0,38.0
389,Gajapati,"577,817","507,151","70,666",11.4,8.8,33.6
390,Kandhamal,"733,110","660,831","72,279",13.1,9.4,63.9
391,Baudh,"441,162","420,738","20,424",18.2,18.4,13.3
392,Subarnapur,"610,183","560,242","49,941",12.6,11.7,24.6
393,Balangir,"1,648,997","1,451,616","197,381",23.3,22.7,27.9
394,Nuapada,"610,382","576,328","34,054",15.0,15.1,13.4
395,Kalahandi,"1,576,869","1,454,882","121,987",18.1,17.8,21.7
396,Rayagada,"967,911","820,945","146,966",16.5,14.7,27.3
397,Nabarangapur,"1,220,946","1,133,321","87,625",19.0,17.3,47.8
398,Koraput,"1,379,647","1,153,478","226,169",16.9,17.4,14.0
399,Malkangiri,"613,192","563,664","49,528",21.6,20.0,43.1
