district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"739,287","716,682","22,605",19.8,20.0,16.0
370,Bargarh,"31,578","31,158",420,16.9,17.0,11.8
371,Jharsuguda,"7,769","7,145",624,18.8,19.1,16.2
372,Sambalpur,"16,178","15,003","1,175",16.4,16.6,14.8
373,Debagarh,"10,012","9,862",150,20.3,20.3,20.8
374,Sundargarh,"40,994","39,209","1,785",22.3,22.5,18.1
375,Kendujhar,"36,908","36,093",815,19.6,19.5,22.7
376,Mayurbhanj,"84,476","83,153","1,323",21.9,21.9,25.4
377,Baleshwar,"49,388","48,796",592,28.8,29.2,13.9
378,Bhadrak,"8,316","7,764",552,24.5,25.0,19.3
379,Kendrapara,"14,107","13,723",384,26.1,26.3,20.5
380,Jagatsinghapur,"8,018","7,793",225,18.2,18.4,13.4
381,Cuttack,"21,121","20,219",902,22.5,24.9,7.1
382,Jajapur,"6,277","6,026",251,18.4,18.5,17.0
383,Dhenkanal,"14,451","14,076",375,23.0,23.0,21.6
384,Anugul,"21,615","20,801",814,20.4,20.4,21.2
385,Nayagarh,"8,723","8,507",216,23.3,23.5,19.1
386,Khordha,"9,767","7,921","1,846",17.2,21.5,9.2
387,Puri,"16,489","15,979",510,22.9,23.5,12.9
388,Ganjam,"64,565","60,761","3,804",19.6,19.7,18.7
389,Gajapati,"13,084","12,530",554,16.5,16.4,20.8
390,Kandhamal,"25,003","24,605",398,21.2,21.3,19.6
391,Baudh,"9,490","9,453",37,15.2,15.2,7.7
392,Subarnapur,"12,237","11,925",312,17.3,17.3,16.7
393,Balangir,"39,175","38,739",436,21.7,21.9,11.0
394,Nuapada,"18,532","18,282",250,18.1,18.1,21.3
395,Kalahandi,"44,011","43,493",518,19.3,19.4,16.3
396,Rayagada,"21,721","20,685","1,036",14.9,14.6,22.5
397,Nabarangapur,"40,071","38,977","1,094",18.5,18.4,24.4
398,Koraput,"30,736","29,878",858,15.5,15.4,18.3
399,Malkangiri,"14,475","14,126",349,15.6,15.5,19.4
