district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"21,212,136","17,586,203","3,625,933",13.7,11.7,24.5
370,Bargarh,"749,161","672,603","76,558",9.9,7.1,43.1
371,Jharsuguda,"296,690","176,162","120,528",12.1,5.7,23.0
372,Sambalpur,"526,877","368,692","158,185",11.5,8.3,19.9
373,Debagarh,"158,230","146,666","11,564",14.3,14.7,9.9
374,Sundargarh,"1,061,147","676,068","385,079",13.4,12.2,15.6
375,Kendujhar,"906,487","774,667","131,820",14.7,14.2,18.1
376,Mayurbhanj,"1,256,213","1,157,576","98,637",11.8,11.2,20.1
377,Baleshwar,"1,185,787","1,056,466","129,321",14.4,14.6,12.7
378,Bhadrak,"760,260","665,255","95,005",12.5,10.4,30.2
379,Kendrapara,"717,814","675,053","42,761",11.0,11.0,12.4
380,Jagatsinghapur,"577,865","516,813","61,052",7.2,7.5,4.5
381,Cuttack,"1,352,760","970,885","381,875",12.0,12.2,11.6
382,Jajapur,"926,034","856,539","69,495",12.4,9.1,81.4
383,Dhenkanal,"612,593","551,326","61,267",12.6,11.4,25.2
384,Anugul,"655,718","546,385","109,333",11.7,9.0,27.3
385,Nayagarh,"502,636","461,019","41,617",12.7,8.0,114.7
386,Khordha,"1,167,137","595,809","571,328",18.3,9.6,28.9
387,Puri,"865,380","728,213","137,167",13.4,10.8,29.2
388,Ganjam,"1,779,218","1,383,636","395,582",12.5,6.8,37.9
389,Gajapati,"282,882","247,655","35,227",10.8,8.2,32.6
390,Kandhamal,"359,945","323,523","36,422",11.5,7.9,59.3
391,Baudh,"221,625","211,133","10,492",17.8,18.1,12.7
392,Subarnapur,"311,312","285,634","25,678",13.0,12.1,23.5
393,Balangir,"830,097","728,770","101,327",23.2,22.7,27.0
394,Nuapada,"301,962","284,792","17,170",14.2,14.3,12.6
395,Kalahandi,"787,101","724,646","62,455",17.9,17.7,20.3
396,Rayagada,"471,960","397,774","74,186",15.2,13.3,26.5
397,Nabarangapur,"604,812","560,771","44,041",17.4,15.8,43.2
398,Koraput,"678,809","563,771","115,038",14.9,15.3,13.0
399,Malkangiri,"303,624","277,901","25,723",20.2,18.5,43.8
