district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"20,762,082","17,384,359","3,377,723",14.4,11.9,29.6
370,Bargarh,"732,094","658,542","73,552",10.1,7.1,47.0
371,Jharsuguda,"282,815","172,178","110,637",13.0,6.0,25.8
372,Sambalpur,"514,222","364,314","149,908",12.3,8.4,23.0
373,Debagarh,"154,290","143,464","10,826",13.7,13.8,13.0
374,Sundargarh,"1,032,290","679,272","353,018",15.3,13.4,19.2
375,Kendujhar,"895,246","774,007","121,239",16.0,15.4,19.5
376,Mayurbhanj,"1,263,525","1,169,266","94,259",14.8,13.9,28.1
377,Baleshwar,"1,134,742","1,010,770","123,972",14.9,14.5,17.4
378,Bhadrak,"746,077","655,244","90,833",13.4,11.1,33.4
379,Kendrapara,"722,547","681,774","40,773",10.2,10.1,13.0
380,Jagatsinghapur,"559,106","504,178","54,928",7.8,6.6,19.4
381,Cuttack,"1,271,710","917,538","354,172",12.2,10.0,18.5
382,Jajapur,"901,158","835,556","65,602",12.6,9.1,89.2
383,Dhenkanal,"580,218","523,979","56,239",11.0,9.4,27.8
384,Anugul,"618,103","520,890","97,213",11.8,8.5,34.0
385,Nayagarh,"460,153","422,032","38,121",10.0,5.3,115.6
386,Khordha,"1,084,536","571,548","512,988",21.8,8.2,41.6
387,Puri,"833,350","705,587","127,763",12.7,10.0,30.6
388,Ganjam,"1,749,813","1,377,394","372,419",10.8,5.2,38.2
389,Gajapati,"294,935","259,496","35,439",12.0,9.5,34.6
390,Kandhamal,"373,165","337,308","35,857",14.7,10.9,68.9
391,Baudh,"219,537","209,605","9,932",18.5,18.8,13.9
392,Subarnapur,"298,871","274,608","24,263",12.3,11.2,25.9
393,Balangir,"818,900","722,846","96,054",23.5,22.8,28.9
394,Nuapada,"308,420","291,536","16,884",15.8,15.9,14.2
395,Kalahandi,"789,768","730,236","59,532",18.2,17.8,23.2
396,Rayagada,"495,951","423,171","72,780",17.7,16.1,28.2
397,Nabarangapur,"616,134","572,550","43,584",20.7,18.8,52.8
398,Koraput,"700,838","589,707","111,131",18.8,19.6,14.9
399,Malkangiri,"309,568","285,763","23,805",23.0,21.6,42.3
