district_code,district_name,col_0,col_1
21,ODISHA,236,270
370,Bargarh,231,254
371,Jharsuguda,244,274
372,Sambalpur,140,157
373,Debagarh,93,106
374,Sundargarh,188,216
375,Kendujhar,188,217
376,Mayurbhanj,213,242
377,Baleshwar,532,610
378,Bhadrak,532,601
379,Kendrapara,492,545
380,Jagatsinghapur,634,682
381,Cuttack,595,667
382,Jajapur,560,630
383,Dhenkanal,240,268
384,Anugul,179,200
385,Nayagarh,222,248
386,Khordha,667,800
387,Puri,432,488
388,Ganjam,385,430
389,Gajapati,120,134
390,Kandhamal,81,91
391,Baudh,121,142
392,Subarnapur,232,261
393,Balangir,203,251
394,Nuapada,138,158
395,Kalahandi,169,199
396,Rayagada,118,137
397,Nabarangapur,194,231
398,Koraput,134,157
399,Malkangiri,87,106
