district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"2,556,697","2,200,038","356,659",14.4,14.8,12.3,12.3,12.7,10.6
370,Bargarh,"79,655","71,624","8,031",12.8,12.9,12.3,10.9,10.9,10.9
371,Jharsuguda,"31,453","18,272","13,181",13.1,13.3,12.8,11.1,10.6,11.9
372,Sambalpur,"57,104","41,238","15,866",13.3,13.7,12.3,11.1,11.3,10.6
373,Debagarh,"19,199","17,954","1,245",15.3,15.4,13.2,12.4,12.5,11.5
374,Sundargarh,"127,956","89,190","38,766",14.6,15.5,12.7,12.4,13.1,11.0
375,Kendujhar,"127,518","110,830","16,688",15.5,15.6,14.5,14.2,14.3,13.8
376,Mayurbhanj,"172,298","163,055","9,243",16.2,16.5,11.9,13.6,13.9,9.8
377,Baleshwar,"140,107","126,559","13,548",14.5,14.7,13.1,12.3,12.5,10.9
378,Bhadrak,"89,512","78,386","11,126",14.2,14.2,14.5,12.0,12.0,12.2
379,Kendrapara,"77,505","73,239","4,266",12.9,13.0,12.2,10.7,10.7,10.5
380,Jagatsinghapur,"53,094","47,434","5,660",11.5,11.4,12.7,9.5,9.4,10.3
381,Cuttack,"129,779","96,544","33,235",12.3,12.6,11.3,10.2,10.5,9.4
382,Jajapur,"104,246","96,284","7,962",13.2,13.2,12.0,11.6,11.5,12.1
383,Dhenkanal,"65,003","59,487","5,516",13.4,13.6,11.2,11.2,11.4,9.8
384,Anugul,"71,737","61,798","9,939",14.3,14.6,12.5,11.6,11.9,10.2
385,Nayagarh,"49,272","45,661","3,611",12.8,12.9,10.8,10.7,10.8,9.5
386,Khordha,"113,515","62,918","50,597",12.4,12.9,11.8,10.5,11.0,9.9
387,Puri,"83,392","71,420","11,972",12.3,12.5,11.3,10.0,10.1,9.4
388,Ganjam,"199,999","162,913","37,086",14.6,15.2,11.5,11.4,11.8,10.0
389,Gajapati,"42,772","39,297","3,475",17.3,17.9,11.3,14.5,15.1,9.8
390,Kandhamal,"53,794","50,058","3,736",17.8,18.1,12.1,14.4,14.8,10.4
391,Baudh,"30,587","29,553","1,034",16.2,16.4,12.7,13.9,14.1,10.4
392,Subarnapur,"36,486","33,844","2,642",14.3,14.4,12.3,12.2,12.3,10.9
393,Balangir,"105,662","95,361","10,301",14.2,14.5,11.9,12.9,13.2,10.7
394,Nuapada,"43,744","41,672","2,072",15.6,15.7,14.0,14.2,14.3,12.3
395,Kalahandi,"108,844","102,220","6,624",16.2,16.4,13.7,13.8,14.0,11.1
396,Rayagada,"72,924","64,985","7,939",17.1,17.8,12.4,14.7,15.4,10.9
397,Nabarangapur,"103,834","98,528","5,306",18.3,18.6,14.1,16.9,17.2,12.2
398,Koraput,"111,384","98,712","12,672",16.9,17.7,12.7,15.9,16.7,11.4
399,Malkangiri,"54,322","51,002","3,320",17.7,17.9,15.0,17.5,17.8,13.9
