district_code,district_name,col_0,col_1,col_2,col_3
21,ODISHA,85.0,15.0,83.3,16.7
370,Bargarh,92.3,7.7,89.9,10.1
371,Jharsuguda,63.9,36.1,60.1,39.9
372,Sambalpur,72.7,27.3,70.4,29.6
373,Debagarh,92.7,7.3,92.8,7.2
374,Sundargarh,65.6,34.4,64.7,35.3
375,Kendujhar,86.4,13.6,86.0,14.0
376,Mayurbhanj,93.0,7.0,92.3,7.7
377,Baleshwar,89.1,10.9,89.1,10.9
378,Bhadrak,89.4,10.6,87.7,12.3
379,Kendrapara,94.3,5.7,94.2,5.8
380,Jagatsinghapur,90.1,9.9,89.8,10.2
381,Cuttack,72.6,27.4,72.0,28.0
382,Jajapur,95.5,4.5,92.6,7.4
383,Dhenkanal,91.3,8.7,90.1,9.9
384,Anugul,86.1,13.9,83.8,16.2
385,Nayagarh,95.7,4.3,91.7,8.3
386,Khordha,57.1,42.9,51.8,48.2
387,Puri,86.4,13.6,84.4,15.6
388,Ganjam,82.4,17.6,78.2,21.8
389,Gajapati,89.8,10.2,87.8,12.2
390,Kandhamal,93.2,6.8,90.1,9.9
391,Baudh,95.2,4.8,95.4,4.6
392,Subarnapur,92.6,7.4,91.8,8.2
393,Balangir,88.5,11.5,88.0,12.0
394,Nuapada,94.3,5.7,94.4,5.6
395,Kalahandi,92.5,7.5,92.3,7.7
396,Rayagada,86.1,13.9,84.8,15.2
397,Nabarangapur,94.2,5.8,92.8,7.2
398,Koraput,83.2,16.8,83.6,16.4
399,Malkangiri,93.1,6.9,91.9,8.1
