district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"5,273,194","4,525,870","747,324",14.6,15.0,12.0,12.6,12.9,10.7
370,Bargarh,"162,922","146,333","16,589",13.0,13.0,12.2,11.0,11.0,11.1
371,Jharsuguda,"64,794","37,295","27,499",13.1,13.4,12.6,11.2,10.7,11.9
372,Sambalpur,"117,848","84,408","33,440",13.4,13.9,12.2,11.3,11.5,10.9
373,Debagarh,"39,917","37,332","2,585",15.5,15.7,12.8,12.8,12.9,11.5
374,Sundargarh,"263,160","181,482","81,678",14.5,15.6,12.4,12.6,13.4,11.1
375,Kendujhar,"259,403","224,941","34,462",15.6,15.8,14.1,14.4,14.5,13.6
376,Mayurbhanj,"351,834","332,377","19,457",16.4,16.8,11.5,14.0,14.3,10.1
377,Baleshwar,"288,672","260,819","27,853",14.6,14.8,12.9,12.4,12.6,11.0
378,Bhadrak,"184,560","161,574","22,986",14.4,14.5,14.3,12.3,12.2,12.4
379,Kendrapara,"161,159","152,138","9,021",13.4,13.5,12.5,11.2,11.2,10.8
380,Jagatsinghapur,"110,249","98,291","11,958",11.8,11.8,11.7,9.7,9.6,10.3
381,Cuttack,"271,816","201,598","70,218",12.3,12.8,10.9,10.4,10.7,9.5
382,Jajapur,"216,804","200,284","16,520",13.4,13.5,11.9,11.9,11.8,12.2
383,Dhenkanal,"139,096","127,334","11,762",13.7,13.9,11.1,11.7,11.8,10.0
384,Anugul,"152,403","130,583","21,820",14.4,14.7,12.1,12.0,12.2,10.6
385,Nayagarh,"106,871","98,936","7,935",13.1,13.2,11.2,11.1,11.2,10.0
386,Khordha,"237,394","130,977","106,417",12.3,13.2,11.1,10.5,11.2,9.8
387,Puri,"172,888","147,983","24,905",12.5,12.8,11.3,10.2,10.3,9.4
388,Ganjam,"420,158","342,463","77,695",15.0,15.8,11.7,11.9,12.4,10.1
389,Gajapati,"86,984","79,684","7,300",17.9,18.6,11.7,15.1,15.7,10.3
390,Kandhamal,"109,709","101,816","7,893",18.1,18.5,12.2,15.0,15.4,10.9
391,Baudh,"61,847","59,737","2,110",16.3,16.5,12.8,14.0,14.2,10.3
392,Subarnapur,"74,821","69,350","5,471",14.3,14.4,12.1,12.3,12.4,11.0
393,Balangir,"216,320","194,634","21,686",14.3,14.7,11.9,13.1,13.4,11.0
394,Nuapada,"88,344","84,066","4,278",15.9,16.0,14.0,14.5,14.6,12.6
395,Kalahandi,"222,570","208,763","13,807",16.3,16.6,13.3,14.1,14.3,11.3
396,Rayagada,"148,522","132,230","16,292",17.5,18.3,12.5,15.3,16.1,11.1
397,Nabarangapur,"207,911","197,140","10,771",18.2,18.5,13.8,17.0,17.4,12.3
398,Koraput,"225,126","199,037","26,089",17.0,17.9,12.7,16.3,17.3,11.5
399,Malkangiri,"109,092","102,265","6,827",17.8,18.0,14.7,17.8,18.1,13.8
