district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"2,716,497","2,325,832","390,665",14.7,15.3,11.8,12.8,13.2,10.8
370,Bargarh,"83,267","74,709","8,558",13.1,13.2,12.2,11.1,11.1,11.2
371,Jharsuguda,"33,341","19,023","14,318",13.1,13.5,12.4,11.2,10.8,11.9
372,Sambalpur,"60,744","43,170","17,574",13.5,14.0,12.1,11.5,11.7,11.1
373,Debagarh,"20,718","19,378","1,340",15.6,15.9,12.4,13.1,13.2,11.6
374,Sundargarh,"135,204","92,292","42,912",14.4,15.7,12.0,12.7,13.7,11.1
375,Kendujhar,"131,885","114,111","17,774",15.7,16.0,13.8,14.5,14.7,13.5
376,Mayurbhanj,"179,536","169,322","10,214",16.6,17.0,11.2,14.3,14.6,10.4
377,Baleshwar,"148,565","134,260","14,305",14.7,14.9,12.7,12.5,12.7,11.1
378,Bhadrak,"95,048","83,188","11,860",14.7,14.7,14.2,12.5,12.5,12.5
379,Kendrapara,"83,654","78,899","4,755",13.9,14.0,12.7,11.7,11.7,11.1
380,Jagatsinghapur,"57,155","50,857","6,298",12.0,12.1,11.0,9.9,9.8,10.3
381,Cuttack,"142,037","105,054","36,983",12.2,12.9,10.5,10.5,10.8,9.7
382,Jajapur,"112,558","104,000","8,558",13.7,13.8,11.8,12.2,12.1,12.3
383,Dhenkanal,"74,093","67,847","6,246",13.9,14.2,11.1,12.1,12.3,10.2
384,Anugul,"80,666","68,785","11,881",14.4,14.9,11.7,12.3,12.6,10.9
385,Nayagarh,"57,599","53,275","4,324",13.3,13.4,11.5,11.5,11.6,10.4
386,Khordha,"123,879","68,059","55,820",12.1,13.5,10.5,10.6,11.4,9.8
387,Puri,"89,496","76,563","12,933",12.8,13.0,11.3,10.3,10.5,9.4
388,Ganjam,"220,159","179,550","40,609",15.5,16.3,11.9,12.4,13.0,10.3
389,Gajapati,"44,212","40,387","3,825",18.5,19.2,12.2,15.6,16.3,10.9
390,Kandhamal,"55,915","51,758","4,157",18.4,18.9,12.4,15.5,16.0,11.4
391,Baudh,"31,260","30,184","1,076",16.5,16.7,13.0,14.1,14.3,10.3
392,Subarnapur,"38,335","35,506","2,829",14.3,14.4,11.9,12.3,12.4,11.0
393,Balangir,"110,658","99,273","11,385",14.5,14.8,11.9,13.3,13.6,11.2
394,Nuapada,"44,600","42,394","2,206",16.2,16.4,14.0,14.8,14.9,12.8
395,Kalahandi,"113,726","106,543","7,183",16.4,16.7,13.0,14.4,14.7,11.5
396,Rayagada,"75,598","67,245","8,353",17.9,18.8,12.6,16.0,16.9,11.3
397,Nabarangapur,"104,077","98,612","5,465",18.2,18.5,13.5,17.2,17.6,12.4
398,Koraput,"113,742","100,325","13,417",17.1,18.1,12.6,16.8,17.8,11.7
399,Malkangiri,"54,770","51,263","3,507",17.9,18.2,14.4,18.0,18.4,13.6
