district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,953,955,933,941,946,913
370,Bargarh,957,958,944,957,959,938
371,Jharsuguda,949,961,927,943,961,921
372,Sambalpur,959,967,934,940,955,903
373,Debagarh,956,956,968,927,927,929
374,Sundargarh,970,982,940,946,966,903
375,Kendujhar,962,962,962,967,971,939
376,Mayurbhanj,956,956,949,960,963,905
377,Baleshwar,944,943,945,943,943,947
378,Bhadrak,943,941,957,942,942,938
379,Kendrapara,940,942,914,926,928,897
380,Jagatsinghapur,926,928,907,929,933,899
381,Cuttack,939,939,940,914,919,899
382,Jajapur,937,937,920,926,926,930
383,Dhenkanal,925,926,909,877,877,883
384,Anugul,937,942,903,889,898,837
385,Nayagarh,904,905,862,855,857,835
386,Khordha,926,931,917,916,924,906
387,Puri,931,932,920,932,933,926
388,Ganjam,939,943,913,908,907,913
389,Gajapati,964,967,920,967,973,908
390,Kandhamal,970,974,904,962,967,899
391,Baudh,966,968,914,978,979,961
392,Subarnapur,967,968,960,952,953,934
393,Balangir,967,971,933,955,961,905
394,Nuapada,969,969,966,981,983,939
395,Kalahandi,984,985,980,957,959,922
396,Rayagada,981,984,952,965,966,950
397,Nabarangapur,999,"1,000",969,998,999,971
398,Koraput,983,987,961,979,984,944
399,Malkangiri,982,982,973,992,995,947
