district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"7,188,463","6,218,642","969,821",18.2,15.6,37.9
370,Bargarh,"298,780","269,396","29,384",14.6,11.1,61.9
371,Jharsuguda,"104,620","68,740","35,880",18.6,15.2,25.6
372,Sambalpur,"191,827","134,729","57,098",21.2,13.4,44.6
373,Debagarh,"52,112","48,246","3,866",23.7,25.0,9.6
374,Sundargarh,"191,660","115,853","75,807",21.5,12.7,38.0
375,Kendujhar,"209,357","172,913","36,444",15.4,13.9,22.8
376,Mayurbhanj,"184,682","163,237","21,445",8.1,5.7,30.8
377,Baleshwar,"478,586","447,936","30,650",25.5,25.5,25.6
378,Bhadrak,"334,896","316,246","18,650",16.8,16.4,24.1
379,Kendrapara,"309,780","293,691","16,089",15.9,16.0,15.0
380,Jagatsinghapur,"248,152","231,690","16,462",11.4,9.4,50.2
381,Cuttack,"498,633","406,771","91,862",11.6,13.0,6.0
382,Jajapur,"433,387","415,652","17,735",16.0,14.9,51.2
383,Dhenkanal,"234,079","215,178","18,901",18.7,17.7,30.5
384,Anugul,"239,552","205,004","34,548",22.2,18.2,52.2
385,Nayagarh,"136,399","125,932","10,467",12.3,10.0,50.3
386,Khordha,"297,472","189,428","108,044",17.0,5.8,43.7
387,Puri,"325,133","296,881","28,252",18.7,16.4,50.3
388,Ganjam,"688,235","566,923","121,312",17.3,9.4,76.4
389,Gajapati,"39,175","29,535","9,640",0.6,-2.7,12.5
390,Kandhamal,"115,544","100,569","14,975",5.5,0.2,63.8
391,Baudh,"104,934","99,438","5,496",28.4,28.0,36.4
392,Subarnapur,"156,219","143,381","12,838",22.0,21.4,29.4
393,Balangir,"294,777","263,126","31,651",30.3,29.7,34.9
394,Nuapada,"82,159","75,346","6,813",13.6,13.3,17.8
395,Kalahandi,"286,580","264,974","21,606",21.4,21.0,26.2
396,Rayagada,"139,514","116,657","22,857",20.6,16.9,43.9
397,Nabarangapur,"177,384","157,676","19,708",22.6,19.7,53.0
398,Koraput,"196,540","160,697","35,843",27.7,26.6,32.5
399,Malkangiri,"138,295","122,797","15,498",28.5,24.6,70.2
