district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"3,617,808","3,127,719","490,089","3,570,655","3,090,923","479,732"
370,Bargarh,"150,420","135,660","14,760","148,360","133,736","14,624"
371,Jharsuguda,"52,580","34,397","18,183","52,040","34,343","17,697"
372,Sambalpur,"96,511","67,886","28,625","95,316","66,843","28,473"
373,Debagarh,"26,343","24,428","1,915","25,769","23,818","1,951"
374,Sundargarh,"96,465","57,762","38,703","95,195","58,091","37,104"
375,Kendujhar,"104,684","86,283","18,401","104,673","86,630","18,043"
376,Mayurbhanj,"92,127","81,424","10,703","92,555","81,813","10,742"
377,Baleshwar,"243,597","228,038","15,559","234,989","219,898","15,091"
378,Bhadrak,"168,687","159,293","9,394","166,209","156,953","9,256"
379,Kendrapara,"155,531","147,353","8,178","154,249","146,338","7,911"
380,Jagatsinghapur,"125,184","116,636","8,548","122,968","115,054","7,914"
381,Cuttack,"254,456","207,678","46,778","244,177","199,093","45,084"
382,Jajapur,"220,553","211,521","9,032","212,834","204,131","8,703"
383,Dhenkanal,"118,755","109,104","9,651","115,324","106,074","9,250"
384,Anugul,"121,459","103,752","17,707","118,093","101,252","16,841"
385,Nayagarh,"69,813","64,486","5,327","66,586","61,446","5,140"
386,Khordha,"151,528","95,784","55,744","145,944","93,644","52,300"
387,Puri,"164,366","150,019","14,347","160,767","146,862","13,905"
388,Ganjam,"342,111","281,268","60,843","346,124","285,655","60,469"
389,Gajapati,"19,037","14,423","4,614","20,138","15,112","5,026"
390,Kandhamal,"56,987","49,588","7,399","58,557","50,981","7,576"
391,Baudh,"52,497","49,693","2,804","52,437","49,745","2,692"
392,Subarnapur,"79,725","73,224","6,501","76,494","70,157","6,337"
393,Balangir,"148,356","132,340","16,016","146,421","130,786","15,635"
394,Nuapada,"40,742","37,415","3,327","41,417","37,931","3,486"
395,Kalahandi,"142,133","131,474","10,659","144,447","133,500","10,947"
396,Rayagada,"68,068","56,888","11,180","71,446","59,769","11,677"
397,Nabarangapur,"88,252","78,616","9,636","89,132","79,060","10,072"
398,Koraput,"96,789","79,036","17,753","99,751","81,661","18,090"
399,Malkangiri,"70,052","62,250","7,802","68,243","60,547","7,696"
