district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,979,983,949,987,988,979
370,Bargarh,985,985,979,986,986,991
371,Jharsuguda,981,996,950,990,998,973
372,Sambalpur,975,981,958,988,985,995
373,Debagarh,985,984,997,978,975,"1,019"
374,Sundargarh,980,999,944,987,"1,006",959
375,Kendujhar,983,990,950,"1,000","1,004",981
376,Mayurbhanj,990,994,950,"1,005","1,005","1,004"
377,Baleshwar,962,964,927,965,964,970
378,Bhadrak,967,967,963,985,985,985
379,Kendrapara,982,984,949,992,993,967
380,Jagatsinghapur,969,976,830,982,986,926
381,Cuttack,956,964,923,960,959,964
382,Jajapur,956,956,944,965,965,964
383,Dhenkanal,971,973,939,971,972,958
384,Anugul,966,970,936,972,976,951
385,Nayagarh,962,962,963,954,953,965
386,Khordha,945,977,873,963,978,938
387,Puri,977,979,948,978,979,969
388,Ganjam,"1,012","1,013","1,000","1,012","1,016",994
389,Gajapati,"1,052","1,043","1,083","1,058","1,048","1,089"
390,Kandhamal,"1,012","1,014",999,"1,028","1,028","1,024"
391,Baudh,993,994,975,999,"1,001",960
392,Subarnapur,967,970,938,959,958,975
393,Balangir,978,981,958,987,988,976
394,Nuapada,"1,005","1,005","1,007","1,017","1,014","1,048"
395,Kalahandi,"1,011","1,011","1,012","1,016","1,015","1,027"
396,Rayagada,"1,020","1,018","1,032","1,050","1,051","1,044"
397,Nabarangapur,982,983,971,"1,010","1,006","1,045"
398,Koraput,"1,006","1,008",995,"1,031","1,033","1,019"
399,Malkangiri,973,974,962,974,973,986
