district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,16.5,17.2,12.7,17.1,17.8,13.8
370,Bargarh,19.4,19.5,17.5,20.2,20.2,19.6
371,Jharsuguda,17.1,18.1,15.4,18.1,19.7,15.5
372,Sambalpur,17.0,17.6,15.6,18.4,18.4,18.5
373,Debagarh,15.4,15.2,17.6,16.7,16.6,17.3
374,Sundargarh,8.6,8.6,8.7,9.2,8.5,10.3
375,Kendujhar,11.6,11.3,13.9,11.6,11.2,14.4
376,Mayurbhanj,7.7,7.5,10.5,7.3,7.0,11.1
377,Baleshwar,18.8,19.8,11.1,20.6,21.7,12.1
378,Bhadrak,21.5,22.8,10.6,22.2,23.9,10.0
379,Kendrapara,20.5,20.6,18.9,21.5,21.6,19.3
380,Jagatsinghapur,21.1,22.2,10.5,21.8,22.7,14.2
381,Cuttack,19.1,21.2,13.5,19.0,21.5,12.5
382,Jajapur,23.0,23.3,16.1,23.7,24.6,13.1
383,Dhenkanal,18.5,18.8,15.6,19.6,20.0,16.1
384,Anugul,17.2,17.7,14.3,18.8,19.2,16.7
385,Nayagarh,14.0,13.8,18.8,14.2,14.3,13.1
386,Khordha,13.5,16.7,9.3,13.2,16.2,10.0
387,Puri,18.2,19.6,9.2,19.1,20.7,10.7
388,Ganjam,18.6,19.9,12.4,19.5,20.5,15.8
389,Gajapati,7.5,6.5,16.2,6.8,5.8,13.6
390,Kandhamal,16.9,16.6,20.7,15.8,15.2,20.7
391,Baudh,21.9,21.9,22.4,23.8,23.6,26.9
392,Subarnapur,23.6,23.5,24.8,25.6,25.6,25.7
393,Balangir,16.9,17.1,15.2,17.9,18.1,16.0
394,Nuapada,13.6,13.3,19.3,13.5,13.1,20.0
395,Kalahandi,17.7,17.7,17.1,18.2,18.2,17.7
396,Rayagada,13.9,13.9,13.8,14.4,14.2,15.6
397,Nabarangapur,14.1,13.6,21.7,14.5,13.9,22.5
398,Koraput,13.0,12.9,13.6,14.2,13.9,15.8
399,Malkangiri,21.4,21.0,26.3,22.6,21.8,31.3
