district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"9,590,756","8,994,967","595,789",17.7,16.8,33.4
370,Bargarh,"281,135","270,996","10,139",7.8,6.7,50.3
371,Jharsuguda,"176,758","140,117","36,641",8.8,5.8,22.2
372,Sambalpur,"355,261","318,413","36,848",11.0,9.5,26.0
373,Debagarh,"110,400","104,956","5,444",19.9,19.8,21.0
374,Sundargarh,"1,062,349","908,475","153,874",15.6,13.9,27.1
375,Kendujhar,"818,878","759,937","58,941",17.8,17.8,17.5
376,Mayurbhanj,"1,479,576","1,439,002","40,574",17.6,16.9,45.6
377,Baleshwar,"275,678","255,098","20,580",20.7,21.9,7.0
378,Bhadrak,"30,428","24,347","6,081",21.0,7.5,143.0
379,Kendrapara,"9,484","8,862",622,39.0,46.6,-20.1
380,Jagatsinghapur,"7,862","4,524","3,338",-9.0,-13.2,-2.6
381,Cuttack,"93,745","81,658","12,087",12.1,7.6,57.5
382,Jajapur,"151,432","139,209","12,223",20.2,14.8,156.4
383,Dhenkanal,"162,056","156,671","5,385",18.7,19.2,5.8
384,Anugul,"179,603","162,048","17,555",35.0,35.4,32.0
385,Nayagarh,"58,691","57,531","1,160",15.5,14.2,151.6
386,Khordha,"115,051","67,798","47,253",18.4,4.4,46.5
387,Puri,"6,129","4,379","1,750",36.7,7.8,316.7
388,Ganjam,"118,928","112,338","6,590",30.8,28.7,82.6
389,Gajapati,"313,714","308,867","4,847",19.1,17.9,208.7
390,Kandhamal,"392,820","380,602","12,218",16.6,15.1,94.8
391,Baudh,"55,364","54,867",497,18.9,18.8,31.5
392,Subarnapur,"57,192","55,256","1,936",8.0,7.5,23.9
393,Balangir,"347,164","334,672","12,492",25.9,25.1,50.3
394,Nuapada,"206,327","204,121","2,206",12.0,12.2,-2.6
395,Kalahandi,"449,456","440,775","8,681",17.5,17.3,28.1
396,Rayagada,"541,905","522,208","19,697",16.9,16.2,40.7
397,Nabarangapur,"681,173","668,056","13,117",20.7,19.6,116.7
398,Koraput,"697,583","662,719","34,864",19.1,19.5,11.5
399,Malkangiri,"354,614","346,465","8,149",22.5,21.8,57.7
