district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"4,727,732","4,428,522","299,210","4,863,024","4,566,445","296,579"
370,Bargarh,"140,542","135,586","4,956","140,593","135,410","5,183"
371,Jharsuguda,"88,273","69,951","18,322","88,485","70,166","18,319"
372,Sambalpur,"177,565","158,927","18,638","177,696","159,486","18,210"
373,Debagarh,"55,126","52,324","2,802","55,274","52,632","2,642"
374,Sundargarh,"526,856","450,276","76,580","535,493","458,199","77,294"
375,Kendujhar,"405,927","376,255","29,672","412,951","383,682","29,269"
376,Mayurbhanj,"730,487","710,396","20,091","749,089","728,606","20,483"
377,Baleshwar,"137,748","127,371","10,377","137,930","127,727","10,203"
378,Bhadrak,"15,361","12,335","3,026","15,067","12,012","3,055"
379,Kendrapara,"4,748","4,424",324,"4,736","4,438",298
380,Jagatsinghapur,"4,226","2,449","1,777","3,636","2,075","1,561"
381,Cuttack,"47,437","41,229","6,208","46,308","40,429","5,879"
382,Jajapur,"76,048","69,976","6,072","75,384","69,233","6,151"
383,Dhenkanal,"80,878","78,204","2,674","81,178","78,467","2,711"
384,Anugul,"89,980","80,989","8,991","89,623","81,059","8,564"
385,Nayagarh,"29,173","28,531",642,"29,518","29,000",518
386,Khordha,"59,094","33,817","25,277","55,957","33,981","21,976"
387,Puri,"3,240","2,251",989,"2,889","2,128",761
388,Ganjam,"59,172","55,701","3,471","59,756","56,637","3,119"
389,Gajapati,"151,902","149,507","2,395","161,812","159,360","2,452"
390,Kandhamal,"190,506","184,742","5,764","202,314","195,860","6,454"
391,Baudh,"27,362","27,092",270,"28,002","27,775",227
392,Subarnapur,"28,794","27,795",999,"28,398","27,461",937
393,Balangir,"172,489","166,214","6,275","174,675","168,458","6,217"
394,Nuapada,"100,469","99,371","1,098","105,858","104,750","1,108"
395,Kalahandi,"221,171","216,883","4,288","228,285","223,892","4,393"
396,Rayagada,"259,040","249,459","9,581","282,865","272,749","10,116"
397,Nabarangapur,"335,028","328,693","6,335","346,145","339,363","6,782"
398,Koraput,"337,373","320,130","17,243","360,210","342,589","17,621"
399,Malkangiri,"171,717","167,644","4,073","182,897","178,821","4,076"
