district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,"1,003","1,006",948,"1,029","1,031",991
370,Bargarh,988,989,960,"1,000",999,"1,046"
371,Jharsuguda,977,985,944,"1,002","1,003","1,000"
372,Sambalpur,996,999,962,"1,001","1,004",977
373,Debagarh,"1,004","1,005",982,"1,003","1,006",943
374,Sundargarh,"1,003","1,006",983,"1,016","1,018","1,009"
375,Kendujhar,994,997,955,"1,017","1,020",986
376,Mayurbhanj,994,996,926,"1,025","1,026","1,020"
377,Baleshwar,966,969,935,"1,001","1,003",983
378,Bhadrak,958,981,776,981,974,"1,010"
379,Kendrapara,922,917,960,997,"1,003",920
380,Jagatsinghapur,876,886,862,860,847,878
381,Cuttack,953,971,791,976,981,947
382,Jajapur,963,963,945,991,989,"1,013"
383,Dhenkanal,968,970,918,"1,004","1,003","1,014"
384,Anugul,974,984,886,996,"1,001",953
385,Nayagarh,972,978,492,"1,012","1,016",807
386,Khordha,927,972,843,947,"1,005",869
387,Puri,903,937,628,892,945,769
388,Ganjam,983,990,843,"1,010","1,017",899
389,Gajapati,"1,048","1,050",744,"1,065","1,066","1,024"
390,Kandhamal,"1,026","1,027",964,"1,062","1,060","1,120"
391,Baudh,"1,000","1,001",871,"1,023","1,025",841
392,Subarnapur,978,982,853,986,988,938
393,Balangir,"1,007","1,008",956,"1,013","1,014",991
394,Nuapada,"1,027","1,027","1,003","1,054","1,054","1,009"
395,Kalahandi,"1,028","1,029",971,"1,032","1,032","1,024"
396,Rayagada,"1,060","1,061","1,055","1,092","1,093","1,056"
397,Nabarangapur,998,999,950,"1,033","1,032","1,071"
398,Koraput,"1,018","1,018","1,011","1,068","1,070","1,022"
399,Malkangiri,"1,018","1,019",942,"1,065","1,067","1,001"
