district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5
21,ODISHA,22.1,24.6,8.1,22.8,25.7,8.5
370,Bargarh,19.4,20.4,6.5,19.0,20.4,6.8
371,Jharsuguda,31.5,40.3,16.1,30.5,40.2,15.9
372,Sambalpur,34.4,43.0,11.5,34.1,43.4,12.0
373,Debagarh,33.6,34.5,22.4,35.3,36.2,24.3
374,Sundargarh,50.2,66.4,19.2,50.7,67.0,20.8
375,Kendujhar,44.5,47.8,23.6,45.4,49.1,23.3
376,Mayurbhanj,56.6,59.5,17.9,58.7,61.8,21.0
377,Baleshwar,11.3,11.6,8.7,11.9,12.3,8.1
378,Bhadrak,1.9,1.9,1.8,2.0,1.8,3.3
379,Kendrapara,0.5,0.5,1.0,0.7,0.7,0.7
380,Jagatsinghapur,0.8,0.5,3.3,0.7,0.4,2.9
381,Cuttack,3.6,4.5,1.2,3.6,4.3,1.6
382,Jajapur,7.8,7.8,6.5,8.3,8.2,9.0
383,Dhenkanal,12.8,13.5,5.5,13.6,14.6,4.6
384,Anugul,11.7,12.2,8.4,14.1,15.2,8.5
385,Nayagarh,5.9,6.1,1.2,6.1,6.5,1.5
386,Khordha,5.2,6.1,4.0,5.1,5.8,4.4
387,Puri,0.3,0.3,0.2,0.4,0.3,0.7
388,Ganjam,2.9,3.4,0.6,3.4,4.1,0.9
389,Gajapati,50.8,56.2,3.0,54.3,60.9,6.9
390,Kandhamal,52.0,54.7,14.2,53.6,57.6,16.9
391,Baudh,12.5,13.0,2.1,12.5,13.0,2.4
392,Subarnapur,9.8,10.2,3.9,9.4,9.9,3.9
393,Balangir,20.6,22.6,5.4,21.1,23.1,6.3
394,Nuapada,34.7,36.3,7.5,33.8,35.4,6.5
395,Kalahandi,28.6,30.4,6.8,28.5,30.3,7.1
396,Rayagada,55.8,62.8,12.1,56.0,63.6,13.4
397,Nabarangapur,55.0,57.8,10.2,55.8,58.9,15.0
398,Koraput,49.6,56.5,15.8,50.6,57.5,15.4
399,Malkangiri,57.4,60.6,14.9,57.8,61.5,16.5
