district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"26,742,595","21,377,915","5,364,680",63.1,59.8,80.8,72.9,70.2,85.7
370,Bargarh,"983,783","869,172","114,611",64.0,62.7,79.2,74.6,73.4,85.8
371,Jharsuguda,"405,879","234,962","170,917",70.6,66.6,77.5,78.9,75.5,83.9
372,Sambalpur,"703,691","470,897","232,794",67.3,62.8,79.0,76.2,72.6,84.8
373,Debagarh,"197,819","181,300","16,519",60.4,59.0,76.3,72.6,71.7,83.4
374,Sundargarh,"1,342,322","782,147","560,175",64.9,55.3,82.5,73.3,66.6,85.3
375,Kendujhar,"1,052,518","880,689","171,829",59.2,56.9,73.7,68.2,66.5,78.6
376,Mayurbhanj,"1,369,397","1,220,428","148,969",51.9,49.5,82.6,63.2,61.2,85.9
377,Baleshwar,"1,621,232","1,430,341","190,891",70.6,69.5,78.8,79.8,79.2,84.7
378,Bhadrak,"1,094,140","964,713","129,427",73.9,74.3,70.4,82.8,83.2,79.5
379,Kendrapara,"1,089,265","1,023,485","65,780",76.8,76.5,82.6,85.2,85.0,88.3
380,Jagatsinghapur,"889,027","798,202","90,825",79.1,78.7,82.2,86.6,86.5,87.3
381,Cuttack,"2,011,469","1,407,978","603,491",76.7,73.6,84.7,85.5,83.5,90.6
382,Jajapur,"1,290,455","1,188,483","101,972",71.4,71.0,81.7,80.1,79.7,86.0
383,Dhenkanal,"829,910","735,523","94,387",69.4,68.0,84.1,78.8,77.6,89.3
384,Anugul,"869,456","709,069","160,387",68.8,66.1,85.1,77.5,75.7,86.8
385,Nayagarh,"688,362","625,345","63,017",70.5,69.8,85.6,80.4,79.8,87.8
386,Khordha,"1,749,936","859,680","890,256",79.6,74.1,86.7,86.9,83.0,91.0
387,Puri,"1,291,939","1,082,202","209,737",78.0,77.3,81.9,84.7,84.2,87.4
388,Ganjam,"2,210,050","1,635,150","574,900",60.8,56.5,79.7,71.1,67.6,83.3
389,Gajapati,"262,537","213,160","49,377",41.3,37.6,71.1,53.5,49.9,77.9
390,Kandhamal,"399,786","343,893","55,893",52.7,50.1,85.4,64.1,61.5,86.8
391,Baudh,"271,612","255,716","15,896",57.7,56.4,82.0,71.6,70.8,86.8
392,Subarnapur,"398,421","361,498","36,923",62.8,61.7,77.3,74.4,73.6,83.0
393,Balangir,"927,260","780,657","146,603",55.7,52.7,78.0,64.7,62.1,83.4
394,Nuapada,"299,383","275,864","23,519",42.0,40.3,70.4,57.3,56.0,79.0
395,Kalahandi,"802,036","713,762","88,274",45.9,43.5,74.4,59.2,57.3,81.6
396,Rayagada,"407,735","305,758","101,977",36.1,29.9,72.2,49.8,44.4,78.0
397,Nabarangapur,"470,379","410,535","59,844",33.9,31.3,73.7,46.4,43.9,77.9
398,Koraput,"568,090","404,425","163,665",35.7,27.3,74.9,49.2,42.4,81.8
399,Malkangiri,"244,706","212,881","31,825",30.5,27.9,65.3,48.5,46.1,74.5
