district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"15,089,681","12,154,552","2,935,129",75.3,72.9,87.9,81.6,79.6,90.7
370,Bargarh,"557,217","494,987","62,230",77.4,76.5,87.7,83.7,82.8,91.5
371,Jharsuguda,"228,092","132,448","95,644",82.1,79.4,86.6,86.6,84.3,90.1
372,Sambalpur,"393,192","266,228","126,964",79.0,75.9,86.9,84.4,81.8,90.3
373,Debagarh,"112,649","103,536","9,113",73.3,72.4,84.1,81.9,81.3,89.1
374,Sundargarh,"750,147","441,493","308,654",75.3,67.4,89.0,81.0,75.6,90.2
375,Kendujhar,"605,119","507,316","97,803",72.0,70.2,82.8,78.1,76.8,85.8
376,Mayurbhanj,"794,171","713,913","80,258",65.8,63.8,89.1,73.8,72.2,90.8
377,Baleshwar,"902,359","799,882","102,477",81.7,81.2,85.8,87.0,86.7,89.1
378,Bhadrak,"596,269","525,719","70,550",84.7,85.4,78.9,89.6,90.3,84.9
379,Kendrapara,"579,970","544,759","35,211",87.1,87.0,89.6,91.5,91.4,92.6
380,Jagatsinghapur,"481,049","430,959","50,090",88.6,88.6,88.1,92.4,92.5,91.5
381,Cuttack,"1,103,033","780,022","323,011",85.8,84.3,89.7,91.1,90.1,93.7
382,Jajapur,"706,396","651,153","55,243",81.9,81.6,88.3,86.8,86.5,90.7
383,Dhenkanal,"464,093","412,767","51,326",80.6,79.5,90.8,86.2,85.4,93.3
384,Anugul,"494,425","404,772","89,653",81.4,79.7,91.4,86.0,84.8,92.0
385,Nayagarh,"392,333","357,687","34,646",82.7,82.2,92.4,88.2,87.7,92.9
386,Khordha,"957,515","471,689","485,826",87.9,85.0,91.4,91.8,89.4,94.2
387,Puri,"704,857","591,850","113,007",88.1,88.2,87.5,90.8,90.8,91.0
388,Ganjam,"1,262,652","945,712","316,940",75.2,72.2,88.2,81.0,78.5,89.3
389,Gajapati,"153,663","126,934","26,729",54.7,51.4,81.2,64.4,61.2,85.1
390,Kandhamal,"233,900","203,797","30,103",69.8,67.8,93.6,76.9,75.0,93.3
391,Baudh,"158,648","149,864","8,784",76.2,75.3,92.9,83.3,82.8,93.3
392,Subarnapur,"230,393","209,666","20,727",78.9,78.1,88.6,84.4,83.8,90.7
393,Balangir,"545,672","464,882","80,790",71.7,69.5,87.1,75.8,73.8,89.8
394,Nuapada,"180,903","167,937","12,966",58.5,57.0,81.6,70.3,69.3,86.6
395,Kalahandi,"484,177","435,330","48,847",62.7,60.7,84.6,71.9,70.4,88.4
396,Rayagada,"241,959","185,630","56,329",48.2,42.1,81.8,61.0,56.2,85.6
397,Nabarangapur,"286,984","254,221","32,763",47.0,44.6,83.1,57.3,55.0,84.9
398,Koraput,"340,843","250,926","89,917",47.2,39.2,83.4,60.3,54.1,88.5
399,Malkangiri,"147,001","128,473","18,528",40.1,37.4,74.9,59.1,56.7,83.4
