district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"11,652,914","9,223,363","2,429,551",50.5,46.7,72.9,64.0,60.7,80.4
370,Bargarh,"426,566","374,185","52,381",50.3,48.6,70.1,65.4,63.8,79.9
371,Jharsuguda,"177,787","102,514","75,273",58.4,53.5,67.4,70.7,66.6,77.2
372,Sambalpur,"310,499","204,669","105,830",55.2,49.6,70.6,67.9,63.4,79.0
373,Debagarh,"85,170","77,764","7,406",47.2,45.6,67.7,63.0,62.0,77.3
374,Sundargarh,"592,175","340,654","251,521",53.9,43.1,75.0,65.5,57.7,80.0
375,Kendujhar,"447,399","373,373","74,026",46.2,43.6,63.6,58.3,56.3,70.8
376,Mayurbhanj,"575,226","506,515","68,711",37.8,35.0,75.2,52.7,50.3,80.8
377,Baleshwar,"718,873","630,459","88,414",58.9,57.4,71.2,72.3,71.3,80.1
378,Bhadrak,"497,871","438,994","58,877",62.8,63.0,61.4,75.8,76.1,73.9
379,Kendrapara,"509,295","478,726","30,569",66.8,66.3,75.3,79.0,78.7,83.7
380,Jagatsinghapur,"407,978","367,243","40,735",69.3,68.8,74.5,80.6,80.4,82.7
381,Cuttack,"908,436","627,956","280,480",66.9,62.5,78.9,79.6,76.5,87.4
382,Jajapur,"584,059","537,330","46,729",60.8,60.1,74.3,73.3,72.7,81.1
383,Dhenkanal,"365,817","322,756","43,061",57.9,56.1,76.7,71.0,69.5,84.9
384,Anugul,"375,031","304,297","70,734",55.4,52.0,77.5,68.6,66.3,81.0
385,Nayagarh,"296,029","267,658","28,371",57.6,56.7,78.2,72.0,71.1,82.2
386,Khordha,"792,421","387,991","404,430",70.4,63.0,80.9,81.6,76.3,87.5
387,Puri,"587,082","490,352","96,730",67.6,66.3,75.9,78.3,77.3,83.5
388,Ganjam,"947,398","689,438","257,960",46.4,41.3,70.6,61.1,56.8,76.9
389,Gajapati,"108,874","86,226","22,648",28.4,24.5,61.1,43.2,39.2,70.9
390,Kandhamal,"165,886","140,096","25,790",35.9,32.8,76.6,51.9,48.8,80.3
391,Baudh,"112,964","105,852","7,112",39.0,37.4,70.5,59.8,58.8,79.9
392,Subarnapur,"168,028","151,832","16,196",46.2,44.7,65.0,64.0,63.1,74.9
393,Balangir,"381,588","315,775","65,813",39.5,35.8,68.2,53.5,50.3,76.7
394,Nuapada,"118,480","107,927","10,553",25.8,23.8,59.0,44.8,43.2,71.2
395,Kalahandi,"317,859","278,432","39,427",29.3,26.5,63.4,46.7,44.3,74.5
396,Rayagada,"165,776","120,128","45,648",24.6,18.3,62.4,39.2,33.5,70.4
397,Nabarangapur,"183,395","156,314","27,081",20.7,18.0,63.5,35.8,33.0,70.7
398,Koraput,"227,247","153,499","73,748",24.3,15.6,65.9,38.6,31.3,74.9
399,Malkangiri,"97,705","84,408","13,297",20.9,18.4,54.9,38.3,36.0,64.9
