district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"17,541,589","15,103,714","2,437,875",38.8,40.2,30.6,41.8,43.2,34.8
370,Bargarh,"762,092","706,885","55,207",44.1,45.3,29.5,51.4,53.1,36.8
371,Jharsuguda,"247,707","169,104","78,603",37.3,42.1,28.9,42.7,48.5,34.0
372,Sambalpur,"505,840","390,542","115,298",45.0,50.1,31.3,48.6,53.3,37.4
373,Debagarh,"165,435","157,390","8,045",46.1,47.1,33.1,52.9,54.2,35.9
374,Sundargarh,"873,227","625,502","247,725",40.4,46.6,28.4,41.7,46.2,33.6
375,Kendujhar,"766,514","682,446","84,068",39.8,41.3,30.3,42.5,44.1,33.2
376,Mayurbhanj,"1,223,534","1,156,323","67,211",46.2,47.4,30.7,48.6,49.7,34.8
377,Baleshwar,"932,707","847,171","85,536",31.9,32.1,29.7,40.2,41.0,33.8
378,Bhadrak,"468,599","411,154","57,445",28.9,29.1,27.2,31.1,31.1,30.9
379,Kendrapara,"466,890","439,698","27,192",29.8,30.0,27.5,32.4,32.4,32.6
380,Jagatsinghapur,"403,649","364,377","39,272",31.2,30.9,34.4,35.5,35.7,33.9
381,Cuttack,"936,365","683,899","252,466",33.9,34.8,31.7,35.7,36.2,34.3
382,Jajapur,"552,234","511,605","40,629",27.5,27.5,27.5,30.2,30.2,30.1
383,Dhenkanal,"435,533","398,386","37,147",33.4,33.9,28.8,36.5,37.0,31.6
384,Anugul,"526,520","455,627","70,893",39.8,41.1,31.9,41.3,42.7,34.3
385,Nayagarh,"343,633","318,229","25,404",33.3,33.5,28.3,35.7,36.0,31.9
386,Khordha,"792,193","399,642","392,551",30.6,29.3,32.4,35.2,34.2,36.2
387,Puri,"621,676","527,927","93,749",30.0,30.0,30.2,36.6,36.8,35.4
388,Ganjam,"1,501,772","1,231,922","269,850",41.3,43.8,29.9,42.6,44.6,35.1
389,Gajapati,"293,933","267,265","26,668",53.1,55.2,34.4,50.9,52.7,37.7
390,Kandhamal,"355,349","329,677","25,672",47.2,48.5,29.4,48.5,49.9,35.5
391,Baudh,"219,457","212,323","7,134",45.7,46.5,31.6,49.7,50.5,34.9
392,Subarnapur,"286,661","268,217","18,444",43.7,44.6,33.0,47.0,47.9,36.9
393,Balangir,"720,601","653,289","67,312",41.9,43.6,28.6,43.7,45.0,34.1
394,Nuapada,"305,438","292,882","12,556",46.0,46.7,34.5,50.0,50.8,36.9
395,Kalahandi,"751,930","709,276","42,654",46.5,47.7,31.1,47.7,48.8,35.0
396,Rayagada,"467,122","413,699","53,423",48.0,50.6,31.9,48.3,50.4,36.4
397,Nabarangapur,"610,906","577,172","33,734",49.5,50.5,32.7,50.0,50.9,38.5
398,Koraput,"693,406","610,613","82,793",48.3,51.5,32.5,50.3,52.9,36.6
399,Malkangiri,"310,666","291,472","19,194",49.1,50.3,33.4,50.7,51.7,38.8
