district_code,district_name,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
21,ODISHA,"11,902,655","9,941,574","1,961,081",52.5,53.2,49.1,56.1,56.5,54.1
370,Bargarh,"473,305","429,942","43,363",56.6,57.3,48.5,63.2,63.9,56.6
371,Jharsuguda,"172,018","106,700","65,318",51.0,53.4,47.0,58.0,60.6,54.2
372,Sambalpur,"313,161","224,576","88,585",54.1,56.3,48.5,59.4,60.9,56.0
373,Debagarh,"92,384","86,300","6,084",53.4,53.7,50.3,58.4,58.8,52.6
374,Sundargarh,"584,687","380,409","204,278",51.3,53.9,46.6,55.1,56.3,53.0
375,Kendujhar,"498,077","428,045","70,032",51.2,51.7,48.4,54.9,55.3,53.1
376,Mayurbhanj,"697,782","645,756","52,026",52.4,52.7,48.5,55.5,55.8,52.7
377,Baleshwar,"684,020","612,298","71,722",51.3,51.6,49.0,57.7,58.0,55.5
378,Bhadrak,"409,559","359,888","49,671",49.1,49.6,45.4,53.9,54.1,52.3
379,Kendrapara,"386,382","363,357","23,025",49.9,50.1,47.1,53.8,53.8,53.8
380,Jagatsinghapur,"325,589","291,902","33,687",50.2,49.8,53.6,56.3,56.5,55.2
381,Cuttack,"761,876","553,818","208,058",52.8,53.3,51.6,56.3,57.0,54.5
382,Jajapur,"486,091","450,358","35,733",47.6,47.6,47.0,52.5,52.6,51.4
383,Dhenkanal,"340,552","308,837","31,715",51.0,51.3,47.9,55.6,56.0,51.8
384,Anugul,"360,947","301,993","58,954",52.1,52.3,51.0,55.0,55.3,53.9
385,Nayagarh,"284,591","262,703","21,888",54.2,54.5,47.4,56.6,57.0,52.6
386,Khordha,"645,880","332,526","313,354",50.3,49.9,50.8,55.3,55.8,54.8
387,Puri,"498,461","421,643","76,818",51.6,51.9,49.7,57.6,57.9,56.0
388,Ganjam,"990,027","779,378","210,649",51.7,52.7,47.3,55.6,56.3,53.3
389,Gajapati,"155,907","136,879","19,028",56.6,57.2,51.3,55.1,55.3,54.0
390,Kandhamal,"193,515","174,508","19,007",52.3,52.8,45.8,53.8,53.9,52.2
391,Baudh,"125,627","120,191","5,436",55.8,56.2,48.0,56.7,56.9,51.8
392,Subarnapur,"181,595","167,495","14,100",54.3,54.7,49.5,58.3,58.6,54.9
393,Balangir,"469,956","415,663","54,293",55.1,56.2,47.3,56.6,57.0,53.6
394,Nuapada,"168,155","158,678","9,477",55.4,55.6,51.9,55.7,55.7,55.2
395,Kalahandi,"447,290","413,886","33,404",57.1,57.8,49.7,56.8,57.1,53.5
396,Rayagada,"258,032","217,796","40,236",55.0,55.9,49.5,54.7,54.8,54.2
397,Nabarangapur,"342,641","318,432","24,209",56.4,56.9,48.9,56.7,56.8,55.0
398,Koraput,"384,053","321,390","62,663",56.2,57.4,50.3,56.6,57.0,54.5
399,Malkangiri,"170,495","156,227","14,268",55.9,56.3,50.3,56.2,56.2,55.5
