state,district_code,district_name,population_total,population_rural,population_urban,decadal_growth_total,decadal_growth_rural,decadal_growth_urban,density_2011,sex_ratio_total_2011,sex_ratio_rural_2011,sex_ratio_urban_2011,child_sex_ratio_total_2011,child_sex_ratio_rural_2011,child_sex_ratio_urban_2011,sc_percentage_total_2011,st_percentage_total_2011,literacy_rate_total,literacy_rate_rural,literacy_rate_urban,wpr_total,wpr_rural,wpr_urban,cultivators_percentage,agricultural_labourers_percentage,household_industry_percentage,other_workers_percentage
Karnataka,556,Bagalkot,97203,80820,16383,21.23,14.96,65.8,6638,,,,945.0,935.0,931.0,16.5,5.99,57.3,51.23,71.75,43.57,47.49,33.94,27.13,37.91,7.51,27.45
Karnataka,572,Bangalore,190239,28415,161824,121.16,57.21,138.18,2650,,,,953.0,944.0,943.0,24.91,2.33,82.96,70.24,84.65,39.27,44.45,38.57,3.34,2.61,2.7,91.35
Karnataka,583,Bangalore Rural,52903,44412,8491,21.14,14.79,70.5,4165,,,,944.0,950.0,956.0,24.84,5.87,69.59,67.23,77.71,46.56,49.01,38.16,37.33,21.4,5.29,35.97
Karnataka,555,Belgaum,297198,253876,43322,22.08,19.38,40.74,23419,,,,923.0,934.0,929.0,11.5,6.64,64.21,58.85,80.66,44.56,48.06,33.47,37.62,31.29,3.5,27.59
Karnataka,565,Bellary,451406,334131,117275,23.8,18.77,40.77,5784,,,,953.0,960.0,966.0,20.5,21.31,57.4,50.29,70.24,45.42,50.82,35.34,27.28,39.25,2.8,30.67
Karnataka,558,Bidar,235822,214759,21063,29.42,26.23,74.22,7327,,,,948.0,942.0,923.0,22.28,14.7,60.94,56.71,75.14,37.11,40.22,26.69,24.89,37.49,2.51,35.1
Karnataka,557,Bijapur,39314,31644,7670,30.82,17.78,140.82,9158,,,,932.0,931.0,924.0,19.8,1.9,57.01,51.97,74.59,39.75,42.67,29.35,30.22,39.92,2.94,26.91
Karnataka,578,Chamarajanagar,120219,96434,23785,13.3,13.59,12.12,4945,,,,965.0,953.0,951.0,25.4,10.39,50.87,47.24,70.88,46.44,48.1,37.27,27.73,43.04,4.37,24.86
Karnataka,582,Chikkaballapura,156487,139201,17286,13.74,10.52,48.66,6040,,,,953.0,953.0,941.0,26.65,13.57,59.24,55.2,76.16,52.28,55.91,37.02,40.56,29.47,2.9,27.07
Karnataka,570,Chikmagalur,44970,40142,4828,9.63,7.87,26.82,5200,,,,960.0,969.0,963.0,22.11,4.05,72.2,69.59,82.87,45.29,47.58,35.85,28.64,21.1,2.33,47.93
